cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[180, 94, 380, 96, 380, 112, 180, 112]",16,ADDRESS,VM - QNH Dư án KDC lần biên coc 6 thuy,0
1,"[188, 118, 372, 118, 372, 138, 188, 138]",16,ADDRESS,"DA Khu DCLB cọc 8, P. Câm Sơn",1
2,"[30, 129, 155, 134, 153, 168, 28, 163]",15,SELLER,VinCommerce,2
3,"[200, 142, 360, 144, 360, 162, 200, 162]",16,ADDRESS,"TP. Câm Phà, T. Quảng Ninh",3
4,"[222, 168, 336, 168, 336, 188, 222, 188]",0,OTHER,024.71066865-44561,4
5,"[146, 210, 288, 212, 288, 230, 146, 228]",0,OTHER,HÓA ƠN BÁN HẢNG,5
6,"[26, 228, 260, 234, 260, 252, 26, 248]",17,TIMESTAMP,Ngày bán: 14/08/2020 19:10,6
7,"[310, 232, 404, 232, 404, 252, 310, 252]",0,OTHER,H:00073306,7
8,"[26, 252, 102, 254, 102, 272, 26, 272]",0,OTHER,quấy:001,8
9,"[292, 258, 414, 256, 414, 274, 292, 274]",0,OTHER,NVBH:09021213,9
10,"[26, 296, 106, 298, 106, 318, 26, 316]",0,OTHER,Mặt hàng,10
11,"[346, 298, 406, 298, 406, 318, 346, 318]",0,OTHER,T. Tiển,11
12,"[284, 302, 304, 302, 304, 320, 284, 320]",0,OTHER,SL,12
13,"[194, 302, 252, 300, 252, 320, 194, 318]",0,OTHER,đơn giáo,13
14,"[26, 318, 386, 324, 386, 342, 26, 338]",0,OTHER,Nước giải khát h.chanh Sprite chai 1.5L,14
15,"[26, 340, 150, 343, 149, 364, 25, 361]",0,OTHER,8935049500438,15
16,"[202, 346, 260, 346, 260, 364, 202, 366]",0,OTHER,20.000,16
17,"[356, 346, 413, 343, 415, 361, 356, 364]",0,OTHER,20.000,17
18,"[26, 386, 226, 388, 226, 410, 26, 408]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN,18
19,"[356, 390, 416, 390, 416, 408, 356, 410]",18,TOTAL_COST,20.000,19
20,"[26, 410, 180, 412, 180, 432, 26, 432]",0,OTHER,TỔNG TIỀN Ả GIẢM,20
21,"[26, 432, 162, 434, 162, 454, 26, 454]",0,OTHER,TIẾN KHÁCH TRÃ,21
22,"[356, 436, 416, 436, 416, 454, 356, 454]",0,OTHER,20.000,22
23,"[34, 456, 114, 460, 114, 478, 34, 478]",0,OTHER,TIỀN MẶT,23
24,"[356, 458, 416, 458, 416, 476, 356, 476]",0,OTHER,20.000,24
25,"[26, 478, 142, 482, 142, 500, 26, 500]",0,OTHER,TIỀN TRÃ LẠI,25
26,"[100, 504, 340, 502, 340, 522, 102, 525]",0,OTHER,(Giá đã bao gồm thuế gtgt),26
27,"[26, 552, 188, 548, 188, 568, 26, 570]",0,OTHER,ID THẻ Khách hàng,27
28,"[268, 548, 416, 548, 416, 568, 268, 568]",0,OTHER,XXXXXXXXXXXXXXX,28
29,"[24, 574, 260, 570, 260, 590, 24, 594]",0,OTHER,Tiếm tích(1.000VND-1 điểm),29
30,"[258, 594, 417, 593, 417, 613, 258, 614]",0,OTHER,00445600100073306,30
31,"[24, 598, 150, 596, 150, 616, 24, 618]",0,OTHER,Số tham chiếu th,31
32,"[90, 666, 344, 664, 344, 686, 90, 688]",0,OTHER,Chỉ xuất hóa đơn trong ngày,32
33,"[24, 694, 420, 690, 420, 710, 24, 714]",0,OTHER,The Tax invoice will be issued within same day the st,33
34,"[70, 738, 366, 736, 366, 756, 70, 758]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI,34
35,"[20, 766, 412, 762, 412, 778, 20, 784]",0,OTHER,Hotline: 02471066866 Website: Vinmart.com,35
