cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[106, 98, 362, 96, 362, 120, 106, 120]",15,SELLER,NHÀ SÁCH GD-TC CẤM PHẢ,0
1,"[46, 128, 348, 124, 348, 146, 46, 146]",16,ADDRESS,ĐC 212 Đường Trần Phú Cẩm Phả,1
2,"[46, 156, 202, 158, 202, 180, 46, 176]",0,OTHER,Nhân viên thu ngân:,2
3,"[46, 182, 320, 184, 320, 204, 46, 202]",0,OTHER,ĐT 0333363328- Fax 0333863328,3
4,"[46, 208, 294, 208, 294, 228, 46, 226]",17,TIMESTAMP,Thời gian:21:24:03 - 14/08/2020,4
5,"[332, 240, 418, 238, 418, 252, 332, 252]",0,OTHER,Phinh tiên,5
6,"[46, 236, 118, 238, 118, 256, 46, 254]",0,OTHER,Tên hàng,6
7,"[242, 240, 270, 240, 270, 254, 242, 254]",0,OTHER,Gia,7
8,"[364, 266, 420, 262, 420, 282, 364, 282]",0,OTHER,3.0000,8
9,"[36, 264, 112, 268, 112, 282, 36, 282]",0,OTHER,Bút chữ A,9
10,"[250, 266, 294, 264, 294, 282, 250, 282]",0,OTHER,3.000,10
11,"[364, 290, 420, 288, 420, 308, 364, 308]",0,OTHER,5.000d,11
12,"[250, 292, 294, 290, 294, 308, 250, 308]",0,OTHER,5.000,12
13,"[38, 290, 172, 290, 172, 308, 38, 308]",0,OTHER,Bút bi 032 +G300,13
14,"[36, 314, 170, 314, 170, 334, 36, 332]",0,OTHER,Vờ 4 ôly Campus,14
15,"[240, 318, 294, 314, 294, 334, 240, 330]",0,OTHER,19.000,15
16,"[350, 314, 420, 312, 420, 332, 350, 332]",0,OTHER,19.000đ,16
17,"[36, 338, 174, 342, 174, 360, 36, 358]",0,OTHER,Vở Campus 4 ô ly,17
18,"[240, 344, 292, 340, 292, 358, 240, 356]",0,OTHER,19.000,18
19,"[350, 340, 420, 338, 420, 358, 350, 358]",0,OTHER,19.000d,19
20,"[32, 359, 123, 365, 121, 386, 29, 382]",0,OTHER,Tổng cộng:,20
21,"[344, 366, 418, 366, 418, 386, 344, 386]",0,OTHER,46.000,21
22,"[32, 390, 201, 397, 199, 416, 32, 410]",0,OTHER,Chiết khấu bán hàng,22
23,"[392, 394, 418, 394, 418, 414, 392, 414]",0,OTHER,0đ,23
24,"[30, 415, 188, 424, 188, 440, 28, 438]",18,TOTAL_COST,Tổng số thanh toán:,24
25,"[342, 424, 416, 424, 416, 444, 342, 442]",18,TOTAL_COST,46.000d,25
26,"[84, 454, 340, 454, 340, 478, 84, 476]",0,OTHER,XIN CẢM ƠN QUÍ KHÁCH,26
