cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[172, 100, 390, 96, 390, 118, 172, 120]",16,ADDRESS,VM4 QNH Số 463 Tổ 66 Khu Diêm Thủy,0
1,"[196, 126, 367, 126, 364, 145, 196, 144]",16,ADDRESS,"Số 463, Tô 86, Khu Diêm Thuy",1
2,"[34, 142, 158, 142, 158, 174, 34, 174]",15,SELLER,Vincommerce,2
3,"[208, 152, 356, 146, 356, 166, 208, 168]",16,ADDRESS,"Chm Đông, TP. Câm Phảo",3
4,"[224, 172, 338, 172, 338, 192, 224, 192]",0,OTHER,02471066866-55761,4
5,"[150, 216, 288, 216, 288, 234, 150, 236]",0,OTHER,HÓA ƠN BÁN HẢNG,5
6,"[307, 237, 403, 233, 404, 253, 308, 257]",0,OTHER,H:00023836,6
7,"[34, 238, 260, 240, 260, 258, 34, 258]",17,TIMESTAMP,Ngày bán: 15/08/2020 08:59,7
8,"[34, 260, 108, 262, 108, 280, 34, 280]",0,OTHER,Quẩy: 001,8
9,"[291, 260, 413, 256, 414, 276, 292, 280]",0,OTHER,NVBH:09026650,9
10,"[34, 306, 111, 307, 109, 326, 34, 324]",0,OTHER,Hặt hàng,10
11,"[348, 302, 404, 302, 404, 322, 348, 322]",0,OTHER,TT.TIỂN,11
12,"[196, 308, 251, 304, 253, 323, 196, 324]",0,OTHER,dn giá,12
13,"[286, 308, 304, 308, 304, 324, 286, 324]",0,OTHER,SL,13
14,"[36, 328, 386, 326, 386, 344, 36, 346]",0,OTHER,CHOLIMEX SỐT ƯỚP THỊT NƯỚNG T32 THÁNG,14
15,"[34, 350, 154, 350, 154, 368, 34, 368]",0,OTHER,8934637514734,15
16,"[356, 352, 414, 348, 414, 366, 356, 366]",0,OTHER,20.100,16
17,"[204, 350, 260, 350, 260, 368, 204, 370]",0,OTHER,20.100,17
18,"[36, 372, 330, 372, 330, 390, 36, 390]",0,OTHER,VMNK Táo Cherish NZL A Soz 100,18
19,"[38, 398, 226, 396, 226, 412, 38, 412]",0,OTHER,"111.000/KG X , 498 KG",19
20,"[36, 416, 156, 416, 156, 434, 36, 434]",0,OTHER,2658812004983,20
21,"[204, 416, 260, 416, 260, 434, 204, 434]",0,OTHER,55.278,21
22,"[354, 416, 412, 416, 412, 434, 354, 434]",0,OTHER,55.278,22
23,"[36, 438, 320, 438, 320, 456, 36, 456]",0,OTHER,TUNL Vinamilk Power Sôcô 1a 180m 1,23
24,"[354, 460, 412, 460, 412, 478, 354, 478]",0,OTHER,30.000,24
25,"[204, 460, 260, 460, 260, 478, 204, 478]",0,OTHER,30.000,25
26,"[36, 460, 154, 460, 154, 478, 36, 478]",0,OTHER,08833673100021,26
27,"[36, 502, 226, 502, 226, 522, 36, 522]",18,TOTAL_COST,THN PHẢI T. TOÁN,27
28,"[346, 504, 414, 504, 414, 522, 346, 522]",18,TOTAL_COST,105.378,28
29,"[36, 524, 182, 524, 182, 544, 36, 544]",0,OTHER,TỔNG TIỀN Ả GIẢM,29
30,"[346, 548, 414, 548, 414, 568, 346, 566]",0,OTHER,105.378,30
31,"[34, 547, 164, 546, 164, 566, 36, 568]",0,OTHER,TIỀN KHÁCH TRẢ,31
32,"[346, 570, 414, 572, 414, 590, 346, 590]",0,OTHER,200.000,32
33,"[44, 570, 120, 570, 120, 588, 44, 590]",0,OTHER,TIỀN MẶT,33
34,"[356, 594, 414, 594, 414, 612, 356, 612]",0,OTHER,94.622,34
35,"[36, 592, 148, 592, 148, 612, 36, 612]",0,OTHER,TIẾN TRÃ LẠI,35
36,"[108, 614, 332, 614, 332, 632, 108, 632]",0,OTHER,(Giá đã bao gốm thuế gigt),36
37,"[98, 678, 342, 682, 342, 700, 98, 700]",0,OTHER,Chỉ xuất hóa đơn trong ngày,37
38,"[36, 706, 413, 708, 411, 727, 36, 724]",0,OTHER,Tax invoice will be 1ssued wate day,38
39,"[80, 748, 360, 748, 360, 768, 80, 766]",0,OTHER,CÁM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI,39
40,"[34, 772, 404, 772, 404, 790, 34, 790]",0,OTHER,Hot line: 02471066866 Website: vinmart.com,40
