cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[86, 138, 386, 136, 386, 154, 86, 158]",15,SELLER,SIEU THI BACH HOA TONG HOP,0
1,"[128, 168, 348, 164, 348, 180, 128, 182]",16,ADDRESS,Sà 5 Chm Tây Căm Phác QN,1
2,"[60, 190, 272, 190, 272, 202, 60, 204]",0,OTHER,019101030337311990000,2
3,"[322, 188, 398, 188, 398, 204, 322, 204]",0,OTHER,Assection,3
4,"[268, 212, 382, 212, 382, 226, 268, 226]",0,OTHER,000000001190,4
5,"[122, 214, 228, 212, 228, 228, 122, 226]",0,OTHER,Nguyen viec 73,5
6,"[130, 244, 342, 244, 342, 266, 130, 268]",0,OTHER,PHÓA ĐƠN BẢN HÀNG,6
7,"[174, 282, 300, 282, 300, 296, 174, 298]",0,OTHER,031811370066:791,7
8,"[150, 304, 222, 304, 222, 322, 150, 322]",0,OTHER,SL ĐVT,8
9,"[56, 308, 128, 310, 128, 326, 56, 324]",0,OTHER,Tên háng,9
10,"[248, 306, 410, 304, 410, 318, 248, 320]",0,OTHER,Đơn giá thanh tiên,10
11,"[48, 330, 159, 326, 160, 345, 48, 348]",0,OTHER,29061608000001,11
12,"[52, 358, 258, 354, 258, 370, 52, 372]",0,OTHER,Gia nguyên con Ho (147) NT,12
13,"[368, 376, 422, 376, 422, 394, 368, 394]",0,OTHER,"171,175",13
14,"[264, 378, 318, 378, 318, 394, 264, 396]",0,OTHER,"65,000",14
15,"[154, 382, 174, 382, 174, 394, 154, 394]",0,OTHER,UN,15
16,"[48, 404, 170, 404, 170, 422, 48, 422]",0,OTHER,8935106610568,16
17,"[48, 428, 244, 428, 244, 446, 48, 450]",0,OTHER,Đầu cá hồi Amigo 500g To,17
18,"[362, 452, 424, 452, 424, 468, 362, 470]",0,OTHER,"120,000",18
19,"[266, 454, 320, 452, 320, 470, 266, 470]",0,OTHER,"40,000",19
20,"[48, 480, 168, 480, 168, 498, 48, 500]",0,OTHER,8934572261601,20
21,"[46, 508, 328, 504, 328, 522, 48, 527]",0,OTHER,Chả gió - chả gio thu vi song ta,21
22,"[372, 528, 428, 528, 428, 548, 372, 548]",0,OTHER,"43,200",22
23,"[290, 530, 322, 530, 322, 548, 290, 548]",0,OTHER,200,23
24,"[42, 560, 106, 566, 106, 582, 39, 581]",0,OTHER,Tổng số,24
25,"[160, 570, 180, 570, 180, 580, 160, 580]",0,OTHER,09,25
26,"[368, 584, 432, 584, 432, 602, 368, 602]",18,TOTAL_COST,"234,375",26
27,"[44, 592, 222, 588, 222, 604, 44, 606]",0,OTHER,Thông công (đã gồm vat,27
28,"[228, 616, 266, 616, 266, 634, 228, 634]",18,TOTAL_COST,vnd,28
29,"[370, 614, 436, 614, 436, 632, 370, 632]",0,OTHER,"300,000",29
30,"[44, 618, 160, 616, 160, 634, 44, 636]",18,TOTAL_COST,Tiên khách trái,30
31,"[382, 642, 436, 642, 436, 662, 382, 662]",0,OTHER,"65,600",31
32,"[48, 646, 168, 646, 168, 664, 48, 664]",0,OTHER,Tiền trả lại VND,32
33,"[30, 680, 266, 680, 266, 702, 30, 700]",0,TIMESTAMP,SỐ GD: 000AD2212008000601,33
34,"[268, 680, 438, 678, 438, 698, 268, 704]",17,TIMESTAMP,Ngày: 09/08/2020-17:,33
35,"[138, 712, 349, 708, 350, 729, 138, 732]",0,OTHER,Thu ngân: NGUYENTHITHUY,34
36,"[136, 742, 352, 740, 352, 760, 136, 758]",0,OTHER,Xin cám dn quý khách hàngl,35
37,"[94, 806, 402, 804, 402, 832, 94, 834]",0,OTHER,000AD2212008000601,36
