cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[60, 90, 374, 82, 374, 104, 60, 108]",15,SELLER,SCTC CÔ THỎ 104 TRẦN PHÚ - CẤM,0
1,"[198, 110, 238, 110, 238, 130, 198, 130]",15,SELLER,PHAS,1
2,"[280, 138, 384, 138, 384, 152, 280, 152]",16,ADDRESS,Thành phô Căm,2
3,"[52, 142, 240, 140, 240, 154, 52, 154]",16,ADDRESS,101 Trần Phích phường can,3
4,"[158, 156, 240, 160, 240, 174, 158, 174]",16,ADDRESS,Phả - Quảng c,4
5,"[152, 178, 288, 176, 288, 190, 152, 192]",0,OTHER,Hotline:006133818,5
6,"[120, 202, 316, 200, 316, 220, 120, 220]",0,OTHER,HÓA ĐỢN THANH TOÁN,6
7,"[166, 232, 269, 229, 270, 243, 166, 244]",0,OTHER,25:2003000582,7
8,"[42, 258, 254, 256, 254, 268, 42, 272]",17,TIMESTAMP,Ngay: 08/08//02010033 CH) 1930,8
9,"[42, 282, 186, 282, 186, 292, 42, 294]",0,OTHER,Thu ngân: thu ngan 1011,9
10,"[96, 318, 152, 318, 152, 330, 96, 330]",0,OTHER,Tên món,10
11,"[240, 316, 260, 316, 260, 330, 240, 330]",0,OTHER,ĐG,11
12,"[294, 324, 316, 324, 316, 338, 294, 338]",0,OTHER,KM,12
13,"[348, 354, 392, 352, 392, 368, 348, 368]",0,OTHER,25.000,13
14,"[240, 354, 284, 354, 284, 368, 240, 368]",0,OTHER,"25,000",14
15,"[72, 360, 170, 360, 170, 368, 72, 372]",0,OTHER,Shi chua racho,15
16,"[70, 384, 162, 384, 162, 396, 70, 396]",0,OTHER,Sữa chua tran,16
17,"[242, 398, 284, 398, 284, 412, 242, 412]",0,OTHER,25.000,17
18,"[350, 398, 394, 398, 394, 412, 350, 412]",0,OTHER,25.000,18
19,"[48, 400, 148, 402, 148, 414, 48, 412]",0,OTHER,20 thua tran trong nha mai thuy,19
20,"[70, 418, 112, 421, 111, 436, 69, 433]",0,OTHER,thông,20
21,"[320, 442, 398, 442, 398, 462, 320, 462]",18,TOTAL_COST,50.000đ,21
22,"[42, 443, 192, 448, 192, 464, 39, 463]",18,TOTAL_COST,Tổng thanh toáng,22
23,"[348, 474, 402, 474, 402, 490, 348, 490]",0,OTHER,50.000d,23
24,"[42, 478, 98, 480, 98, 492, 42, 492]",0,OTHER,Tiên mật,24
25,"[40, 506, 138, 506, 138, 524, 40, 524]",0,OTHER,Trá lại khách,25
26,"[384, 508, 402, 508, 402, 522, 384, 522]",0,OTHER,Od,26
27,"[148, 552, 294, 552, 294, 566, 148, 566]",0,OTHER,Trần trọng cảm ơn,27
28,"[112, 596, 348, 594, 348, 610, 112, 612]",0,OTHER,Cakeuk Một sản phẩm của misa,28
