cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[206, 93, 394, 96, 394, 116, 206, 115]",15,SELLER,MINIMART ANANI,0
1,"[179, 122, 418, 130, 418, 146, 176, 143]",16,ADDRESS,Chợ Súi Phu Thị Gia Lam,1
2,"[50, 150, 88, 150, 88, 170, 50, 170]",0,OTHER,Tel:,2
3,"[176, 198, 434, 198, 434, 226, 176, 228]",0,OTHER,PHÓA ĐƠN BÁN HÀNG,3
4,"[72, 232, 169, 239, 167, 261, 70, 253]",0,OTHER,Tên hàng,4
5,"[318, 236, 516, 230, 516, 250, 318, 254]",0,OTHER,Đơn giá Thành tiển,5
6,"[196, 236, 286, 236, 286, 256, 196, 254]",0,OTHER,SL ĐVT,6
7,"[65, 265, 524, 262, 524, 280, 65, 285]",0,OTHER,8934563303150 Mion Phú hương t5- NTM,7
8,"[468, 290, 532, 290, 532, 308, 468, 310]",0,OTHER,"42,500",8
9,"[349, 293, 403, 290, 404, 311, 350, 315]",0,OTHER,"8,500",9
10,"[232, 294, 270, 294, 270, 312, 232, 312]",0,OTHER,GGIIN,10
11,"[65, 330, 446, 324, 446, 344, 66, 352]",0,OTHER,03833553302153 Miến Phú Hương 55g NTM,11
12,"[472, 352, 538, 352, 538, 374, 472, 374]",0,OTHER,"17,000",12
13,"[354, 356, 405, 353, 407, 373, 354, 376]",0,OTHER,"8,500",13
14,"[184, 362, 194, 362, 194, 376, 184, 376]",0,OTHER,2,14
15,"[232, 358, 272, 358, 272, 376, 232, 376]",0,OTHER,GOL,15
16,"[62, 394, 504, 386, 504, 406, 62, 416]",0,OTHER,1994563301156 Mi?n Phú Hương Sườn heo NT,16
17,"[476, 418, 542, 416, 542, 438, 476, 438]",0,OTHER,"25,500",17
18,"[356, 422, 410, 420, 410, 440, 356, 442]",0,OTHER,"18,500",18
19,"[184, 426, 194, 426, 194, 442, 184, 442]",0,OTHER,s,19
20,"[232, 422, 272, 422, 272, 440, 232, 440]",0,OTHER,GOT,20
21,"[50, 466, 138, 468, 138, 490, 48, 491]",0,OTHER,Tổng số:,21
22,"[198, 470, 226, 470, 226, 488, 198, 488]",0,OTHER,10,22
23,"[486, 486, 554, 486, 554, 508, 486, 508]",18,TOTAL_COST,"85,000",23
24,"[48, 498, 158, 500, 158, 522, 48, 526]",18,TOTAL_COST,Tổng cộng,24
25,"[488, 522, 558, 520, 558, 544, 488, 542]",0,OTHER,"85,000",25
26,"[300, 526, 346, 526, 346, 548, 300, 548]",0,OTHER,VND,26
27,"[48, 530, 205, 526, 207, 547, 48, 554]",0,OTHER,Tiền khách trả:,27
28,"[54, 588, 309, 578, 310, 602, 54, 612]",0,OTHER,Mã thẻ: A10000000139,28
29,"[52, 624, 225, 622, 223, 646, 52, 650]",0,OTHER,(0) Tạ thị hường,29
30,"[48, 660, 166, 662, 166, 682, 48, 686]",0,OTHER,Điêm mua:,30
31,"[514, 686, 568, 682, 568, 704, 514, 704]",0,OTHER,"1,025",31
32,"[48, 694, 212, 696, 212, 718, 48, 724]",0,OTHER,Điểm hiện thời:,32
33,"[50, 737, 214, 734, 214, 756, 48, 761]",0,OTHER,Hạng hiện thời:,33
34,"[514, 756, 570, 754, 570, 776, 514, 778]",0,OTHER,"16,603",34
35,"[48, 774, 290, 768, 290, 794, 48, 798]",0,OTHER,Giá trị thưởng tích lũy:,35
36,"[68, 822, 349, 812, 351, 839, 68, 848]",0,TIMESTAMP,SỐ GD: 000AB2212008003979,36
37,"[352, 812, 567, 800, 568, 825, 352, 840]",17,TIMESTAMP,Ngày: 16/08/2020-17:26,36
38,"[246, 856, 394, 848, 394, 872, 246, 876]",0,OTHER,Thu ngân: BH5,37
39,"[120, 888, 489, 869, 490, 891, 120, 908]",0,OTHER,Xin cám ơn và hen gắp lại quá hà là nha,38
