cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[246, 42, 434, 44, 434, 66, 246, 64]",16,ADDRESS,VM - ONH 1060-1062 Tràn Phú,0
1,"[244, 70, 436, 70, 436, 92, 244, 90]",16,ADDRESS,Số 1060-1062 Đường Trần Phú Tr,1
2,"[64, 86, 200, 86, 200, 122, 64, 122]",15,SELLER,VinCommerce,2
3,"[260, 98, 422, 98, 422, 118, 260, 118]",16,ADDRESS,"TP. Chm Phà, Quáng Ninh",3
4,"[275, 122, 404, 124, 404, 146, 275, 144]",0,OTHER,02471066866-49201,4
5,"[192, 166, 348, 170, 348, 190, 192, 188]",0,OTHER,HÓA DN BÁN HẰNG,5
6,"[60, 192, 318, 196, 318, 214, 60, 212]",17,TIMESTAMP,Ngày bán: 13/08/2020 21:15,6
7,"[374, 194, 478, 194, 478, 216, 374, 216]",0,OTHER,HO 0064264,7
8,"[60, 216, 142, 216, 142, 236, 60, 236]",0,OTHER,Quây:001,8
9,"[354, 217, 490, 220, 490, 238, 353, 238]",0,OTHER,NVBH:09024146,9
10,"[58, 264, 145, 266, 143, 288, 58, 286]",0,OTHER,Mặt hàng,10
11,"[244, 268, 308, 266, 308, 288, 244, 286]",0,OTHER,dn giá,11
12,"[346, 268, 366, 268, 366, 286, 346, 286]",0,OTHER,SL,12
13,"[416, 266, 480, 266, 480, 288, 416, 288]",0,OTHER,T. Tiến,13
14,"[58, 290, 468, 294, 468, 312, 58, 310]",0,OTHER,MAMAMY KHĂN ƯỚT VỆ SINH 100 TỜ KHÔNG MÙI,14
15,"[58, 316, 194, 316, 194, 336, 58, 336]",0,OTHER,8936013330334,15
16,"[426, 318, 490, 316, 490, 336, 426, 336]",0,OTHER,47.200,16
17,"[252, 318, 318, 318, 318, 336, 252, 336]",0,OTHER,47.200,17
18,"[58, 340, 82, 340, 82, 360, 58, 360]",0,OTHER,KM,18
19,"[416, 342, 492, 340, 492, 360, 416, 362]",0,OTHER,11..000,19
20,"[58, 388, 278, 390, 278, 412, 58, 410]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN,20
21,"[426, 390, 494, 390, 494, 408, 426, 410]",18,TOTAL_COST,35.000,21
22,"[58, 412, 226, 414, 226, 436, 58, 436]",0,OTHER,TỔNG TIỀN Ã GIẢM,22
23,"[408, 416, 484, 414, 484, 434, 408, 434]",0,OTHER,11.200,23
24,"[58, 438, 204, 440, 204, 460, 58, 460]",0,OTHER,TIỀN KHÁCH TRẢ,24
25,"[428, 440, 494, 440, 494, 458, 428, 460]",0,OTHER,35.000,25
26,"[66, 464, 152, 466, 152, 486, 66, 486]",0,OTHER,TIẾN MẶT,26
27,"[428, 464, 494, 464, 494, 484, 428, 484]",0,OTHER,34.000,27
28,"[460, 490, 494, 490, 494, 508, 460, 508]",0,OTHER,000,28
29,"[66, 492, 122, 492, 122, 512, 66, 512]",0,OTHER,Vinid,29
30,"[54, 514, 184, 516, 184, 538, 54, 536]",0,OTHER,TIẾN TRÃ LẠI,30
31,"[138, 540, 410, 540, 410, 562, 138, 562]",0,OTHER,(Giá đã bao gồm thuế gtgt),31
32,"[54, 594, 234, 592, 234, 614, 54, 614]",0,OTHER,ID thẻ khách hàng,32
33,"[325, 591, 493, 591, 493, 611, 325, 611]",0,OTHER,XXXXXXXXXXXXXXX,33
34,"[54, 618, 317, 617, 315, 640, 54, 640]",0,OTHER,Tiểm tích(1.000VND-1 điểm),34
35,"[52, 644, 192, 644, 192, 666, 52, 668]",0,OTHER,Số tham chiếu,35
36,"[314, 644, 496, 644, 496, 664, 314, 664]",0,OTHER,00493000100064264,36
37,"[124, 722, 414, 722, 414, 746, 124, 744]",0,OTHER,Chi xuất hóa đơn trong ngày,37
38,"[50, 752, 500, 752, 500, 772, 50, 772]",0,OTHER,Tax invoice will be issued within same day,38
39,"[102, 804, 436, 804, 436, 826, 102, 826]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI,39
40,"[46, 832, 490, 834, 490, 852, 46, 854]",0,OTHER,Hotline: 02471066866 Website: Vinmart.Com,40
41,"[25, 898, 340, 904, 340, 934, 22, 930]",0,OTHER,amsung Triple Camera,41
42,"[30, 942, 198, 938, 198, 962, 30, 964]",0,OTHER,tup băng Galaxy,42
43,"[216, 942, 252, 942, 252, 962, 216, 962]",0,OTHER,M2,43
