cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[152, 60, 238, 58, 238, 70, 152, 72]",16,ADDRESS,MONISM,0
1,"[190, 76, 232, 76, 232, 88, 190, 88]",0,OTHER,moos,1
2,"[26, 90, 118, 90, 118, 114, 26, 114]",15,SELLER,Vincommerce,2
3,"[174, 94, 248, 94, 248, 108, 174, 108]",16,ADDRESS,CONDERS,3
4,"[170, 112, 258, 110, 258, 126, 170, 126]",0,OTHER,VÀ THU NHA,4
5,"[114, 146, 220, 144, 220, 158, 114, 160]",0,OTHER,NGÀY ĐÁNH THUNG,5
6,"[236, 160, 310, 160, 310, 174, 236, 174]",0,OTHER,HIORASANT,6
7,"[26, 164, 198, 162, 198, 176, 26, 178]",17,TIMESTAMP,NGÀY DÀNH 12/00/2020,7
8,"[26, 182, 82, 182, 82, 194, 26, 194]",0,OTHER,QUAYIOOT,8
9,"[224, 176, 316, 176, 316, 190, 224, 190]",0,OTHER,01100004400,9
10,"[278, 206, 310, 206, 310, 224, 278, 224]",0,OTHER,116,10
11,"[166, 210, 192, 210, 192, 228, 166, 228]",0,OTHER,giá,11
12,"[26, 214, 82, 215, 81, 228, 26, 228]",0,OTHER,vật hàng,12
13,"[26, 232, 268, 226, 268, 244, 26, 244]",0,OTHER,DOUTE DÂN TH VI THI THI THI THI THI THI THU NGHINH THI THU NGHINH THU NGHINH THU NGHINH THU NGHINH THU NGHINH THU NGHINH THU NGHI,13
14,"[272, 246, 316, 244, 316, 258, 272, 258]",0,OTHER,1332200,14
15,"[24, 248, 116, 248, 116, 260, 24, 260]",0,OTHER,0930030024105,15
16,"[154, 248, 198, 246, 198, 260, 154, 260]",0,OTHER,33.200,16
17,"[24, 266, 240, 264, 240, 278, 24, 278]",0,OTHER,Danh sandwich nho ngoc 1200,17
18,"[292, 278, 318, 278, 318, 292, 292, 292]",0,OTHER,000,18
19,"[174, 282, 198, 282, 198, 294, 174, 294]",0,OTHER,000,19
20,"[24, 282, 116, 282, 116, 296, 24, 296]",0,OTHER,0936078570201,20
21,"[26, 300, 204, 298, 204, 312, 26, 312]",0,OTHER,CHANG TRÀNH LUAN THỊ 2000 (T16),21
22,"[294, 314, 318, 314, 318, 326, 294, 326]",0,OTHER,000,22
23,"[154, 316, 198, 314, 198, 328, 154, 328]",0,OTHER,"27,900",23
24,"[24, 316, 116, 316, 116, 328, 24, 328]",0,OTHER,08833660025980,24
25,"[24, 332, 164, 332, 164, 346, 24, 344]",0,OTHER,VING MIT SÂY 100G T50,25
26,"[24, 350, 116, 350, 116, 362, 24, 362]",0,OTHER,08934954005700,26
27,"[154, 350, 198, 350, 198, 362, 154, 362]",0,OTHER,26.200,27
28,"[272, 350, 318, 348, 318, 362, 272, 362]",0,OTHER,20.200,28
29,"[24, 366, 40, 366, 40, 378, 24, 378]",0,OTHER,KM,29
30,"[266, 366, 318, 366, 318, 378, 266, 378]",0,OTHER,1010000,30
31,"[22, 384, 268, 384, 268, 398, 22, 396]",0,OTHER,Banh còn đậu xanh trần bang cho thanh tran bao minh bang cho theng theng theng theng theng theng theng theng theng theng theng th,31
32,"[174, 400, 198, 400, 198, 414, 174, 414]",0,OTHER,000,32
33,"[22, 400, 114, 400, 114, 414, 22, 414]",0,OTHER,09966017561062,33
34,"[274, 400, 318, 400, 318, 412, 274, 412]",0,OTHER,16.000,34
35,"[22, 432, 170, 434, 170, 448, 22, 446]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN,35
36,"[266, 434, 318, 434, 318, 448, 266, 448]",18,TOTAL_COST,126.300,36
37,"[22, 450, 136, 450, 136, 464, 22, 464]",0,OTHER,TỔNG TIẾN VÀ GIẢM,37
38,"[262, 452, 312, 452, 312, 466, 262, 464]",0,OTHER,10.000,38
39,"[22, 468, 120, 468, 120, 480, 22, 482]",0,OTHER,TIỀN KHÁCH TRÀ,39
40,"[268, 470, 320, 470, 320, 482, 268, 482]",0,OTHER,126.300,40
41,"[28, 486, 84, 486, 84, 498, 28, 498]",0,OTHER,TIÊN MAT,41
42,"[268, 486, 320, 486, 320, 500, 268, 500]",0,OTHER,140.000,42
43,"[22, 502, 108, 502, 108, 516, 22, 516]",0,OTHER,TIẾN TRÀ LẠI,43
44,"[276, 504, 320, 504, 320, 516, 276, 516]",0,OTHER,13.700,44
45,"[76, 520, 262, 520, 262, 534, 76, 534]",0,OTHER,Giá đã bao gồm thuế gigt),45
46,"[68, 572, 264, 574, 264, 588, 68, 586]",0,OTHER,Chí xuất hoa đơn trong ngày,46
47,"[20, 592, 322, 594, 322, 608, 20, 604]",0,OTHER,Tax invoice winh be issued same day,47
48,"[52, 628, 280, 630, 280, 644, 52, 642]",0,OTHER,CÁM ON QUY KHÁCH VÀ HỆN GẬP LẠI,48
49,"[16, 646, 316, 650, 316, 662, 16, 660]",0,OTHER,00111016161666619,49
