cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[222, 88, 450, 86, 450, 108, 222, 114]",15,SELLER,BÁCH HÓA XANH,0
1,"[220, 128, 452, 126, 452, 142, 220, 146]",0,OTHER,www.bachhoaxanh.com,1
2,"[110, 154, 562, 148, 562, 170, 110, 174]",16,ADDRESS,"Thứa đất số 14, Tà bản đồ số 3, Kông Nhau",2
3,"[120, 176, 550, 172, 550, 192, 120, 196]",16,ADDRESS,"Chiêu, Phường Tân Đông Hiệp, Thị An.",3
4,"[196, 216, 474, 216, 474, 244, 196, 246]",0,OTHER,PHIẾU THANH TOÁN,4
5,"[98, 260, 166, 262, 166, 282, 98, 280]",0,OTHER,SÔ CT:,5
6,"[236, 261, 449, 259, 450, 279, 236, 281]",0,OTHER,0011552740024895,6
7,"[98, 296, 192, 300, 192, 320, 96, 318]",0,OTHER,Ngày CT,7
8,"[236, 298, 414, 298, 414, 318, 236, 318]",17,TIMESTAMP,01/08/2020 11:45,8
9,"[96, 336, 206, 338, 206, 356, 96, 356]",0,OTHER,Nhân viên:,9
10,"[234, 335, 360, 336, 360, 358, 232, 355]",0,OTHER,Phạm Thị Vy,10
11,"[326, 384, 424, 384, 424, 406, 326, 406]",0,OTHER,Giá bán,11
12,"[490, 382, 570, 382, 570, 406, 490, 406]",0,OTHER,T.Tiến,12
13,"[164, 384, 196, 384, 196, 406, 164, 406]",0,OTHER,SL,13
14,"[94, 426, 386, 430, 386, 450, 94, 448]",0,OTHER,NƯỚC NGỌT 7UP PET 390ML,14
15,"[512, 458, 570, 456, 570, 476, 512, 476]",0,OTHER,"7,500",15
16,"[184, 458, 194, 458, 194, 474, 184, 474]",0,OTHER,1,16
17,"[364, 456, 424, 456, 424, 478, 364, 478]",0,OTHER,"7,500",17
18,"[94, 488, 398, 494, 398, 514, 94, 512]",0,OTHER,NƯỚC NGỌT COKE PET 390MLY,18
19,"[184, 522, 196, 522, 196, 538, 184, 538]",0,OTHER,1,19
20,"[508, 522, 566, 520, 566, 540, 508, 540]",0,OTHER,7.000,20
21,"[368, 524, 422, 520, 422, 540, 368, 540]",0,OTHER,"7,000",21
22,"[94, 554, 514, 558, 514, 578, 94, 576]",0,OTHER,NƯỚC ÉP TẢO STRONG BOW HONEY CHAI TH,22
23,"[182, 584, 194, 584, 194, 600, 182, 600]",0,OTHER,2,23
24,"[350, 582, 422, 582, 422, 602, 350, 602]",0,OTHER,18.500,24
25,"[494, 584, 568, 584, 568, 604, 494, 604]",0,OTHER,"37,000",25
26,"[90, 614, 510, 620, 510, 640, 90, 638]",0,OTHER,NƯỚC ÉP TÁO STRONG BOW BERRY CHAI,26
27,"[180, 648, 192, 648, 192, 664, 180, 664]",0,OTHER,2,27
28,"[350, 646, 424, 644, 424, 666, 350, 666]",0,OTHER,"18,500",28
29,"[496, 646, 570, 646, 570, 666, 496, 666]",0,OTHER,"37,000",29
30,"[218, 690, 322, 694, 322, 714, 216, 713]",0,OTHER,Tổng tiền:,30
31,"[494, 696, 570, 696, 570, 716, 494, 716]",0,OTHER,88.500,31
32,"[166, 746, 322, 746, 322, 770, 166, 770]",18,TOTAL_COST,Thanh toán:,32
33,"[478, 750, 570, 750, 570, 774, 478, 774]",18,TOTAL_COST,"88,500",33
34,"[182, 784, 322, 786, 322, 808, 182, 806]",0,OTHER,(Đã làm tròn),34
35,"[222, 826, 320, 828, 320, 850, 222, 848]",0,OTHER,Tiên mặt:,35
36,"[482, 830, 572, 830, 572, 852, 482, 852]",0,OTHER,"200,000",36
37,"[192, 862, 322, 864, 322, 888, 192, 884]",0,OTHER,Tiền thối lại:,37
38,"[482, 868, 574, 868, 574, 890, 482, 890]",0,OTHER,"111,500",38
39,"[152, 896, 500, 902, 499, 924, 152, 918]",0,OTHER,(Giá trên đã bao gồm thuế gtg ),39
40,"[158, 1028, 566, 1038, 565, 1060, 158, 1050]",0,OTHER,Bách Hóa Xanh chi xuất hóa đan trong,40
41,"[86, 1034, 128, 1034, 128, 1054, 86, 1054]",0,OTHER,Lưu,41
42,"[84, 1058, 566, 1060, 566, 1082, 84, 1082]",0,OTHER,"ngày, Quý khách vui là ngân để",42
43,"[84, 1084, 566, 1084, 566, 1106, 84, 1106]",0,OTHER,được ho trị. Quy khách cáo hóa,43
44,"[208, 1104, 444, 1108, 444, 1128, 208, 1126]",0,OTHER,đơn Vất tại trang web,44
45,"[158, 1130, 492, 1136, 492, 1154, 158, 1154]",0,OTHER,hitps//hddt.bachhoaxanh.com.,45
46,"[98, 1182, 560, 1186, 560, 1208, 98, 1210]",0,OTHER,Quý khách vui lông xem chính sách,46
47,"[82, 1212, 570, 1212, 570, 1236, 82, 1240]",0,OTHER,đối tra hang được nhàng bhx,47
48,"[136, 1232, 518, 1236, 518, 1260, 136, 1258]",0,OTHER,"Xin Cam ơn quý khách, Hẹn gắp lại nhiện",48
