poly,cate_id,cate_text,vietocr_text
"[120, 70, 264, 72, 264, 90, 120, 88]",15,SELLER,MINIMART ANAN
"[100, 96, 280, 100, 280, 112, 100, 114]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lam
"[18, 120, 30, 120, 30, 132, 18, 132]",0,OTHER,els
"[98, 152, 290, 154, 290, 174, 98, 178]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[152, 180, 220, 186, 220, 200, 152, 198]",0,OTHER,(Bản copy
"[22, 202, 93, 206, 91, 225, 22, 220]",0,OTHER,Tên hàng
"[148, 204, 180, 204, 180, 220, 148, 220]",0,OTHER,ĐVT
"[206, 206, 260, 204, 260, 224, 206, 220]",0,OTHER,Đơn giáo
"[276, 206, 352, 206, 352, 220, 276, 220]",0,OTHER,Thành tiên
"[112, 204, 132, 204, 132, 220, 112, 220]",0,OTHER,SL
"[18, 226, 338, 228, 338, 244, 18, 244]",0,OTHER,8934673172196 sừa bột dielac grow plus 14 nt
"[208, 248, 266, 250, 266, 266, 208, 266]",0,OTHER,"285,000"
"[140, 252, 168, 252, 168, 264, 140, 264]",0,OTHER,HOP
"[302, 250, 364, 252, 364, 266, 304, 269]",0,OTHER,"285,000"
"[16, 276, 328, 276, 328, 292, 16, 294]",0,OTHER,8934588192111 cam ép Twister lon 320ml NT
"[14, 298, 104, 300, 104, 316, 14, 316]",0,OTHER,Giá đăng ký:
"[228, 298, 270, 298, 270, 316, 228, 316]",0,OTHER,"8,000"
"[228, 322, 268, 322, 268, 340, 228, 340]",0,OTHER,"7,500"
"[316, 322, 366, 322, 366, 340, 316, 340]",0,OTHER,"45,000"
"[140, 324, 170, 324, 170, 338, 140, 338]",0,OTHER,LON
"[14, 322, 76, 326, 76, 340, 14, 340]",0,OTHER,Giá bán;
"[14, 350, 350, 350, 350, 366, 14, 368]",0,OTHER,08856396912586 keo cao su huge 50g noi
"[220, 372, 270, 372, 270, 390, 220, 390]",0,OTHER,"15,000"
"[140, 376, 168, 376, 168, 388, 140, 388]",0,OTHER,HOP
"[318, 374, 368, 374, 368, 390, 318, 390]",0,OTHER,"15,000"
"[8, 403, 72, 410, 72, 424, 6, 422]",0,OTHER,Tổng số
"[314, 428, 374, 428, 374, 446, 314, 446]",0,OTHER,"345,000"
"[8, 428, 84, 430, 84, 448, 8, 448]",0,OTHER,Tổng cộng 1
"[8, 460, 76, 460, 76, 480, 8, 482]",18,TOTAL_COST,Tổng tiền
"[314, 460, 374, 460, 374, 478, 314, 478]",18,TOTAL_COST,"345,000"
"[8, 482, 120, 486, 120, 502, 8, 500]",0,OTHER,Tiến khách trả:
"[180, 484, 216, 484, 216, 502, 180, 502]",0,OTHER,VND
"[314, 484, 374, 484, 374, 502, 314, 502]",0,OTHER,"345,000"
"[22, 520, 218, 520, 218, 538, 22, 538]",0,TIMESTAMP,Số GD: 000AC2212008000996
"[218, 518, 370, 518, 370, 536, 218, 540]",17,TIMESTAMP,Ngày: 09/08/2020-07:53
"[144, 546, 248, 546, 248, 564, 144, 564]",0,OTHER,Thu ngân: BH2
"[58, 568, 314, 566, 314, 584, 58, 584]",0,OTHER,Xi Vi Tin cám an và hẹn gặp lại quý khách
