poly,cate_id,cate_text,vietocr_text
"[118, 120, 416, 124, 416, 148, 118, 146]",15,SELLER,NHÀ SÁCH GD-TC CẨM PHẢN
"[48, 154, 398, 154, 398, 178, 48, 178]",16,ADDRESS,ĐC: 212 Đường Trần Phả
"[48, 188, 230, 190, 230, 212, 48, 210]",0,OTHER,Nhân viên thu ngắn;
"[48, 218, 368, 220, 368, 242, 48, 238]",0,OTHER,ĐT 0333363328- Fax 0333863328
"[48, 246, 338, 248, 338, 270, 48, 268]",17,TIMESTAMP,Thời gian:21:07:49 14/08/2020
"[46, 278, 133, 282, 131, 303, 46, 298]",0,OTHER,Tên hàng
"[226, 280, 252, 280, 252, 300, 226, 300]",0,OTHER,SL
"[344, 280, 482, 282, 482, 300, 344, 300]",0,OTHER,Ck Thành tien
"[276, 280, 312, 280, 312, 300, 276, 300]",0,OTHER,Giá
"[34, 312, 138, 312, 138, 332, 34, 336]",0,OTHER,Tây 1196E
"[274, 314, 340, 312, 340, 332, 274, 332]",0,OTHER,22.000
"[406, 314, 482, 312, 482, 334, 406, 334]",0,OTHER,22.000đ
"[406, 342, 482, 340, 482, 362, 406, 362]",0,OTHER,40.0004
"[36, 342, 116, 344, 116, 362, 36, 364]",0,OTHER,Gấp hạc
"[274, 342, 340, 342, 340, 362, 274, 362]",0,OTHER,40.000
"[274, 372, 340, 370, 340, 392, 274, 390]",0,OTHER,32.000
"[406, 372, 482, 370, 482, 392, 406, 392]",0,OTHER,32.0004
"[36, 372, 194, 372, 194, 392, 36, 392]",0,OTHER,10 vạn cầu hải vì
"[276, 400, 340, 400, 340, 422, 276, 420]",0,OTHER,12.000
"[406, 402, 484, 400, 484, 424, 406, 422]",0,OTHER,12.0004
"[38, 402, 150, 402, 150, 422, 38, 424]",0,OTHER,Nàng tên cá
"[34, 426, 136, 432, 136, 454, 32, 451]",0,OTHER,Tổng cộng 1
"[388, 432, 482, 432, 482, 456, 388, 452]",0,OTHER,106.000d
"[36, 462, 233, 464, 231, 487, 36, 484]",0,OTHER,Chiết khấu bán hàng
"[454, 464, 482, 464, 482, 486, 454, 486]",0,OTHER,0đ
"[34, 491, 220, 498, 220, 516, 32, 516]",18,TOTAL_COST,Tổng số thanh toán:
"[388, 496, 484, 496, 484, 520, 388, 520]",18,TOTAL_COST,106.000d
"[96, 538, 398, 534, 398, 562, 96, 562]",0,OTHER,XIN CAM ƠN QUI KHÁCHI
