poly,cate_id,cate_text,vietocr_text
"[177, 64, 392, 64, 392, 86, 177, 86]",15,SELLER,MINIMART ANAN
"[148, 102, 418, 100, 418, 122, 148, 124]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm
"[16, 138, 42, 138, 42, 158, 16, 158]",0,OTHER,el:
"[134, 185, 437, 184, 438, 217, 136, 222]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[416, 232, 536, 230, 536, 254, 416, 256]",0,OTHER,Thành tiền
"[216, 234, 265, 231, 266, 254, 218, 257]",0,OTHER,ĐVT
"[160, 234, 190, 234, 190, 256, 160, 256]",0,OTHER,SL
"[22, 236, 127, 238, 125, 263, 22, 258]",0,OTHER,Tên hàng
"[304, 231, 392, 232, 392, 262, 303, 253]",0,OTHER,Đơn giá
"[16, 272, 416, 270, 416, 292, 16, 294]",0,OTHER,0984609209408 Bánh B50g NT
"[476, 302, 548, 302, 548, 324, 476, 326]",0,OTHER,"85,000"
"[328, 304, 400, 304, 400, 324, 328, 326]",0,OTHER,"85,000"
"[203, 306, 247, 303, 248, 321, 204, 324]",0,OTHER,HOP
"[16, 343, 106, 348, 106, 368, 13, 367]",0,OTHER,Tổng số:
"[476, 372, 546, 372, 546, 392, 476, 392]",18,TOTAL_COST,"85,000"
"[22, 380, 128, 378, 128, 400, 22, 396]",18,TOTAL_COST,Tống cộng
"[22, 404, 180, 404, 180, 424, 22, 424]",0,OTHER,Tiền khách trả:
"[474, 404, 544, 404, 544, 424, 474, 424]",0,OTHER,"85,000"
"[278, 406, 324, 406, 324, 426, 278, 426]",0,OTHER,VND
"[50, 446, 320, 446, 320, 466, 50, 466]",0,TIMESTAMP,INST 00000000000019
"[322, 446, 534, 444, 534, 464, 322, 468]",17,TIMESTAMP,Ngày: 12/08/2020-12:22
"[220, 476, 363, 473, 364, 491, 220, 494]",0,OTHER,Thu ngân: BH3
"[102, 496, 452, 496, 452, 514, 102, 514]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách thuy
