poly,cate_id,cate_text,vietocr_text
"[152, 166, 489, 171, 485, 211, 152, 190]",15,SELLER,BÁCH THỜI TRANG ADIDAS
"[216, 206, 246, 206, 246, 224, 216, 224]",16,ADDRESS,KPS
"[302, 208, 348, 208, 348, 230, 302, 230]",16,ADDRESS,CTDS
"[384, 214, 470, 220, 470, 240, 382, 233]",16,ADDRESS,Đình Tân 1
"[192, 226, 444, 242, 444, 258, 192, 248]",0,OTHER,Điện thoại: 020100002010
"[136, 254, 496, 270, 496, 308, 136, 294]",0,OTHER,PHÓA ĐƠN TÍNH TIÊN
"[166, 300, 468, 310, 468, 334, 166, 330]",17,TIMESTAMP,Ngày 22/01/2020 Giờ: 16:49
"[60, 342, 98, 342, 98, 368, 60, 368]",0,OTHER,KH
"[62, 382, 184, 382, 184, 406, 62, 408]",0,OTHER,INV: 870086
"[318, 388, 573, 395, 571, 426, 318, 410]",0,OTHER,BS BIIK P0096000024634
"[479, 430, 540, 438, 537, 463, 475, 455]",0,OTHER,Tổng
"[87, 435, 352, 446, 352, 468, 83, 463]",0,OTHER,Hàng hóa 2001900
"[400, 448, 438, 448, 438, 472, 400, 472]",0,OTHER,CK
"[482, 460, 543, 464, 541, 492, 480, 488]",0,OTHER,cộng
"[60, 490, 190, 490, 190, 514, 60, 514]",0,OTHER,ADVANTAGE
"[476, 504, 570, 500, 570, 522, 476, 520]",0,OTHER,"1,360,000"
"[306, 496, 440, 498, 440, 520, 306, 518]",0,OTHER,"1700,000 20%"
"[62, 516, 104, 516, 104, 538, 62, 538]",0,OTHER,Size
"[220, 547, 345, 565, 343, 586, 215, 580]",0,OTHER,tổng cộng
"[462, 564, 570, 564, 570, 592, 462, 588]",0,OTHER,"1,700,000"
"[254, 602, 342, 602, 342, 624, 254, 622]",0,OTHER,dân phẩm
"[480, 604, 570, 606, 570, 630, 480, 628]",0,OTHER,"340,000"
"[270, 638, 344, 642, 343, 664, 269, 661]",0,OTHER,Cờn lại
"[462, 646, 568, 642, 568, 668, 462, 664]",0,OTHER,"1,360,000"
"[161, 665, 342, 680, 342, 700, 157, 695]",18,TOTAL_COST,Tổng thanh toàn
"[460, 682, 566, 682, 566, 706, 460, 706]",18,TOTAL_COST,"1,360,000"
"[106, 722, 340, 726, 340, 750, 106, 744]",0,OTHER,Thu tiền cà thể tại Pos
"[464, 734, 572, 734, 572, 760, 464, 756]",0,OTHER,"1,360,000"
"[212, 782, 342, 788, 342, 812, 212, 810]",0,OTHER,Tiết kiệm TV
"[208, 822, 344, 826, 344, 852, 208, 848]",0,OTHER,Tiết kiệm KM
"[70, 850, 416, 868, 416, 890, 70, 876]",0,OTHER,Số điểm tích lũy thanh toán trên bill
"[534, 876, 562, 876, 562, 898, 534, 898]",0,OTHER,55
"[70, 916, 512, 936, 512, 964, 70, 940]",0,OTHER,ADIDAS rất hân hạnh phục khách
"[182, 956, 439, 972, 437, 1009, 180, 993]",0,OTHER,6017966850902
"[112, 1004, 516, 1028, 516, 1054, 112, 1030]",0,OTHER,CÁM ƠN QUÝ KHÁCH - HỆN GẶP LẠI
"[190, 1046, 430, 1058, 430, 1080, 190, 1066]",0,OTHER,Giá bán đã bao gồm vat chi
"[84, 1060, 534, 1084, 534, 1106, 82, 1083]",0,OTHER,Quý khách vui lòng tham khảo quy đổi thuy
"[70, 1085, 546, 1108, 546, 1130, 68, 1106]",0,OTHER,hàng tại cửa hàng Kh ng khách
"[64, 1112, 548, 1130, 548, 1152, 66, 1133]",0,OTHER,và vui long kiem tra kỹ trước khi rời quần chế thuy
"[276, 1138, 341, 1142, 339, 1165, 274, 1160]",0,OTHER,đồi/trà
