poly,cate_id,cate_text,vietocr_text
"[80, 98, 411, 92, 412, 128, 80, 132]",15,SELLER,THE COFFEE HOUSE
"[100, 140, 392, 136, 392, 158, 100, 160]",16,ADDRESS,"403 Phan Huy Ich, P.14, Q.Gò Vấp"
"[186, 166, 216, 166, 216, 188, 186, 188]",0,OTHER,Số:
"[268, 168, 302, 168, 302, 192, 268, 192]",0,OTHER,23
"[248, 194, 460, 192, 460, 212, 248, 214]",0,OTHER,SỐ HĐ: 19810000682020
"[34, 194, 244, 194, 244, 212, 34, 214]",17,OTHER,Thời gian:01.10.2020 13.18
"[34, 218, 172, 218, 172, 238, 34, 238]",0,OTHER,Thu ngân: cash1
"[34, 240, 143, 242, 141, 263, 34, 260]",0,OTHER,Khách hàng:
"[412, 276, 464, 276, 464, 294, 412, 294]",0,OTHER,T.TTÊN
"[286, 276, 332, 276, 332, 296, 286, 296]",0,OTHER,Đ.Giá
"[104, 278, 174, 278, 174, 296, 104, 296]",0,OTHER,Tên món
"[230, 278, 250, 278, 250, 296, 230, 296]",0,OTHER,SL
"[68, 310, 182, 308, 182, 326, 68, 326]",0,OTHER,Cà Phê Sữa Đá
"[410, 318, 466, 318, 466, 336, 410, 336]",0,OTHER,35 000
"[284, 318, 340, 318, 340, 336, 284, 336]",0,OTHER,35 000
"[66, 328, 112, 328, 112, 348, 66, 348]",0,OTHER,(Vừa)
"[68, 348, 188, 348, 188, 366, 68, 366]",0,OTHER,Bánh Mì Gà Kimp
"[410, 358, 468, 356, 468, 376, 410, 376]",0,OTHER,122 000
"[48, 360, 152, 368, 152, 388, 48, 376]",0,OTHER,2 Quất (Cay)
"[284, 358, 340, 358, 340, 376, 284, 376]",0,OTHER,32 000
"[64, 394, 164, 396, 164, 414, 64, 414]",0,OTHER,Thành tiên:
"[404, 394, 466, 394, 466, 414, 404, 412]",0,OTHER,67 000
"[412, 422, 468, 422, 468, 440, 412, 440]",0,OTHER,18 000
"[82, 420, 156, 422, 156, 442, 82, 440]",0,OTHER,Giàm giá:
"[64, 448, 170, 448, 170, 466, 64, 466]",18,TOTAL_COST,Thanh Toán
"[404, 448, 466, 448, 466, 466, 404, 466]",18,TOTAL_COST,1999000
"[64, 468, 200, 470, 200, 488, 64, 488]",0,OTHER,Tiên khách đưa
"[404, 470, 466, 470, 466, 488, 404, 488]",0,OTHER,49 000
"[64, 490, 140, 490, 140, 508, 64, 508]",0,OTHER,Tiên thừa
"[82, 516, 190, 516, 190, 534, 82, 534]",0,OTHER,Tiên mặt VND
"[410, 518, 468, 516, 468, 534, 410, 534]",0,OTHER,149 000
