poly,cate_id,cate_text,vietocr_text
"[112, 138, 452, 136, 452, 166, 112, 166]",15,SELLER,NHÀ SÁCH GD-TC CẨM PHẢ
"[32, 178, 430, 172, 430, 198, 32, 200]",16,ADDRESS,ĐC: 212 Đường Trần Phú
"[34, 214, 242, 210, 245, 235, 34, 240]",0,OTHER,Nhân viên thu ngân:
"[32, 248, 400, 248, 400, 274, 32, 274]",0,OTHER,ĐT 0333863328 - Fax 0333863328
"[32, 280, 364, 280, 364, 304, 32, 306]",17,TIMESTAMP,Thời gian:08:42:16 - 14/08/2020
"[370, 316, 528, 314, 528, 336, 370, 336]",0,OTHER,Ck Thành tiền
"[236, 316, 266, 316, 266, 338, 236, 338]",0,OTHER,SL
"[294, 316, 332, 316, 332, 336, 294, 336]",0,OTHER,Giá
"[30, 318, 129, 321, 127, 343, 30, 338]",0,OTHER,Tên hàng
"[442, 352, 532, 352, 532, 376, 442, 376]",0,OTHER,95.000đ
"[292, 354, 366, 352, 366, 378, 292, 378]",0,OTHER,95.000
"[16, 356, 212, 352, 212, 380, 16, 384]",0,OTHER,Búp bê trang điểm
"[432, 386, 530, 386, 530, 412, 432, 412]",0,OTHER,95.000đ
"[14, 385, 139, 391, 137, 419, 12, 414]",0,OTHER,Tổng cộng:
"[496, 424, 528, 424, 528, 448, 496, 448]",0,OTHER,0đ
"[14, 428, 242, 427, 241, 450, 14, 454]",0,OTHER,Chiết khấu bán hàng:
"[434, 462, 532, 462, 532, 488, 434, 488]",18,TOTAL_COST,95.000d
"[14, 464, 226, 464, 226, 488, 12, 493]",18,TOTAL_COST,Tổng số thanh toán:
"[86, 514, 433, 502, 434, 535, 86, 542]",0,OTHER,XIN CÁM ƠN QUÍ KHÁCHI
