poly,cate_id,cate_text,vietocr_text
"[222, 80, 326, 76, 326, 92, 222, 94]",0,OTHER,VÀ CHI THONG
"[190, 98, 360, 96, 360, 112, 190, 114]",0,OTHER,SAMONIANS
"[64, 109, 166, 112, 165, 136, 63, 133]",15,SELLER,UnCommerce
"[206, 120, 314, 114, 314, 132, 206, 134]",16,ADDRESS,ANCANALOGY
"[226, 138, 322, 134, 322, 150, 226, 152]",0,OTHER,matianuann
"[162, 170, 280, 170, 280, 184, 162, 186]",0,OTHER,NGA ON DÂN LUNG
"[62, 188, 256, 190, 256, 204, 62, 202]",17,TIMESTAMP,NGÀY DÂN 10/00/2020 1119
"[300, 188, 380, 188, 380, 202, 300, 202]",0,OTHER,HOOD70000
"[62, 206, 124, 206, 124, 220, 62, 220]",0,OTHER,Quây:001
"[284, 206, 390, 206, 390, 220, 284, 220]",0,OTHER,01001100020166
"[60, 242, 125, 243, 123, 258, 60, 256]",0,OTHER,một hàng c
"[332, 240, 382, 240, 382, 256, 332, 256]",0,OTHER,1.1100
"[278, 244, 292, 244, 292, 256, 278, 256]",0,OTHER,SL
"[200, 244, 248, 244, 248, 258, 200, 258]",0,OTHER,lon gid
"[60, 260, 256, 262, 256, 276, 60, 274]",0,OTHER,Pho mai vinami khon thong
"[340, 278, 390, 278, 390, 292, 340, 292]",0,OTHER,29.400
"[58, 278, 162, 278, 162, 292, 58, 292]",0,OTHER,08934673900920
"[208, 280, 256, 280, 256, 294, 208, 294]",0,OTHER,29.400
"[58, 296, 368, 294, 368, 312, 58, 310]",0,OTHER,Cai xanh (cai canh) 11 vineco 18.200/KG Nguy
"[56, 314, 122, 316, 122, 330, 56, 328]",0,OTHER,00.622 KG
"[56, 334, 162, 334, 162, 348, 56, 348]",0,OTHER,02603118005226
"[350, 336, 392, 334, 392, 348, 350, 348]",0,OTHER,"19,500"
"[228, 334, 256, 334, 256, 350, 228, 350]",0,OTHER,500
"[56, 352, 384, 354, 384, 368, 56, 366]",0,OTHER,"""Cá chua đỗ DL L1 Vineco 28.600/KG X 0,538 thu tiến thuyến thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu th"
"[56, 370, 74, 370, 74, 384, 56, 384]",0,OTHER,KG
"[52, 388, 160, 388, 160, 406, 52, 406]",0,OTHER,2652377005386
"[206, 392, 256, 392, 256, 406, 206, 406]",0,OTHER,15.387
"[340, 390, 392, 392, 392, 406, 340, 408]",0,OTHER,15.387
"[52, 424, 224, 428, 224, 444, 52, 442]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[342, 432, 392, 432, 392, 444, 342, 446]",18,TOTAL_COST,144.287
"[50, 444, 184, 446, 184, 464, 50, 462]",0,OTHER,TỔNG TIẾN Ã GIẢM
"[50, 464, 168, 468, 168, 482, 50, 482]",0,OTHER,TIẾN KHÁCH TRÀ
"[342, 470, 394, 470, 394, 484, 342, 484]",0,OTHER,154.287
"[56, 484, 126, 488, 126, 502, 56, 502]",0,OTHER,TIẾN MẶT
"[334, 490, 394, 488, 394, 504, 334, 504]",0,OTHER,500.000
"[56, 504, 102, 504, 102, 522, 56, 522]",0,OTHER,Vinid
"[366, 506, 394, 506, 394, 524, 366, 524]",0,OTHER,000
"[48, 522, 152, 528, 152, 542, 48, 542]",0,OTHER,TIỀN TRẢ LẠI
"[334, 528, 396, 528, 396, 544, 334, 544]",0,OTHER,449.713
"[112, 544, 328, 546, 328, 564, 112, 562]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[46, 586, 190, 586, 190, 604, 46, 602]",0,OTHER,ID THẻ KHÁCH HÀNG
"[262, 590, 304, 590, 304, 604, 262, 604]",0,OTHER,EXXXXX
"[314, 590, 396, 590, 396, 606, 314, 606]",0,OTHER,XXXXXX8986
"[44, 604, 254, 606, 254, 624, 44, 622]",0,OTHER,Tiểm tích(1.000VND-1 điểm)
"[44, 626, 156, 630, 156, 644, 44, 644]",0,OTHER,Số tham chiếu
"[252, 627, 396, 627, 396, 645, 252, 645]",0,OTHER,00433300100078938
"[100, 688, 332, 690, 332, 710, 100, 706]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[42, 712, 398, 714, 398, 732, 42, 728]",0,OTHER,Tax invoice will be issued within same day song
"[82, 752, 350, 758, 350, 774, 82, 772]",0,OTHER,CHM CÁM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[38, 776, 392, 780, 392, 796, 38, 794]",0,OTHER,Hot line: 02471066866 Website: Vinmart..COM
