poly,cate_id,cate_text,vietocr_text
"[204, 142, 280, 148, 280, 160, 204, 162]",0,OTHER,Tiếm đưang
"[215, 168, 337, 165, 338, 209, 216, 212]",0,OTHER,Thanh
"[228, 202, 334, 202, 334, 240, 228, 240]",0,OTHER,Xuân
"[106, 276, 444, 270, 444, 290, 106, 296]",16,ADDRESS,"244/23a Huỳnh Văn Bánh, Q.PN"
"[184, 308, 365, 300, 366, 321, 184, 326]",0,OTHER,Pass Wifi: thanhxuan
"[187, 339, 361, 334, 362, 358, 188, 362]",0,OTHER,Tel:0888212505
"[138, 372, 411, 368, 412, 397, 138, 404]",0,OTHER,PHIẾU THANH TOÁN
"[76, 410, 184, 412, 184, 430, 76, 430]",0,OTHER,Số chứng từ:
"[214, 410, 354, 408, 354, 428, 214, 430]",0,OTHER,100022 - 550301
"[76, 438, 122, 438, 122, 458, 76, 458]",0,OTHER,Vị trí;
"[172, 436, 342, 436, 342, 454, 172, 456]",0,OTHER,Vàn Tại Chô - Tret
"[76, 468, 196, 466, 196, 486, 76, 490]",17,TIMESTAMP,Ngày/ giờ vào:
"[228, 466, 380, 464, 380, 482, 228, 484]",17,TIMESTAMP,04.10.2020 16.19
"[228, 494, 378, 492, 378, 512, 228, 512]",17,TIMESTAMP,04.10.2020 16.21
"[74, 496, 184, 498, 184, 514, 74, 518]",17,TIMESTAMP,Ngày/ giờ ra:
"[72, 524, 288, 522, 288, 542, 72, 544]",0,OTHER,Thu ngân: Administrators
"[459, 547, 515, 545, 516, 565, 460, 568]",0,OTHER,T.Tiên
"[364, 550, 414, 548, 414, 568, 364, 570]",0,OTHER,Đ.Giá
"[300, 550, 322, 550, 322, 570, 300, 570]",0,OTHER,SL
"[134, 552, 210, 552, 210, 570, 134, 572]",0,OTHER,Tên món
"[454, 586, 518, 586, 518, 606, 454, 606]",0,OTHER,42 000
"[354, 588, 416, 586, 416, 606, 354, 606]",0,OTHER,42 000
"[52, 592, 134, 590, 134, 610, 52, 612]",0,OTHER,Trà Tá Lai
"[458, 616, 520, 616, 520, 636, 458, 636]",0,OTHER,39 000
"[356, 618, 418, 618, 418, 638, 356, 638]",0,OTHER,39 000
"[50, 620, 192, 620, 192, 642, 50, 642]",0,OTHER,Trà Sữa Sài-Gòn
"[472, 650, 522, 646, 522, 668, 472, 668]",0,OTHER,7 000
"[368, 652, 418, 648, 418, 668, 368, 668]",0,OTHER,7 000
"[70, 658, 168, 652, 168, 672, 70, 674]",0,OTHER,HE Nha Đam
"[452, 688, 524, 686, 524, 710, 452, 710]",0,OTHER,88 000
"[77, 687, 136, 694, 133, 720, 73, 713]",0,OTHER,Tổng:
"[454, 736, 528, 736, 528, 762, 454, 758]",0,OTHER,88 000
"[74, 734, 240, 738, 240, 762, 71, 763]",0,OTHER,Tổng tiên (VAT):
"[436, 786, 536, 784, 536, 812, 436, 812]",18,TOTAL_COST,88 000
"[74, 786, 304, 786, 304, 814, 74, 816]",18,TOTAL_COST,Tiên Thanh Toán
"[324, 852, 538, 850, 538, 876, 324, 880]",0,OTHER,CASH(VND) - 88 000
"[486, 936, 544, 934, 544, 956, 486, 956]",0,OTHER,88 000
"[316, 946, 418, 940, 418, 958, 316, 958]",0,OTHER,Khach tra;
"[334, 966, 422, 964, 422, 984, 334, 984]",0,OTHER,Trà khách:
