poly,cate_id,cate_text,vietocr_text
"[195, 87, 406, 84, 406, 106, 196, 110]",15,SELLER,MINIMART ANANS
"[168, 124, 430, 118, 430, 136, 168, 144]",16,ADDRESS,Chợ Súi Phu Thị Gia Lâm
"[160, 196, 449, 190, 450, 221, 160, 230]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[318, 234, 543, 229, 541, 250, 318, 254]",0,OTHER,Đơn giá Thành tiến
"[50, 242, 148, 242, 148, 264, 50, 262]",0,OTHER,Tên hàng
"[182, 238, 279, 235, 281, 256, 182, 258]",0,OTHER,SL ĐVT
"[41, 272, 548, 262, 548, 282, 42, 295]",0,OTHER,0986096670259 bánh gạo noàn
"[486, 294, 560, 292, 560, 314, 486, 316]",0,OTHER,"26,000"
"[340, 298, 412, 296, 412, 318, 340, 320]",0,OTHER,"26,000"
"[220, 300, 262, 300, 262, 318, 220, 318]",0,OTHER,GOI
"[35, 339, 540, 330, 540, 352, 36, 362]",0,OTHER,03836096670075 Bánh gạo ngọt 230g NTM
"[490, 362, 566, 362, 566, 386, 490, 386]",0,OTHER,"38,000"
"[342, 368, 416, 366, 416, 390, 342, 390]",0,OTHER,"19,000"
"[218, 370, 260, 370, 260, 388, 218, 388]",0,OTHER,GOT
"[24, 414, 114, 418, 114, 438, 22, 439]",0,OTHER,Tổng số:
"[498, 440, 574, 438, 574, 460, 498, 464]",18,TOTAL_COST,"64,000"
"[20, 446, 134, 448, 134, 472, 19, 473]",18,TOTAL_COST,Tổng cộng
"[500, 478, 578, 476, 578, 500, 500, 500]",0,OTHER,"64,000"
"[20, 482, 186, 478, 186, 502, 20, 504]",0,OTHER,Tiên khách trả:
"[290, 480, 340, 480, 340, 502, 290, 502]",0,OTHER,VND
"[26, 542, 301, 537, 301, 563, 26, 568]",0,OTHER,Mã thẻ: A10000000779
"[26, 580, 216, 580, 215, 604, 26, 608]",0,OTHER,(0) cao thị nhung
"[22, 620, 138, 622, 138, 642, 22, 646]",0,OTHER,Điêm mua:
"[522, 652, 588, 652, 588, 678, 522, 678]",0,OTHER,"1,183"
"[16, 656, 190, 658, 190, 682, 16, 686]",0,OTHER,Điểm hiện thời:
"[14, 698, 192, 700, 192, 722, 12, 726]",0,OTHER,Hạng hiện thời:
"[506, 732, 590, 730, 590, 756, 506, 758]",0,OTHER,"20,335"
"[14, 738, 278, 736, 278, 764, 14, 764]",0,OTHER,Giá trị thưởng tích lũy:
"[34, 792, 339, 786, 340, 813, 34, 818]",0,TIMESTAMP,SỐ GD: 000AC2212008002045
"[344, 786, 586, 786, 586, 812, 344, 818]",17,TIMESTAMP,Ngày: 15/08/2020-08:42
"[228, 830, 390, 828, 390, 854, 228, 854]",0,OTHER,Thu ngân: BH2
"[92, 862, 496, 860, 496, 886, 92, 884]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách
