poly,cate_id,cate_text,vietocr_text
"[208, 98, 428, 96, 428, 118, 208, 118]",16,ADDRESS,VM4 QNH Dư án quỹ đất đường sắt chiến
"[220, 126, 418, 128, 418, 144, 220, 146]",16,ADDRESS,DA QĐ doc tuyên ĐS Tô 3 Khu 2
"[42, 142, 178, 142, 178, 180, 42, 180]",15,SELLER,VinCommerce
"[218, 154, 422, 152, 422, 172, 218, 174]",16,ADDRESS,"P. Càm Sơn, TP. Câm Phà, T. NN"
"[252, 180, 384, 180, 384, 202, 252, 202]",0,OTHER,024.71066866-63951
"[170, 228, 326, 228, 326, 248, 170, 248]",0,OTHER,HÓA DN BÁN HÀNG
"[40, 252, 292, 254, 292, 274, 40, 274]",17,TIMESTAMP,Ngày bán: 15/08/2020 11:41
"[350, 252, 456, 252, 456, 272, 350, 272]",0,OTHER,HO 0044019
"[40, 276, 124, 278, 124, 298, 40, 298]",0,OTHER,quầy:001
"[332, 278, 466, 278, 466, 298, 332, 298]",0,OTHER,ANVBH:09026744
"[392, 324, 458, 324, 458, 348, 392, 348]",0,OTHER,T.TTiển
"[40, 326, 126, 326, 126, 348, 40, 348]",0,OTHER,Mặt hàng
"[222, 328, 284, 328, 284, 350, 222, 348]",0,OTHER,ơn giá
"[322, 330, 344, 330, 344, 348, 322, 348]",0,OTHER,SL
"[40, 352, 226, 354, 226, 372, 40, 374]",0,OTHER,xương ức gà CP 1KG
"[40, 376, 176, 376, 176, 396, 40, 396]",0,OTHER,1155156000000
"[402, 378, 468, 378, 468, 398, 402, 398]",0,OTHER,30.900
"[232, 378, 294, 378, 294, 398, 232, 398]",0,OTHER,30.900
"[40, 424, 256, 426, 256, 446, 40, 446]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[402, 428, 468, 428, 468, 448, 402, 448]",18,TOTAL_COST,30.900
"[40, 450, 206, 450, 206, 472, 40, 472]",0,OTHER,TỔNG TIỀN Ả GIẢM
"[40, 474, 184, 474, 184, 496, 40, 498]",0,OTHER,TIẾN KHÁCH TRẢI
"[402, 478, 470, 478, 470, 498, 402, 498]",0,OTHER,30.900
"[50, 500, 136, 502, 136, 522, 50, 522]",0,OTHER,TIỀN MẶT
"[394, 504, 468, 504, 468, 524, 394, 522]",0,OTHER,101.000
"[38, 526, 166, 528, 166, 548, 38, 548]",0,OTHER,TIỀN TRẢ LẠI
"[404, 528, 470, 530, 470, 548, 404, 548]",0,OTHER,70.100
"[120, 552, 384, 552, 384, 574, 120, 574]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[110, 626, 388, 630, 388, 652, 110, 650]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[38, 658, 471, 660, 469, 681, 38, 676]",0,OTHER,Tax invoice will be issued within same day son
"[88, 706, 410, 708, 410, 728, 88, 728]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[36, 734, 460, 736, 460, 754, 36, 754]",0,OTHER,Hot line: 02471066866 Website: vinmart.com
