poly,cate_id,cate_text,vietocr_text
"[212, 100, 344, 92, 344, 112, 212, 118]",16,ADDRESS,VM+ NN 690 Trần Phú
"[194, 122, 362, 116, 362, 136, 194, 142]",16,ADDRESS,"Sỏ 590 Trần Phú, P. Câm Thuy"
"[38, 144, 156, 144, 156, 176, 38, 176]",15,SELLER,VinCommerce
"[206, 146, 350, 140, 350, 160, 206, 164]",16,ADDRESS,"TP. Câm Phả, Quảng Ninh"
"[222, 170, 333, 162, 335, 183, 222, 188]",0,OTHER,024.71068666-43581
"[148, 214, 286, 210, 286, 230, 148, 232]",0,OTHER,HÓA ĐN BÁN HẢNG
"[308, 228, 402, 228, 402, 248, 308, 248]",0,OTHER,01133680
"[36, 238, 260, 234, 260, 252, 36, 256]",17,TIMESTAMP,Ngày bán: 44/08/2020 22:16
"[291, 252, 411, 247, 412, 267, 292, 272]",0,OTHER,NVBH: 09020496
"[36, 258, 108, 260, 108, 276, 36, 276]",0,OTHER,Quấy::001
"[348, 298, 404, 292, 404, 312, 348, 312]",0,OTHER,T. Tiền
"[286, 302, 302, 302, 302, 314, 286, 314]",0,OTHER,SL
"[36, 302, 111, 303, 109, 322, 36, 320]",0,OTHER,Mặt hàng
"[194, 302, 250, 300, 250, 320, 194, 318]",0,OTHER,lơn giá
"[36, 324, 349, 320, 347, 338, 36, 342]",0,OTHER,BẢO NGỌC BURGER NHÂN GÀ THE THONG
"[366, 342, 412, 338, 412, 356, 366, 356]",0,OTHER,8 000
"[214, 348, 260, 344, 260, 362, 214, 362]",0,OTHER,8.000
"[36, 346, 154, 348, 154, 362, 36, 364]",0,OTHER,8936078571604
"[38, 368, 258, 366, 258, 384, 38, 386]",0,OTHER,SN VNM NGUYÊN CHẤT F220m1
"[366, 386, 414, 384, 414, 402, 366, 402]",0,OTHER,3.900
"[216, 392, 260, 388, 260, 406, 216, 406]",0,OTHER,8.900
"[37, 389, 153, 387, 154, 405, 38, 408]",0,OTHER,8934673700047
"[358, 432, 414, 428, 414, 446, 358, 446]",18,TOTAL_COST,11.900
"[38, 430, 226, 430, 226, 450, 38, 450]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[38, 452, 182, 452, 182, 470, 38, 472]",0,OTHER,TỔNG TIẾN Ã GIẢM
"[358, 474, 413, 471, 415, 489, 358, 490]",0,OTHER,11.900
"[38, 474, 164, 474, 164, 494, 38, 494]",0,OTHER,TIẾN KHÁCH TRẢ
"[358, 498, 414, 496, 414, 514, 358, 512]",0,OTHER,11.900
"[46, 498, 260, 498, 260, 516, 46, 516]",0,OTHER,Ví điện tử của Vinid Pay
"[38, 518, 148, 520, 148, 538, 38, 538]",0,OTHER,TIẾN TRÃ LẠI
"[118, 542, 340, 540, 340, 558, 118, 560]",0,OTHER,Giá đã bao gồm thuế gtgt)
"[268, 586, 416, 586, 416, 604, 268, 604]",0,OTHER,XXXXXXXXXXXXXXXXX
"[38, 588, 192, 584, 192, 604, 38, 604]",0,OTHER,IĐ thẻ khách hàng
"[38, 608, 260, 606, 260, 626, 38, 628]",0,OTHER,Tiểm tích(1.000VND-1 điểm)
"[259, 631, 420, 632, 420, 652, 259, 649]",0,OTHER,00435800100133680
"[38, 630, 156, 630, 156, 650, 38, 650]",0,OTHER,Số tham chiếu th
"[100, 698, 346, 702, 346, 722, 100, 718]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[36, 724, 422, 728, 422, 748, 36, 742]",0,OTHER,Tax invoice wi11 be issued within same day song
"[80, 768, 368, 774, 368, 792, 80, 786]",0,OTHER,CẢM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[34, 792, 416, 800, 416, 818, 34, 810]",0,OTHER,Hot line: 02471066866 Website: vinmart.com
