poly,cate_id,cate_text,vietocr_text
"[92, 46, 203, 45, 204, 59, 92, 60]",15,SELLER,MINIMART ANAN
"[78, 68, 216, 66, 216, 78, 78, 80]",16,ADDRESS,Chợ Sũi Phú Thị Gia Lâm
"[74, 108, 226, 106, 226, 124, 74, 126]",0,OTHER,NGÓÓ ĐƠN BÁN HÀNG
"[212, 130, 272, 130, 272, 142, 212, 142]",0,OTHER,Thành tiên
"[116, 130, 140, 130, 140, 144, 116, 144]",0,OTHER,ĐVT
"[158, 132, 202, 132, 202, 146, 158, 144]",0,OTHER,Đơn gia
"[88, 132, 102, 132, 102, 144, 88, 144]",0,OTHER,SL
"[18, 132, 72, 134, 71, 147, 18, 146]",0,OTHER,Tên hang
"[14, 150, 254, 148, 254, 160, 14, 162]",0,OTHER,00291000650000 Bim Marinboy các màu 30g NT
"[186, 166, 208, 166, 208, 178, 186, 178]",0,OTHER,000
"[106, 166, 130, 166, 130, 178, 106, 178]",0,OTHER,HOP
"[258, 164, 278, 164, 278, 176, 258, 176]",0,OTHER,00
"[14, 188, 258, 184, 258, 196, 14, 198]",0,OTHER,0991042260000 bánh trứng kư ng
"[242, 202, 278, 202, 278, 214, 242, 214]",0,OTHER,"30,00"
"[170, 202, 208, 202, 208, 216, 170, 216]",0,OTHER,"30,000"
"[108, 204, 130, 204, 130, 214, 108, 214]",0,OTHER,GOI
"[14, 222, 244, 222, 244, 234, 14, 236]",0,OTHER,0991012920000 NRC Mỹ Hào chanh
"[242, 240, 280, 240, 280, 252, 242, 252]",0,OTHER,"28,000"
"[108, 240, 132, 240, 132, 250, 108, 250]",0,OTHER,CAN
"[170, 242, 208, 240, 208, 254, 170, 254]",0,OTHER,"28,000"
"[14, 260, 254, 260, 254, 272, 14, 274]",0,OTHER,0991043770000 kẹo chupa cầu vống no
"[242, 276, 278, 276, 278, 288, 242, 288]",0,OTHER,"10,000"
"[108, 278, 130, 278, 130, 288, 108, 288]",0,OTHER,CAI
"[176, 278, 208, 278, 208, 292, 176, 292]",0,OTHER,"2,000"
"[10, 300, 56, 302, 56, 312, 9, 313]",0,OTHER,Tổng số
"[242, 315, 279, 312, 280, 325, 244, 329]",18,TOTAL_COST,"77,000"
"[12, 316, 68, 320, 68, 332, 10, 328]",18,TOTAL_COST,Tổng cộng
"[12, 334, 90, 336, 90, 346, 12, 346]",0,OTHER,Tiên khách tràn
"[244, 332, 280, 332, 280, 346, 244, 346]",0,OTHER,"80,000"
"[142, 336, 168, 336, 168, 348, 142, 348]",0,OTHER,VND
"[248, 352, 278, 352, 278, 366, 248, 366]",0,OTHER,"3,(100"
"[12, 354, 88, 354, 88, 366, 12, 366]",0,OTHER,Tiển và lại vnd
"[24, 378, 166, 378, 165, 391, 24, 390]",0,OTHER,00600000020202000000
"[166, 378, 276, 376, 276, 388, 166, 390]",17,OTHER,Ngày: 10/08/2020-09.36
"[112, 398, 188, 396, 188, 408, 112, 410]",0,OTHER,Thu ngân: BH2
"[48, 410, 236, 410, 236, 422, 48, 422]",0,OTHER,Xin câm on và họn gập lai quý khách
