poly,cate_id,cate_text,vietocr_text
"[213, 86, 438, 84, 438, 106, 214, 112]",15,SELLER,MINIMARTANAN
"[184, 128, 464, 122, 464, 142, 184, 150]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm
"[44, 168, 82, 168, 82, 186, 44, 186]",0,OTHER,Tel:
"[176, 208, 483, 202, 484, 239, 176, 246]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[344, 256, 580, 248, 580, 270, 344, 276]",0,OTHER,Đơn giá Thành tiền
"[202, 258, 306, 256, 306, 278, 202, 280]",0,OTHER,SL ĐVT
"[64, 258, 169, 261, 167, 285, 64, 280]",0,OTHER,Tên hàng
"[54, 294, 430, 290, 430, 312, 54, 318]",0,OTHER,02211443270000 bánh mì hoa cúc Noài
"[522, 320, 600, 318, 600, 342, 522, 344]",0,OTHER,"30,000"
"[368, 324, 444, 322, 444, 346, 368, 348]",0,OTHER,"30,000"
"[242, 326, 284, 326, 284, 346, 242, 346]",0,OTHER,CAI
"[50, 366, 564, 360, 564, 384, 50, 392]",0,OTHER,08934673606820 Sữa chua đường NTM
"[386, 400, 450, 400, 450, 424, 386, 424]",0,OTHER,"6,000"
"[44, 402, 182, 402, 182, 426, 44, 426]",0,OTHER,Giá đăng ký:
"[526, 434, 608, 432, 608, 458, 526, 458]",0,OTHER,"21,000"
"[384, 436, 448, 436, 448, 462, 384, 462]",0,OTHER,"5,250"
"[42, 438, 136, 438, 136, 460, 42, 460]",0,OTHER,Giá bán:
"[242, 438, 286, 438, 286, 456, 242, 456]",0,OTHER,HOP
"[42, 480, 498, 478, 498, 502, 42, 506]",0,OTHER,08936000440039 Bia Hà Nội Ion 330ml NT
"[372, 514, 450, 514, 450, 540, 372, 540]",0,OTHER,"10,000"
"[532, 514, 614, 512, 614, 540, 532, 540]",0,OTHER,"30,000"
"[238, 516, 286, 516, 286, 536, 238, 536]",0,OTHER,LONS
"[32, 562, 468, 558, 468, 584, 32, 588]",0,OTHER,"291020080000 hướng d,ơkg NT"
"[534, 598, 620, 598, 620, 624, 534, 624]",0,OTHER,"25,000"
"[236, 598, 284, 598, 284, 620, 236, 620]",0,OTHER,BIC
"[372, 598, 454, 598, 454, 624, 372, 624]",0,OTHER,"25,000"
"[30, 646, 456, 644, 456, 670, 30, 672]",0,OTHER,002211200000 Bim Oishi 48g NT
"[236, 684, 282, 684, 282, 706, 236, 706]",0,OTHER,GOIL
"[554, 684, 624, 682, 624, 710, 554, 710]",0,OTHER,"4,000"
"[388, 684, 456, 684, 456, 712, 388, 712]",0,OTHER,"4,000"
"[18, 733, 122, 740, 122, 766, 15, 765]",0,OTHER,Tổng số:
"[194, 744, 224, 744, 224, 766, 194, 766]",0,OTHER,10
"[19, 769, 145, 779, 143, 808, 14, 801]",0,OTHER,Tổng cộng
"[534, 776, 634, 776, 634, 804, 534, 808]",0,OTHER,"110,000"
"[16, 824, 126, 830, 126, 860, 13, 857]",18,TOTAL_COST,Tổng tiền
"[536, 832, 636, 832, 636, 860, 536, 860]",18,TOTAL_COST,"110,000"
"[16, 866, 202, 868, 202, 898, 16, 896]",0,OTHER,Tiền khách trả:
"[308, 876, 366, 876, 366, 904, 308, 904]",0,OTHER,VND
"[538, 876, 637, 871, 639, 901, 538, 904]",0,OTHER,"110,000"
