poly,cate_id,cate_text,vietocr_text
"[172, 72, 340, 73, 339, 92, 172, 90]",15,SELLER,MINIMART ANAN
"[150, 98, 360, 102, 359, 116, 149, 113]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lam
"[40, 122, 68, 122, 68, 136, 40, 136]",0,OTHER,Tel:
"[144, 156, 376, 158, 376, 180, 144, 182]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[52, 186, 136, 190, 135, 206, 52, 204]",0,OTHER,Tên hàng
"[160, 188, 242, 188, 242, 204, 160, 204]",0,OTHER,SL ĐVT
"[274, 190, 450, 186, 450, 202, 274, 204]",0,OTHER,Đơn giá Thành tiên
"[44, 210, 420, 212, 420, 228, 44, 228]",0,OTHER,291015850000 xả vải comfort nước hoa túi NT
"[406, 236, 466, 236, 466, 254, 406, 254]",0,OTHER,"86,000"
"[292, 236, 350, 236, 350, 254, 292, 254]",0,OTHER,"86,000"
"[194, 236, 228, 236, 228, 254, 194, 254]",0,OTHER,GOIL
"[42, 266, 338, 266, 338, 284, 42, 286]",0,OTHER,094988030020 Dầu cái lân 1 NT
"[202, 296, 226, 296, 226, 308, 202, 308]",0,OTHER,CH
"[408, 292, 470, 292, 470, 310, 408, 310]",0,OTHER,"25,000"
"[292, 292, 352, 292, 352, 312, 292, 312]",0,OTHER,"25,000"
"[38, 320, 396, 322, 396, 340, 38, 340]",0,OTHER,8936017364113 Tương ớt chinsu 250g NT
"[196, 350, 230, 350, 230, 364, 196, 364]",0,OTHER,CHA
"[414, 348, 474, 348, 474, 366, 414, 366]",0,OTHER,"12,000"
"[296, 348, 356, 348, 356, 368, 296, 368]",0,OTHER,"12,000"
"[34, 380, 394, 380, 394, 398, 34, 398]",0,OTHER,8936136160665 Mắm nam ngư nt
"[418, 406, 480, 406, 480, 424, 418, 424]",0,OTHER,"23,000"
"[195, 409, 231, 406, 232, 421, 196, 424]",0,OTHER,Cha
"[148, 410, 156, 410, 156, 422, 148, 422]",0,OTHER,1
"[296, 406, 360, 406, 360, 424, 296, 426]",0,OTHER,"23,000"
"[30, 438, 396, 438, 396, 456, 30, 458]",0,OTHER,09955118800761 Xà bông Enchant
"[302, 466, 364, 464, 364, 484, 302, 484]",0,OTHER,"16,000"
"[426, 464, 488, 464, 488, 484, 426, 484]",0,OTHER,"16,000"
"[194, 466, 234, 466, 234, 484, 194, 484]",0,OTHER,HOP
"[25, 502, 430, 498, 430, 518, 26, 524]",0,OTHER,03935039500509 Mi chính a n54g nt
"[432, 528, 496, 528, 496, 548, 432, 550]",0,OTHER,"31,000"
"[304, 530, 368, 528, 368, 550, 304, 550]",0,OTHER,"31,000"
"[194, 532, 234, 532, 234, 548, 194, 548]",0,OTHER,GOI
"[21, 571, 470, 564, 470, 584, 22, 594]",0,OTHER,0022110000 hạt nêm kương gói Nosia
"[434, 596, 498, 594, 498, 616, 434, 616]",0,OTHER,"36,000"
"[304, 598, 370, 596, 370, 618, 304, 618]",0,OTHER,"36,000"
"[194, 600, 234, 600, 234, 618, 194, 618]",0,OTHER,GOI
"[12, 646, 96, 648, 96, 670, 11, 669]",0,OTHER,Tổng sối
"[428, 666, 506, 666, 506, 686, 428, 688]",18,TOTAL_COST,"229,000"
"[12, 676, 118, 680, 118, 702, 10, 703]",18,TOTAL_COST,Tổng cộng
"[430, 700, 506, 700, 506, 720, 430, 722]",0,OTHER,"300,000"
"[252, 706, 298, 706, 298, 728, 252, 728]",0,OTHER,VND
"[12, 710, 168, 710, 168, 730, 12, 734]",0,OTHER,Tiền khách trả:
"[440, 736, 504, 734, 504, 756, 440, 756]",0,OTHER,"71,000"
"[12, 750, 158, 748, 158, 770, 12, 772]",0,OTHER,Tiền trả lại VND:
"[34, 794, 299, 787, 300, 810, 34, 816]",0,TIMESTAMP,SỔ GD: 000AC2212008001782
"[302, 788, 501, 776, 502, 799, 302, 812]",17,TIMESTAMP,Ngày: 13/08/2020-16:52
"[204, 826, 342, 822, 342, 844, 204, 846]",0,OTHER,Thu ngân: BH3
"[82, 856, 430, 846, 430, 866, 82, 874]",0,OTHER,Xin cám ơn và hẹn gắý khách
