poly,cate_id,cate_text,vietocr_text
"[126, 52, 284, 54, 284, 70, 126, 70]",15,SELLER,MINIMARTANAN
"[104, 80, 300, 82, 300, 96, 104, 98]",16,ADDRESS,Chợ Sủi Phú Thị Gia Làm Như
"[14, 108, 28, 108, 28, 120, 14, 120]",0,OTHER,el
"[98, 138, 314, 140, 314, 166, 98, 166]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[16, 172, 93, 173, 91, 193, 16, 190]",0,OTHER,Tên hàng
"[294, 172, 382, 174, 382, 190, 294, 190]",0,OTHER,Thành tiền
"[214, 172, 276, 172, 276, 194, 214, 190]",0,OTHER,Đơn giáo
"[112, 172, 188, 172, 188, 190, 112, 190]",0,OTHER,SL ĐVT
"[10, 198, 322, 200, 322, 216, 10, 216]",0,OTHER,3936017364113 Tương ới chinsu 250g NT
"[144, 226, 174, 226, 174, 238, 144, 238]",0,OTHER,CHA
"[230, 224, 284, 224, 284, 242, 230, 242]",0,OTHER,"12,000"
"[336, 224, 392, 224, 392, 242, 336, 242]",0,OTHER,"24,000"
"[10, 250, 260, 252, 260, 270, 10, 270]",0,OTHER,0986060631149 Giấy posyrrit nam
"[142, 280, 174, 280, 174, 292, 142, 292]",0,OTHER,GOT
"[230, 278, 284, 278, 284, 296, 230, 296]",0,OTHER,"15,000"
"[338, 280, 394, 280, 394, 298, 338, 298]",0,OTHER,"15,000"
"[10, 306, 342, 310, 342, 328, 10, 324]",0,OTHER,3936011771016 Kem ốc Merino Tiramisu NT
"[142, 334, 174, 334, 174, 348, 142, 348]",0,OTHER,CAD
"[230, 334, 284, 334, 284, 352, 230, 352]",0,OTHER,"14,000"
"[338, 336, 394, 336, 394, 354, 338, 354]",0,OTHER,"14,000"
"[17, 362, 70, 366, 70, 382, 13, 379]",0,OTHER,ông sối
"[6, 381, 86, 390, 86, 406, 4, 402]",18,TOTAL_COST,Tổng cộng
"[342, 394, 396, 394, 396, 412, 342, 412]",18,TOTAL_COST,"53,000"
"[6, 408, 124, 412, 124, 428, 6, 426]",0,OTHER,Tiền khách trải
"[192, 416, 230, 416, 230, 434, 192, 434]",0,OTHER,VND
"[342, 420, 396, 420, 396, 440, 342, 438]",0,OTHER,"53,000"
"[26, 442, 226, 449, 225, 468, 26, 460]",0,OTHER,SỔ GD: 0000C2212008001070
"[228, 450, 392, 456, 392, 474, 228, 472]",17,OTHER,Ngày: 09/08/2020-16:30
"[150, 476, 260, 478, 260, 496, 150, 494]",0,OTHER,Thu ngân: BH3
"[60, 492, 330, 502, 330, 520, 60, 510]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách
