poly,cate_id,cate_text,vietocr_text
"[147, 56, 307, 52, 308, 71, 147, 72]",15,SELLER,MINIMART ANAN
"[128, 84, 326, 84, 326, 98, 128, 98]",16,ADDRESS,Chợ Súi Phú Thị Gia Lâm
"[118, 132, 338, 136, 338, 158, 117, 155]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[242, 166, 409, 165, 407, 180, 242, 180]",0,OTHER,Đơn giáo Thành tiân
"[36, 166, 112, 166, 112, 184, 36, 182]",0,OTHER,Tên hàng
"[136, 166, 212, 164, 212, 180, 136, 180]",0,OTHER,SL ĐVT
"[30, 190, 352, 188, 352, 204, 30, 210]",0,OTHER,291008020000 Sửa túi fino đường VNM NT
"[268, 214, 312, 212, 312, 230, 268, 230]",0,OTHER,"6,500"
"[30, 216, 126, 216, 126, 234, 30, 234]",0,OTHER,Giá đăng kỷ:
"[264, 238, 310, 238, 310, 258, 264, 258]",0,OTHER,"6,375"
"[354, 238, 420, 238, 420, 256, 354, 256]",0,OTHER,"306,000"
"[166, 242, 198, 242, 198, 256, 166, 256]",0,OTHER,GOT
"[30, 242, 96, 242, 96, 260, 30, 260]",0,OTHER,Giá bán:
"[30, 270, 410, 270, 410, 286, 30, 290]",0,OTHER,001201008340000 SCU Susu chai cam NT
"[270, 298, 312, 294, 312, 314, 270, 314]",0,OTHER,"4,500"
"[30, 296, 124, 298, 124, 314, 30, 314]",0,OTHER,Giá đăng ký:
"[364, 320, 420, 320, 420, 338, 364, 338]",0,OTHER,"24,000"
"[28, 320, 94, 324, 94, 338, 28, 338]",0,OTHER,Giá bán:
"[166, 322, 198, 322, 198, 338, 166, 338]",0,OTHER,CHA
"[268, 324, 312, 320, 312, 338, 268, 338]",0,OTHER,"4,000"
"[26, 348, 412, 348, 412, 366, 26, 368]",0,OTHER,09201030070000 SCU SUSU CHAI TÁO NHO NGHIỆN
"[24, 372, 124, 376, 124, 396, 24, 390]",0,OTHER,Giá đặng ky
"[270, 378, 314, 374, 314, 392, 270, 392]",0,OTHER,"4,500"
"[22, 396, 92, 398, 92, 414, 22, 414]",0,OTHER,Giá bán:
"[166, 402, 198, 402, 198, 414, 166, 414]",0,OTHER,CHA
"[366, 400, 421, 397, 423, 415, 366, 418]",0,OTHER,"24,000"
"[268, 404, 312, 400, 312, 418, 268, 416]",0,OTHER,"4,000"
"[20, 424, 272, 428, 272, 446, 20, 444]",0,OTHER,291008090000 Sữa fristi táo NT
"[18, 450, 118, 452, 118, 470, 18, 468]",0,OTHER,Giá đăng ký
"[270, 456, 316, 452, 316, 470, 270, 470]",0,OTHER,"4,000"
"[16, 476, 88, 478, 88, 496, 16, 494]",0,OTHER,Giá bán:
"[270, 482, 312, 478, 312, 498, 270, 498]",0,OTHER,"3,667"
"[166, 480, 198, 480, 198, 494, 166, 494]",0,OTHER,HOP
"[368, 478, 426, 480, 426, 498, 368, 498]",0,OTHER,"22,002"
"[14, 508, 412, 510, 412, 528, 14, 526]",0,OTHER,000230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
"[12, 534, 114, 536, 114, 554, 12, 552]",0,OTHER,Giá đăng ký 1
"[270, 538, 316, 534, 316, 554, 270, 554]",0,OTHER,"4,500"
"[10, 562, 82, 562, 82, 582, 10, 582]",0,OTHER,Giá bán:
"[370, 562, 430, 562, 430, 582, 370, 582]",0,OTHER,"24,000"
"[162, 566, 196, 566, 196, 580, 162, 580]",0,OTHER,CHA
"[270, 566, 316, 562, 316, 582, 270, 582]",0,OTHER,"4,000"
"[18, 595, 80, 600, 80, 620, 14, 617]",0,OTHER,ổng số:
"[132, 604, 154, 604, 154, 620, 132, 620]",0,OTHER,72
"[10, 626, 99, 630, 97, 649, 10, 642]",0,OTHER,Tổng cộng
"[366, 624, 434, 624, 434, 644, 366, 644]",0,OTHER,"400,002"
"[20, 658, 86, 660, 86, 680, 18, 679]",18,TOTAL_COST,snn tiền)
"[366, 660, 434, 662, 434, 680, 366, 680]",18,TOTAL_COST,"400,002"
"[10, 684, 140, 686, 140, 704, 10, 704]",0,OTHER,Tiển khách trả:
"[212, 690, 252, 690, 252, 708, 212, 708]",0,OTHER,VND
"[366, 688, 434, 690, 434, 708, 366, 708]",0,OTHER,"400,002"
"[16, 732, 226, 730, 226, 750, 16, 750]",0,OTHER,Mã thẻ: A10000001095
"[18, 758, 182, 756, 182, 780, 18, 778]",0,OTHER,(0) nguyễn thị thủy
"[16, 784, 108, 792, 108, 806, 14, 803]",0,OTHER,Điêm mua:
"[408, 790, 432, 790, 432, 808, 408, 808]",0,OTHER,40
"[16, 812, 146, 816, 146, 834, 16, 834]",0,OTHER,Điểm hiện thời:
"[386, 820, 432, 818, 432, 838, 386, 838]",0,OTHER,"2,4139"
"[16, 842, 148, 846, 148, 864, 14, 863]",0,OTHER,Hạng hiện thời:
"[16, 870, 208, 874, 208, 896, 16, 890]",0,OTHER,Giá trị thưởng tích lũy:
"[374, 876, 432, 876, 432, 894, 374, 896]",0,OTHER,"10,664"
"[32, 908, 250, 912, 250, 930, 32, 926]",0,OTHER,SỐ GD: 000002212008001551
"[252, 912, 426, 912, 426, 930, 252, 932]",17,OTHER,Ngày: 11/08/2020-20:41
"[172, 940, 288, 940, 288, 952, 172, 952]",0,OTHER,Thu ngân: BH3
"[106, 954, 136, 954, 136, 962, 106, 962]",0,OTHER,Gam
