poly,cate_id,cate_text,vietocr_text
"[188, 82, 306, 82, 306, 100, 188, 100]",16,ADDRESS,VIS - QNH 580 Trần Phú
"[172, 104, 326, 107, 322, 125, 172, 122]",16,ADDRESS,"Só 550 Trần Phu, P. Căm Thuy"
"[32, 118, 138, 118, 138, 146, 32, 146]",15,SELLER,Vincommerce
"[186, 128, 312, 126, 312, 142, 186, 142]",16,ADDRESS,TP. Càm Phả Quảng Ninh
"[198, 150, 298, 146, 298, 164, 198, 164]",0,OTHER,024171068866-43581
"[132, 186, 254, 184, 254, 202, 132, 202]",0,OTHER,HÓA ƠN BÁN HẢNG
"[274, 206, 356, 206, 356, 222, 274, 222]",0,OTHER,01:00133676
"[30, 204, 230, 208, 230, 222, 30, 222]",17,TIMESTAMP,Ngày bán: 14/08/2020 22:04
"[32, 226, 96, 224, 96, 242, 32, 242]",0,OTHER,quấy:001
"[256, 224, 362, 224, 362, 242, 256, 242]",0,OTHER,NVBH:09020498
"[32, 262, 99, 264, 97, 282, 32, 280]",0,OTHER,Mặt hàng
"[304, 262, 356, 262, 356, 280, 304, 280]",0,OTHER,Ti. Tiển
"[172, 264, 222, 264, 222, 282, 172, 280]",0,OTHER,ơn giái
"[252, 268, 268, 268, 268, 280, 252, 280]",0,OTHER,SL
"[296, 282, 340, 282, 340, 300, 296, 300]",0,OTHER,G220g
"[32, 282, 278, 284, 278, 300, 32, 300]",0,OTHER,Sữa uống là mạchMi 10 Nest lê 3 in
"[312, 302, 364, 304, 364, 318, 312, 318]",0,OTHER,36.500
"[34, 304, 138, 304, 138, 320, 34, 320]",0,OTHER,0994404025650
"[182, 306, 230, 306, 230, 320, 182, 320]",0,OTHER,36.500
"[32, 322, 230, 326, 230, 340, 32, 338]",0,OTHER,MIWON LÁ KIM CUỐN CƠM 1000
"[180, 342, 230, 342, 230, 358, 180, 358]",0,OTHER,22.500
"[34, 344, 138, 344, 138, 358, 34, 358]",0,OTHER,08935304200233
"[314, 344, 364, 344, 364, 356, 314, 356]",0,OTHER,"22,500"
"[32, 360, 332, 362, 332, 376, 32, 376]",0,OTHER,Trà túi lọc nhãn vàng Lipton 248
"[314, 382, 364, 382, 364, 396, 314, 396]",0,OTHER,38:000
"[34, 382, 138, 382, 138, 396, 34, 396]",0,OTHER,08934707009269
"[180, 380, 230, 382, 230, 396, 180, 396]",0,OTHER,"38,000"
"[34, 402, 52, 402, 52, 414, 34, 414]",0,OTHER,KM
"[314, 402, 364, 398, 364, 416, 314, 416]",0,OTHER,3.300
"[32, 418, 322, 418, 322, 434, 32, 434]",0,OTHER,sữa TT Vinamilk không đúơng túi 220m 1
"[206, 440, 230, 440, 230, 454, 206, 454]",0,OTHER,200
"[34, 440, 138, 440, 138, 454, 34, 454]",0,OTHER,08934673501354
"[314, 440, 364, 440, 364, 454, 314, 454]",0,OTHER,14.400
"[308, 478, 364, 478, 364, 492, 308, 492]",18,TOTAL_COST,108.1000
"[32, 474, 200, 474, 200, 492, 32, 492]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[32, 494, 162, 492, 162, 510, 32, 512]",0,OTHER,TỔNG TIẾN Ã GIẢM
"[308, 498, 356, 496, 356, 512, 308, 512]",0,OTHER,3.300
"[32, 514, 146, 512, 146, 530, 32, 532]",0,OTHER,TIỀN KHÁCH TRÃ
"[308, 518, 366, 518, 366, 532, 308, 532]",0,OTHER,108.100
"[38, 532, 106, 536, 106, 550, 38, 550]",0,OTHER,TIẾN MẶT
"[308, 536, 364, 536, 364, 552, 308, 552]",0,OTHER,108.100
"[30, 552, 130, 556, 130, 570, 30, 570]",0,OTHER,TIẾN TRẢ LẠI
"[94, 572, 300, 574, 300, 590, 94, 590]",0,OTHER,(Giá đã bao gốm thuế gigt)
"[32, 616, 168, 612, 168, 630, 32, 630]",0,OTHER,ID thế khách hàng
"[294, 618, 364, 618, 364, 632, 294, 632]",0,OTHER,EXXXXX7877
"[40, 634, 231, 633, 229, 652, 40, 650]",0,OTHER,TIẾM TÍCH(1.000VND:1 điểm)
"[228, 653, 366, 656, 365, 672, 227, 669]",0,OTHER,00435800100133676
"[30, 652, 136, 654, 136, 670, 30, 670]",0,OTHER,Số tham chiếu
"[86, 710, 302, 714, 302, 730, 86, 728]",0,OTHER,Chỉ xuất hóa đơn trong ngày người
"[32, 734, 367, 738, 365, 753, 32, 748]",0,OTHER,Tha Tax invoice will be issued within same day
"[70, 770, 318, 774, 318, 788, 70, 786]",0,OTHER,CÁM ƠN QUÝ KHÁCH VÀ HỆN GẬP LẠI
"[30, 792, 358, 794, 358, 808, 30, 806]",0,OTHER,Hot 1 ine: 02471066866 Nebsite: Vinmart . COM
