poly,cate_id,cate_text,vietocr_text
"[172, 58, 292, 50, 292, 68, 172, 74]",16,ADDRESS,CHO THO THỊ KHU PHA THA NHA
"[174, 78, 270, 74, 270, 88, 174, 90]",16,ADDRESS,NGUY KHU MINH THOA
"[26, 74, 124, 87, 121, 112, 23, 99]",15,SELLER,Vincommerce
"[162, 94, 292, 88, 292, 104, 162, 108]",16,ADDRESS,Cám Đinh TP. Cần Phú Quốc
"[177, 112, 266, 110, 266, 124, 178, 126]",0,OTHER,0011100001119
"[118, 144, 228, 142, 228, 156, 118, 156]",0,OTHER,NGÀY DÂN DÂN VĂNG
"[26, 151, 206, 160, 206, 172, 24, 164]",17,TIMESTAMP,Ngày ban 17702020212
"[259, 158, 319, 155, 320, 168, 260, 172]",0,OTHER,00032403
"[26, 170, 78, 174, 78, 186, 26, 184]",0,OTHER,NGUY
"[231, 176, 327, 170, 328, 184, 232, 190]",0,OTHER,011000254301
"[26, 204, 87, 208, 85, 222, 26, 216]",0,OTHER,Một hắng
"[278, 208, 324, 204, 324, 218, 278, 220]",0,OTHER,19 tiên
"[228, 210, 242, 210, 242, 220, 228, 220]",0,OTHER,SL
"[156, 210, 200, 210, 200, 224, 156, 222]",0,OTHER,lon gia
"[26, 219, 188, 226, 188, 240, 24, 233]",0,OTHER,Finh gia công nghiệp chiếp triện nghiệp thiệp thiệp triện nghiệp thiệp thiệp triện nghiệp thiệp thiệp triện nghiệp thiệp thiệp tr
"[206, 226, 274, 224, 274, 238, 206, 240]",0,OTHER,Khay 500G
"[26, 237, 122, 242, 121, 257, 25, 252]",0,OTHER,1155150000017
"[286, 240, 332, 238, 332, 252, 286, 252]",0,OTHER,40.000
"[164, 244, 210, 244, 210, 256, 164, 256]",0,OTHER,48.000
"[26, 255, 260, 260, 260, 274, 24, 269]",0,OTHER,Rong biểm tân cuốc Miwon gói chiến
"[26, 276, 124, 276, 124, 290, 26, 290]",0,OTHER,08801052008226
"[288, 274, 334, 272, 334, 286, 288, 288]",0,OTHER,40.700
"[164, 280, 210, 278, 210, 292, 164, 290]",0,OTHER,140.700
"[290, 310, 336, 310, 336, 322, 290, 322]",18,TOTAL_COST,888700
"[26, 308, 182, 312, 182, 326, 26, 324]",18,TOTAL_COST,TỔNG TIẾN PHẢI 1. TOÁN
"[24, 324, 146, 328, 146, 342, 24, 342]",0,OTHER,TỜNG TIẾN Ả GIẢM
"[22, 343, 132, 346, 132, 360, 24, 360]",0,OTHER,TIẾN KHÁCH TRÃ
"[290, 344, 338, 344, 338, 358, 290, 358]",0,OTHER,88.700
"[284, 362, 338, 360, 338, 374, 284, 376]",0,OTHER,100.000
"[32, 364, 94, 366, 94, 378, 32, 378]",0,OTHER,TIÊN MAT
"[26, 380, 118, 382, 118, 396, 26, 394]",0,OTHER,TIẾN TRÃ LẠI
"[24, 434, 154, 438, 154, 452, 24, 450]",0,OTHER,ID thể khách hăng
"[252, 434, 342, 434, 342, 448, 252, 448]",0,OTHER,XXXXXXXXX0099
"[26, 454, 212, 452, 212, 468, 26, 468]",0,OTHER,THIẾM TÍCH(1.00000ND:1 điểm)
"[212, 472, 342, 472, 342, 486, 212, 486]",0,OTHER,00515600100032483
"[24, 474, 126, 474, 126, 488, 24, 488]",0,OTHER,SỐ THÂN CHIẾU
"[76, 526, 284, 528, 284, 542, 76, 544]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[24, 550, 346, 546, 346, 560, 24, 564]",0,OTHER,The Tax invoice will be issued within same day 1991
"[60, 586, 302, 582, 302, 600, 60, 602]",0,OTHER,CÁM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI TH
"[22, 608, 342, 606, 342, 618, 22, 622]",0,OTHER,Hot line: 02471066866 nebsite: vinmart.com
