poly,cate_id,cate_text,vietocr_text
"[202, 86, 310, 84, 310, 100, 202, 102]",16,ADDRESS,VINH QNH 88 Trần Phú
"[172, 102, 340, 104, 340, 124, 172, 122]",16,ADDRESS,"Số 88 Đường Trần Phú, P. Câm Tây Nha"
"[48, 115, 150, 118, 149, 144, 47, 141]",15,SELLER,VinCommerce
"[188, 128, 322, 124, 322, 140, 188, 144]",16,ADDRESS,"TP Cảm Phả, T. Quảng Ninh"
"[206, 146, 304, 142, 304, 162, 206, 164]",0,OTHER,024.71066866-43331
"[142, 178, 262, 180, 262, 198, 142, 196]",0,OTHER,HÓA ƠN BẮN HẰNG
"[44, 196, 238, 200, 238, 216, 44, 214]",17,TIMESTAMP,Ngày bán:09/08/2020 10:36
"[280, 202, 360, 202, 360, 216, 280, 216]",0,OTHER,00100078723
"[46, 218, 108, 218, 108, 232, 46, 232]",0,OTHER,quay:001
"[265, 221, 367, 218, 368, 233, 266, 236]",0,OTHER,NVBH:09020168
"[44, 254, 109, 255, 107, 270, 44, 268]",0,OTHER,Mặt hàng
"[312, 260, 362, 254, 362, 272, 312, 272]",0,OTHER,1.Tiền
"[260, 260, 274, 260, 274, 272, 260, 272]",0,OTHER,SL
"[182, 260, 229, 256, 231, 273, 182, 272]",0,OTHER,con giá
"[44, 272, 352, 278, 352, 290, 44, 286]",0,OTHER,Như cam cố tếp Teppy Maid Chailling
"[44, 292, 144, 294, 144, 308, 44, 306]",0,OTHER,089955049510727
"[340, 294, 368, 294, 368, 310, 340, 310]",0,OTHER,200
"[188, 294, 238, 296, 238, 310, 188, 310]",0,OTHER,20.600
"[44, 312, 62, 312, 62, 324, 44, 324]",0,OTHER,KM
"[326, 316, 368, 312, 368, 328, 326, 328]",0,OTHER,"25,400"
"[44, 330, 252, 334, 252, 350, 44, 344]",0,OTHER,Cháo thịt bảm gầu có thuy
"[41, 347, 143, 347, 143, 363, 41, 363]",0,OTHER,8934679452407
"[196, 352, 238, 352, 238, 366, 196, 364]",0,OTHER,3.400
"[320, 354, 368, 350, 368, 366, 320, 366]",0,OTHER,10.200
"[42, 366, 344, 370, 344, 388, 42, 382]",0,OTHER,Sốt gia vi thịt nướng sả Barona gói 809 thuy
"[42, 385, 144, 388, 144, 402, 41, 400]",0,OTHER,08936028040716
"[190, 390, 236, 388, 236, 404, 190, 402]",0,OTHER,10.700
"[320, 390, 368, 388, 368, 404, 320, 404]",0,OTHER,"10,700"
"[42, 406, 330, 406, 330, 424, 42, 418]",0,OTHER,Mùi ta (ngô rí) 115.000/kg xg thuy ngày 1950
"[42, 424, 144, 426, 144, 440, 42, 438]",0,OTHER,02600126000229
"[196, 428, 236, 426, 236, 442, 196, 442]",0,OTHER,2.530
"[326, 428, 368, 428, 368, 444, 326, 444]",0,OTHER,2.530
"[38, 440, 260, 444, 260, 460, 38, 458]",0,OTHER,"Hành là 55.000/KG X 0,024 KG"
"[40, 460, 144, 464, 143, 479, 39, 476]",0,OTHER,06200222000246
"[204, 466, 236, 466, 236, 480, 204, 480]",0,OTHER,320
"[342, 466, 368, 466, 368, 482, 342, 482]",0,OTHER,320
"[38, 496, 206, 500, 206, 516, 38, 514]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[318, 506, 368, 502, 368, 520, 318, 518]",18,TOTAL_COST,60.550
"[38, 516, 166, 520, 166, 534, 38, 534]",0,OTHER,TỔNG TIẾN Ả GIÁM
"[312, 526, 360, 522, 360, 538, 312, 538]",0,OTHER,5:400
"[38, 536, 150, 536, 150, 554, 38, 554]",0,OTHER,TIẾN KHÁCH TRÃ
"[320, 544, 368, 542, 368, 558, 320, 556]",0,OTHER,60.550
"[46, 558, 110, 556, 110, 572, 46, 572]",0,OTHER,TIÊN MẶT
"[310, 560, 368, 562, 368, 576, 310, 576]",0,OTHER,100.000
"[46, 576, 88, 576, 88, 592, 46, 592]",0,OTHER,Vinid
"[342, 582, 368, 582, 368, 596, 342, 596]",0,OTHER,000
"[36, 592, 134, 596, 134, 612, 36, 612]",0,OTHER,TIÊN TRẢ LẠI
"[316, 598, 368, 598, 368, 614, 316, 614]",0,OTHER,40.450
"[98, 614, 304, 616, 304, 634, 98, 632]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[36, 654, 173, 655, 171, 672, 36, 668]",0,OTHER,102 thế khách hàng
"[304, 658, 366, 658, 366, 672, 304, 672]",0,OTHER,XXXX2962
"[34, 672, 232, 672, 232, 690, 34, 688]",0,OTHER,Tiếm tích(1.000VND.1 điểm)
"[32, 692, 140, 692, 140, 710, 32, 710]",0,OTHER,Số tham chiếu
"[232, 696, 366, 696, 366, 712, 232, 712]",0,OTHER,004333001000787
"[88, 750, 304, 754, 304, 772, 88, 768]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[32, 772, 366, 776, 366, 790, 32, 790]",0,OTHER,The Tax invoice will be issued Within same days
"[70, 812, 322, 816, 322, 830, 70, 830]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[30, 836, 360, 836, 360, 848, 30, 850]",0,OTHER,Hot line: 02471066866 nebsite: Vinmart.com
