poly,cate_id,cate_text,vietocr_text
"[142, 66, 212, 64, 212, 82, 142, 84]",15,SELLER,PHÔ MÔ
"[206, 86, 302, 84, 301, 102, 206, 100]",16,ADDRESS,Pháp Chm Thủy Th
"[44, 86, 66, 86, 66, 104, 44, 104]",16,ADDRESS,TỔ
"[82, 90, 190, 88, 190, 100, 82, 104]",16,ADDRESS,KHU TÂN LAP 4
"[188, 104, 280, 102, 280, 118, 188, 120]",16,ADDRESS,Quảng Ninh
"[78, 108, 174, 104, 174, 120, 78, 122]",16,ADDRESS,Tp.Chm Phố
"[110, 126, 246, 122, 246, 138, 110, 140]",0,OTHER,01110350.931 931
"[110, 152, 246, 150, 246, 164, 110, 166]",0,OTHER,PHÓA ĐƠN DÂN HÀNG
"[82, 170, 276, 168, 276, 180, 82, 180]",0,OTHER,000101010000000001
"[140, 186, 240, 186, 240, 196, 140, 198]",17,TIMESTAMP,007202000000
"[42, 210, 108, 210, 108, 222, 42, 220]",0,OTHER,Nguych nang
"[42, 226, 68, 226, 68, 236, 42, 236]",0,OTHER,ser
"[42, 242, 82, 242, 82, 254, 42, 254]",0,OTHER,Đia chi
"[252, 276, 314, 276, 314, 288, 252, 288]",0,OTHER,Thành liên
"[40, 276, 88, 278, 88, 290, 40, 290]",0,OTHER,Đơn gia
"[40, 298, 86, 298, 86, 310, 40, 310]",0,OTHER,Matcha
"[276, 314, 316, 314, 316, 328, 276, 328]",0,OTHER,25.000
"[40, 318, 80, 316, 80, 330, 40, 330]",0,OTHER,"25,000"
"[40, 338, 160, 338, 160, 350, 40, 350]",0,OTHER,Tra chanh nha dam
"[276, 354, 316, 354, 316, 368, 276, 368]",0,OTHER,15.000
"[40, 358, 80, 356, 80, 368, 40, 368]",0,OTHER,15:000
"[38, 376, 156, 376, 156, 388, 38, 388]",0,OTHER,Trà Chanh Con Cả
"[278, 394, 318, 392, 318, 408, 278, 408]",0,OTHER,30.000
"[40, 396, 78, 396, 78, 408, 40, 408]",0,OTHER,"15,000"
"[36, 416, 154, 416, 154, 428, 36, 430]",0,OTHER,Phướng dương diaa
"[38, 436, 78, 436, 78, 448, 38, 448]",0,OTHER,12.000
"[280, 436, 320, 436, 320, 448, 280, 448]",0,OTHER,12.000
"[136, 470, 234, 474, 234, 486, 134, 485]",0,OTHER,Cộng tiền hàng;
"[282, 472, 324, 472, 324, 484, 282, 484]",0,OTHER,"82,000"
"[164, 494, 236, 494, 236, 506, 164, 508]",0,OTHER,Chiết khầu th
"[164, 514, 234, 516, 234, 530, 162, 529]",18,TOTAL_COST,Tổng cộng:
"[284, 516, 326, 514, 326, 528, 284, 530]",18,TOTAL_COST,"182,000"
"[286, 538, 328, 538, 328, 552, 286, 550]",0,OTHER,82.000
"[140, 538, 232, 540, 232, 552, 140, 552]",0,OTHER,Tiên khach dưang
"[174, 560, 234, 562, 234, 574, 174, 574]",0,OTHER,Tiền thùa 
"[34, 586, 220, 582, 220, 598, 34, 598]",0,OTHER,Tám mươi hai nghìn đồng chắn thuy
"[116, 626, 256, 626, 256, 638, 116, 638]",0,OTHER,Cám on và hen gap lail
"[110, 646, 260, 646, 260, 658, 110, 660]",0,OTHER,Powered by POS365 VN
