poly,cate_id,cate_text,vietocr_text
"[22, 110, 32, 110, 32, 130, 22, 130]",0,OTHER,a
"[50, 113, 217, 124, 215, 151, 48, 140]",0,OTHER,Vietcombank
"[20, 166, 46, 166, 46, 206, 20, 206]",15,SELLER,linh liện thiến liện thiến liện thiến liện thiến liện thiến liện thiến liện thiến liện thiến liện thiến liện thiến liện thiến liệ
"[146, 182, 250, 178, 250, 194, 146, 196]",15,SELLER,VINH VINN MAN THU THI THUY
"[64, 196, 82, 196, 82, 208, 64, 208]",0,OTHER,MA
"[142, 200, 250, 196, 250, 212, 142, 212]",16,ADDRESS,TU CHINH BB NGI THI NGHINH
"[184, 216, 250, 216, 250, 228, 184, 230]",16,ADDRESS,NHÀ QUANG NIMI
"[90, 232, 132, 232, 132, 246, 90, 246]",0,OTHER,/NGM
"[146, 234, 164, 234, 164, 246, 146, 246]",0,OTHER,mid
"[178, 232, 250, 232, 250, 248, 178, 248]",0,OTHER,000101106002190
"[18, 238, 100, 248, 100, 262, 18, 260]",0,OTHER,STẾ MISTEM ARD
"[216, 250, 250, 250, 250, 264, 216, 264]",0,OTHER,311700
"[26, 262, 118, 268, 118, 282, 26, 278]",0,OTHER,NGIÊN: MINH TOMV TRINH
"[18, 280, 76, 284, 76, 298, 18, 302]",0,OTHER,NGAY H.HIAN S
"[224, 286, 252, 286, 252, 300, 224, 300]",0,OTHER,wa
"[84, 302, 178, 302, 178, 318, 84, 318]",0,OTHER,THANH TOÁN
"[42, 320, 58, 320, 58, 332, 42, 332]",0,TIMESTAMP,w
"[16, 300, 50, 300, 50, 358, 16, 358]",17,TIMESTAMP,L
"[148, 322, 188, 322, 188, 336, 148, 334]",0,OTHER,SONG
"[220, 322, 252, 322, 252, 336, 220, 336]",17,TIMESTAMP,0074
"[102, 322, 132, 322, 132, 334, 102, 334]",0,OTHER,1000115
"[211, 339, 251, 337, 252, 351, 212, 354]",17,TIMESTAMP,11:11:58
"[78, 340, 128, 340, 128, 352, 78, 352]",17,TIMESTAMP,1982200
"[148, 340, 166, 340, 166, 354, 148, 354]",17,TIMESTAMP,GIO
"[148, 358, 206, 358, 206, 370, 148, 370]",0,OTHER,THỊ HIỆN UI
"[222, 358, 252, 358, 252, 370, 222, 370]",0,OTHER,101631
"[16, 354, 132, 358, 132, 372, 16, 374]",0,OTHER,0010:001511001641
"[14, 389, 114, 390, 114, 408, 16, 410]",18,TOTAL_COST,TRONG CÔNG
"[156, 394, 252, 390, 252, 408, 156, 408]",18,TOTAL_COST,"BUND110,698"
"[16, 410, 100, 414, 100, 426, 16, 426]",0,OTHER,ANT Mastercard
"[16, 428, 118, 430, 118, 444, 16, 444]",0,OTHER,000000000000000100
"[48, 448, 128, 448, 128, 462, 48, 462]",0,OTHER,GEDEOBARCHES
"[182, 458, 218, 458, 218, 480, 182, 480]",0,OTHER,NO
"[14, 476, 128, 476, 128, 490, 14, 490]",0,OTHER,CHO KY: NHỮNG YẾU CAU
"[90, 532, 224, 530, 224, 546, 90, 548]",0,OTHER,NGUY THỊ THỊ THANH NAY
"[120, 552, 156, 550, 156, 566, 120, 566]",0,OTHER,LA BUNS
"[104, 568, 176, 568, 176, 584, 104, 586]",0,OTHER,VŨNG HOAN TRÁ
"[14, 560, 26, 560, 26, 612, 14, 612]",0,OTHER,I
"[82, 592, 200, 590, 200, 604, 82, 604]",0,OTHER,THONG THO NGHI THU NGHI THUY
"[14, 612, 26, 612, 26, 634, 14, 634]",0,OTHER,S
