poly,cate_id,cate_text,vietocr_text
"[150, 72, 300, 75, 299, 92, 150, 88]",16,ADDRESS,Việt ONH 168 Khu 38 Câm Trưng
"[166, 92, 288, 97, 285, 112, 166, 106]",16,ADDRESS,108 Khu BB. Can Trung
"[28, 99, 126, 102, 125, 128, 27, 125]",15,SELLER,UnCommerce
"[162, 108, 288, 110, 288, 130, 162, 124]",16,ADDRESS,"TP. Căm Pha, T, Quảng Nhà"
"[178, 128, 272, 132, 272, 146, 178, 146]",0,OTHER,024.71066850048611
"[122, 160, 234, 162, 234, 176, 122, 174]",0,OTHER,HOA ON DÂN HẶNG
"[26, 174, 212, 182, 212, 194, 26, 192]",17,TIMESTAMP,Ngày bản: 13/0B/2020 18:19
"[252, 182, 326, 182, 326, 196, 252, 196]",0,OTHER,0100046156
"[28, 196, 88, 196, 88, 210, 28, 210]",0,OTHER,Quây:001
"[236, 200, 332, 200, 332, 214, 236, 214]",0,OTHER,NVBH:09024524
"[28, 230, 90, 232, 90, 246, 28, 244]",0,OTHER,Vật hàng
"[158, 236, 204, 232, 204, 250, 158, 248]",0,OTHER,ơn giáo
"[280, 234, 326, 234, 326, 248, 280, 248]",0,OTHER,T.TTEN
"[28, 248, 176, 250, 176, 266, 28, 262]",0,OTHER,CP Thit heo xay 300g
"[28, 268, 124, 268, 124, 282, 28, 282]",0,OTHER,08935058962104
"[166, 270, 212, 270, 212, 282, 166, 282]",0,OTHER,1995500
"[288, 270, 334, 268, 334, 284, 288, 282]",0,OTHER,44.500
"[28, 302, 184, 304, 184, 318, 28, 316]",18,TOTAL_COST,THN THÔNG TIẾN PHẢI T. TOÁN
"[290, 306, 334, 306, 334, 318, 290, 318]",18,TOTAL_COST,49.500
"[28, 320, 148, 318, 148, 336, 28, 334]",0,OTHER,TÔNG TIẾN Ả GIẢM
"[28, 336, 132, 338, 132, 354, 28, 354]",0,OTHER,TIỀN KHÁCH TRÃNG
"[290, 342, 336, 340, 336, 354, 290, 354]",0,OTHER,249.500
"[34, 354, 96, 356, 96, 372, 34, 372]",0,OTHER,TIẾN MẶT
"[290, 358, 336, 358, 336, 370, 290, 370]",0,OTHER,49.500
"[28, 374, 120, 376, 120, 390, 28, 388]",0,OTHER,TIÊN TRÃ LẠI
"[88, 394, 280, 392, 280, 408, 88, 408]",0,OTHER,Giá da bao gồm thuế gigt)
"[80, 446, 282, 446, 282, 462, 80, 460]",0,OTHER,Chi xuất hóa đơn trong ngày
"[26, 466, 340, 466, 340, 480, 26, 480]",0,OTHER,Tax invoice wi11 be issued within same day
"[64, 502, 298, 502, 298, 516, 64, 516]",0,OTHER,CÁM CN GỦY KHÁCH GẶP LẠI
"[24, 522, 336, 522, 336, 534, 24, 536]",0,OTHER,Hot line: 02471066866 Nebsite: Vinmart.com
