poly,cate_id,cate_text,vietocr_text
"[170, 80, 356, 86, 356, 106, 169, 102]",15,SELLER,MINIMARTANAN
"[146, 113, 376, 118, 376, 138, 144, 133]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lam
"[34, 144, 56, 144, 56, 160, 34, 160]",0,OTHER,el:
"[140, 186, 392, 192, 392, 220, 140, 218]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[40, 224, 132, 228, 129, 251, 40, 244]",0,OTHER,Tên hàng
"[158, 226, 246, 228, 246, 246, 158, 246]",0,OTHER,SL ĐVT
"[278, 228, 470, 228, 470, 248, 278, 248]",0,OTHER,Đơn giá Thành tiến
"[34, 252, 394, 260, 394, 278, 33, 274]",0,OTHER,0986012060843 Sữa Mộc Châu 110ml NT
"[32, 282, 146, 284, 146, 304, 32, 302]",0,OTHER,Giá đăng ký;
"[308, 288, 360, 286, 360, 306, 308, 306]",0,OTHER,"4,500"
"[28, 310, 156, 314, 156, 332, 28, 332]",0,OTHER,Giá bán: 12
"[194, 318, 230, 318, 230, 332, 194, 332]",0,OTHER,HOP
"[306, 316, 358, 316, 358, 336, 306, 336]",0,OTHER,"4,375"
"[420, 316, 484, 318, 484, 336, 420, 338]",0,OTHER,"52,500"
"[28, 346, 416, 350, 416, 370, 28, 368]",0,OTHER,038636633137324 Sữa ADM đường 110ml nt
"[24, 376, 142, 378, 142, 398, 24, 396]",0,OTHER,Giá đăng ký:
"[310, 380, 362, 378, 362, 400, 310, 400]",0,OTHER,"4,500"
"[126, 408, 152, 408, 152, 428, 126, 428]",0,OTHER,12
"[190, 410, 228, 410, 228, 428, 190, 428]",0,OTHER,HOP
"[22, 408, 102, 408, 102, 428, 22, 428]",0,OTHER,Giá bán:
"[424, 412, 490, 412, 490, 434, 424, 434]",0,OTHER,"51,000"
"[308, 410, 362, 410, 362, 432, 308, 432]",0,OTHER,"4,250"
"[16, 448, 98, 452, 98, 472, 14, 471]",0,OTHER,Tổng số:
"[154, 456, 180, 456, 180, 474, 154, 474]",0,OTHER,24
"[15, 473, 117, 484, 115, 507, 10, 499]",0,OTHER,Tổng cộng s
"[420, 482, 496, 482, 496, 504, 420, 504]",0,OTHER,"103,500"
"[14, 524, 100, 524, 100, 544, 14, 542]",18,TOTAL_COST,Tổng tiền t
"[420, 524, 496, 524, 496, 546, 420, 546]",18,TOTAL_COST,"103,500"
"[12, 552, 160, 552, 160, 574, 12, 574]",0,OTHER,Tiền khách trả:
"[418, 558, 494, 556, 494, 578, 418, 578]",0,OTHER,"200,000"
"[244, 558, 288, 558, 288, 578, 244, 578]",0,OTHER,VND
"[10, 590, 150, 592, 150, 612, 10, 612]",0,OTHER,Viền trả lại VND;
"[428, 592, 494, 592, 494, 612, 428, 614]",0,OTHER,"96,500"
"[30, 636, 287, 635, 287, 659, 30, 660]",0,OTHER,SỐ GD: 000AC2212008001573
"[292, 638, 490, 636, 490, 656, 292, 662]",17,OTHER,Ngày: 12/08/2020-16:22
"[192, 674, 332, 674, 332, 698, 192, 696]",0,OTHER,Thu ngân: BH3
"[72, 704, 422, 704, 422, 728, 72, 726]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách
