poly,cate_id,cate_text,vietocr_text
"[134, 58, 304, 58, 304, 78, 134, 76]",15,SELLER,MINIMART ANAN
"[110, 88, 324, 88, 324, 106, 110, 108]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm
"[12, 118, 32, 118, 32, 132, 12, 132]",0,OTHER,el:
"[108, 154, 338, 156, 338, 182, 108, 182]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[18, 190, 103, 192, 101, 213, 18, 208]",0,OTHER,Tên hàng
"[232, 190, 408, 188, 408, 208, 232, 208]",0,OTHER,"Đơn giá , Thành tiến"
"[126, 190, 204, 190, 204, 208, 126, 208]",0,OTHER,SL ĐVT
"[14, 216, 396, 218, 396, 236, 14, 236]",0,OTHER,09944755014314 bvs diana sensi cool hàng n NOM
"[250, 244, 306, 242, 306, 262, 250, 262]",0,OTHER,"16,000"
"[158, 246, 190, 246, 190, 260, 158, 260]",0,OTHER,GOT
"[362, 244, 420, 242, 420, 262, 362, 262]",0,OTHER,"48,000"
"[14, 274, 300, 274, 300, 292, 14, 294]",0,OTHER,8934680045896 bánh mi kđ piza NO
"[158, 300, 190, 300, 190, 316, 158, 316]",0,OTHER,GOT
"[250, 300, 306, 298, 306, 318, 250, 318]",0,OTHER,"10,000"
"[360, 298, 418, 298, 418, 316, 360, 318]",0,OTHER,"20,000"
"[13, 334, 288, 330, 288, 348, 14, 354]",0,OTHER,0994680045681 bánh mì bò kđ nt
"[362, 356, 420, 356, 420, 374, 362, 376]",0,OTHER,"16,000"
"[260, 358, 308, 356, 308, 376, 260, 376]",0,OTHER,"8,000"
"[158, 362, 189, 359, 191, 373, 160, 376]",0,OTHER,GOI
"[18, 398, 76, 398, 76, 418, 18, 420]",0,OTHER,tổng sối
"[366, 416, 422, 416, 422, 434, 366, 436]",18,TOTAL_COST,"84,000"
"[16, 422, 97, 425, 95, 446, 14, 443]",18,TOTAL_COST,sng cộng
"[358, 446, 424, 446, 424, 464, 358, 466]",0,OTHER,"500,000"
"[208, 450, 246, 450, 246, 468, 208, 468]",0,OTHER,VND
"[6, 452, 136, 450, 136, 468, 6, 470]",0,OTHER,Tiền khách trả:
"[358, 476, 424, 476, 424, 494, 358, 496]",0,OTHER,"416,000"
"[12, 484, 128, 482, 128, 502, 12, 502]",0,OTHER,đến trả lại VND:
"[26, 520, 247, 516, 248, 536, 26, 540]",0,TIMESTAMP,SỐ GD: 000AC2212008001603
"[250, 518, 419, 511, 420, 532, 250, 538]",17,TIMESTAMP,Ngày: 12/08/2020-12:22
"[166, 546, 284, 544, 284, 564, 166, 564]",0,OTHER,Thu ngân: BH3
"[68, 572, 357, 562, 358, 581, 68, 586]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách chiến
