poly,cate_id,cate_text,vietocr_text
"[160, 18, 319, 28, 310, 72, 160, 60]",0,OTHER,Hanly
"[0, 113, 382, 136, 382, 172, -1, 152]",0,OTHER,Khách hàng: Khách lẻ thu
"[0, 172, 188, 186, 187, 225, -2, 213]",0,OTHER,Điện thoại:
"[0, 234, 132, 240, 132, 276, 0, 276]",0,OTHER,Địa chì:
"[0, 336, 54, 336, 54, 372, 0, 372]",0,OTHER,SL
"[744, 341, 943, 318, 946, 359, 749, 380]",0,OTHER,Thành tiền
"[394, 352, 530, 358, 530, 398, 392, 385]",0,OTHER,Đơn giá
"[0, 426, 416, 438, 416, 480, 0, 462]",0,OTHER,XX Ponnie heo gói 1759
"[8, 500, 20, 500, 20, 524, 8, 524]",0,OTHER,1
"[834, 495, 943, 488, 945, 526, 836, 532]",0,OTHER,"18,000"
"[416, 510, 516, 510, 516, 544, 416, 544]",0,OTHER,"18,000"
"[2, 584, 408, 592, 408, 636, 2, 620]",0,OTHER,XX Bé khỏe - Heo 160g
"[4, 656, 26, 656, 26, 684, 4, 684]",0,OTHER,2
"[831, 655, 941, 650, 943, 687, 832, 692]",0,OTHER,"30,000"
"[420, 662, 518, 662, 518, 698, 420, 698]",0,OTHER,"15,000"
"[6, 742, 382, 746, 382, 788, 6, 782]",0,OTHER,C&H39;EST BON 85g
"[8, 816, 28, 816, 28, 844, 8, 844]",0,OTHER,2
"[832, 812, 942, 810, 942, 846, 832, 848]",0,OTHER,"36,000"
"[422, 814, 520, 814, 520, 846, 422, 848]",0,OTHER,"18,000"
"[820, 892, 940, 892, 940, 926, 820, 930]",0,OTHER,"84,000"
"[10, 889, 280, 896, 276, 935, 7, 929]",0,OTHER,Cộng tiền hàng
"[12, 948, 201, 946, 202, 987, 12, 990]",0,OTHER,Chiết khấu
"[820, 1010, 938, 1010, 938, 1046, 820, 1048]",0,OTHER,"84,000"
"[13, 1015, 284, 1010, 284, 1044, 14, 1052]",18,TOTAL_COST,Khách phải trả
"[800, 1063, 938, 1068, 938, 1104, 798, 1100]",0,OTHER,"236,000"
"[16, 1070, 286, 1070, 286, 1104, 16, 1108]",0,OTHER,Tiền khách đưa
"[804, 1118, 938, 1126, 938, 1162, 800, 1154]",0,OTHER,"152,000"
"[20, 1132, 128, 1132, 128, 1166, 20, 1166]",0,OTHER,Trả lại
"[240, 1200, 738, 1182, 738, 1214, 240, 1232]",0,OTHER,"Cám ơn quý khách, Hẹn gập lại l"
