poly,cate_id,cate_text,vietocr_text
"[182, 70, 382, 70, 382, 90, 182, 92]",15,SELLER,MINIMARTANANA
"[152, 102, 404, 102, 404, 122, 150, 123]",16,ADDRESS,Chợ Sủi Phú Thị Gia Làm
"[18, 136, 54, 136, 54, 154, 18, 154]",0,OTHER,Tel:
"[142, 178, 424, 178, 424, 210, 142, 212]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[32, 222, 133, 224, 131, 251, 32, 244]",0,OTHER,Tên hàng
"[296, 220, 516, 218, 516, 242, 296, 242]",0,OTHER,Đơn giá Thành tiến
"[162, 222, 260, 220, 260, 242, 162, 244]",0,OTHER,SL ĐVT
"[24, 256, 494, 254, 494, 276, 24, 278]",0,OTHER,03974755035319 khăn ướt cool wipes gói 10 NOM
"[330, 288, 388, 288, 388, 312, 330, 312]",0,OTHER,"7,000"
"[146, 292, 156, 292, 156, 308, 146, 308]",0,OTHER,1
"[198, 288, 240, 288, 240, 308, 198, 308]",0,OTHER,GOI
"[474, 288, 534, 288, 534, 312, 474, 312]",0,OTHER,"7,000"
"[20, 327, 504, 328, 504, 352, 20, 351]",0,OTHER,8934696000674 Xúc xích Everyday hạ long NT
"[198, 362, 240, 362, 240, 380, 198, 380]",0,OTHER,GOI
"[146, 366, 156, 366, 156, 380, 146, 380]",0,OTHER,1
"[462, 362, 536, 362, 536, 384, 462, 386]",0,OTHER,"25,000"
"[318, 362, 392, 362, 392, 386, 318, 386]",0,OTHER,"25,000"
"[22, 402, 372, 402, 372, 424, 22, 426]",0,OTHER,"""291006570000 Nước Sprite 1,51 NT NG"""
"[148, 436, 156, 436, 156, 450, 148, 450]",0,OTHER,1
"[200, 434, 242, 434, 242, 452, 200, 452]",0,OTHER,CHA
"[320, 434, 390, 436, 390, 456, 320, 458]",0,OTHER,"15,000"
"[464, 434, 534, 434, 534, 456, 464, 458]",0,OTHER,"15,000"
"[21, 471, 106, 478, 106, 500, 17, 495]",0,OTHER,Tổng số:
"[22, 501, 127, 510, 125, 533, 19, 525]",18,TOTAL_COST,Tổng cộng l
"[466, 506, 536, 506, 536, 526, 466, 526]",18,TOTAL_COST,"47,000"
"[24, 532, 178, 536, 178, 556, 24, 554]",0,OTHER,Tiển khách trải
"[464, 538, 534, 536, 534, 556, 464, 556]",0,OTHER,"47,000"
"[272, 538, 318, 538, 318, 558, 272, 558]",0,OTHER,VND
"[52, 572, 312, 574, 312, 594, 52, 592]",0,TIMESTAMP,INSE GD: 000AC22120080012311
"[318, 574, 524, 572, 524, 588, 318, 594]",17,TIMESTAMP,Ngày: 10/08/2020-14:28
"[220, 602, 356, 598, 356, 614, 220, 616]",0,OTHER,Thu ngân: BH3
"[108, 618, 444, 614, 444, 628, 106, 633]",0,OTHER,Xìn cầm ơn và hơn gập lại quy khách
