poly,cate_id,cate_text,vietocr_text
"[134, 94, 288, 94, 288, 112, 134, 108]",15,SELLER,CƯA HÀNG NĂM OẢNH
"[52, 112, 370, 114, 370, 126, 51, 125]",16,ADDRESS,Thôn Phú Thuy Xã Phú Thi Hàn Thi Thi Thu Thu Thu Nhiệp
"[134, 137, 288, 140, 288, 154, 133, 150]",0,OTHER,0860322496004438765210
"[138, 186, 281, 188, 282, 203, 138, 204]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[50, 216, 136, 218, 136, 232, 50, 230]",0,OTHER,Số: SON55028
"[268, 218, 372, 218, 372, 232, 266, 233]",17,TIMESTAMP,Ngày: 10-08-2020
"[48, 276, 66, 276, 66, 290, 48, 290]",0,OTHER,SL
"[176, 276, 226, 276, 226, 292, 176, 290]",0,OTHER,Đơn giá
"[300, 278, 374, 278, 374, 294, 300, 292]",0,OTHER,Thành tiên
"[46, 302, 120, 302, 120, 318, 46, 318]",0,OTHER,Coca cola
"[174, 326, 226, 326, 226, 344, 174, 344]",0,OTHER,"15,000"
"[320, 330, 374, 330, 374, 348, 320, 348]",0,OTHER,"15,000"
"[42, 356, 194, 358, 194, 370, 42, 376]",0,OTHER,Giây ăn Posy 100 tờ
"[174, 382, 226, 380, 226, 398, 174, 398]",0,OTHER,"11,000"
"[322, 388, 376, 388, 376, 406, 322, 404]",0,OTHER,"11,000"
"[42, 410, 212, 414, 212, 428, 42, 430]",0,OTHER,GGSS Hòa Lan 12 cuọn
"[172, 436, 226, 438, 226, 454, 172, 456]",0,OTHER,"27,000"
"[320, 444, 376, 446, 376, 466, 320, 464]",0,OTHER,"27,000"
"[40, 468, 208, 464, 208, 484, 40, 486]",0,OTHER,Sữa Fami canxi 200ml
"[178, 496, 220, 492, 220, 510, 178, 510]",0,OTHER,"4,000"
"[320, 502, 376, 504, 376, 524, 320, 522]",0,OTHER,"24,000"
"[38, 528, 155, 528, 153, 546, 36, 547]",18,TOTAL_COST,Cộng tiên hàng
"[320, 538, 376, 538, 376, 560, 320, 560]",18,TOTAL_COST,"177,000"
"[102, 570, 312, 576, 312, 594, 102, 584]",0,OTHER,Cám ơn quy khach tiện gặp lại.
