poly,cate_id,cate_text,vietocr_text
"[216, 98, 460, 98, 460, 118, 216, 120]",16,ADDRESS,VM4 QNH Dư án KDC lân biên coc 6
"[228, 128, 450, 126, 450, 148, 228, 152]",16,ADDRESS,"DA Khu DCLB cọc 6, P. Câm Sơn"
"[38, 154, 182, 154, 182, 192, 38, 192]",15,SELLER,Vincommerce
"[240, 158, 436, 158, 436, 182, 240, 182]",16,ADDRESS,"TP. Càm Pha, T, Quảng Ninh"
"[268, 188, 410, 186, 410, 212, 268, 212]",0,OTHER,024.71066866-44561
"[176, 240, 346, 240, 346, 262, 176, 264]",0,OTHER,HÓA ƠN BÁN HÀNG
"[374, 268, 488, 268, 488, 290, 374, 290]",0,OTHER,HOO073267
"[34, 270, 312, 270, 312, 292, 34, 292]",17,TIMESTAMP,Ngày bán: 44/08/2020 17:32
"[34, 296, 122, 296, 122, 318, 34, 320]",0,OTHER,Quầy:001
"[354, 298, 500, 296, 500, 318, 354, 318]",0,OTHER,NNBB:09021213
"[420, 348, 490, 348, 490, 372, 420, 372]",0,OTHER,T.TTiển
"[34, 350, 126, 351, 125, 374, 34, 374]",0,OTHER,Mặt hàng
"[232, 352, 302, 350, 302, 378, 232, 372]",0,OTHER,dn giá
"[342, 352, 364, 352, 364, 372, 342, 372]",0,OTHER,SL
"[34, 378, 256, 380, 256, 402, 34, 400]",0,OTHER,CP Thit vai heo 300g
"[34, 406, 180, 406, 180, 428, 34, 428]",0,OTHER,08935058962012
"[244, 408, 310, 408, 310, 428, 244, 428]",0,OTHER,45.500
"[430, 406, 502, 406, 502, 428, 430, 428]",0,OTHER,145.500
"[32, 458, 268, 460, 268, 482, 32, 482]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN
"[430, 462, 502, 462, 502, 482, 430, 482]",18,TOTAL_COST,45.500
"[32, 486, 214, 486, 214, 510, 32, 512]",0,OTHER,TỔNG TIỀN Ã GIẢM
"[32, 514, 190, 514, 190, 536, 32, 536]",0,OTHER,TIỀN KHÁCH TRẢ
"[430, 518, 504, 518, 504, 538, 430, 538]",0,OTHER,45.500
"[42, 540, 134, 544, 134, 566, 42, 564]",0,OTHER,TIỀN MẶT
"[420, 544, 502, 544, 502, 566, 420, 566]",0,OTHER,207.000
"[30, 570, 168, 570, 168, 594, 30, 592]",0,OTHER,TIỀN TRẢ LẠI
"[422, 572, 504, 574, 504, 594, 422, 594]",0,OTHER,161.500
"[118, 598, 410, 600, 410, 622, 120, 624]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[106, 682, 414, 684, 414, 708, 106, 706]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[28, 712, 505, 718, 503, 741, 26, 733]",0,OTHER,Tax invoice will be issued wate day
"[82, 768, 438, 770, 438, 792, 82, 794]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI NHI
"[24, 798, 494, 800, 494, 820, 24, 820]",0,OTHER,Hotline: 02471066866 Website: vinmart..COM
