poly,cate_id,cate_text,vietocr_text
"[184, 74, 356, 74, 356, 94, 184, 94]",15,SELLER,MINIMART ANAN
"[160, 106, 376, 104, 376, 122, 160, 124]",16,ADDRESS,Chợ Sủi Phú Thị Gia Làm
"[48, 132, 80, 132, 80, 148, 48, 148]",0,OTHER,Tel:
"[156, 168, 390, 170, 390, 196, 156, 198]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[64, 204, 149, 206, 147, 226, 64, 222]",0,OTHER,Tên hàng
"[174, 204, 256, 204, 256, 222, 174, 222]",0,OTHER,SL ĐVT
"[284, 204, 464, 202, 464, 220, 284, 222]",0,OTHER,Đơn giá Thành tiển
"[56, 230, 358, 230, 358, 248, 56, 250]",0,OTHER,8836136160894 mì kokomi mi 90 NO TH
"[418, 256, 478, 256, 478, 274, 418, 276]",0,OTHER,"28,000"
"[206, 258, 240, 258, 240, 272, 206, 272]",0,OTHER,GOT
"[314, 258, 362, 256, 362, 276, 314, 276]",0,OTHER,"3,500"
"[52, 288, 406, 288, 406, 306, 52, 308]",0,OTHER,092014000000 kem tràng tiền mít tố nữ nta
"[50, 316, 160, 316, 160, 336, 50, 336]",0,OTHER,Giá đăng ký:
"[318, 318, 366, 314, 366, 334, 318, 334]",0,OTHER,"4,000"
"[424, 344, 484, 344, 484, 364, 424, 364]",0,OTHER,"35,000"
"[204, 344, 240, 344, 240, 362, 204, 362]",0,OTHER,CAY
"[316, 344, 364, 344, 364, 364, 316, 364]",0,OTHER,"3,500"
"[50, 346, 124, 346, 124, 366, 50, 366]",0,OTHER,Giá bán:
"[148, 348, 170, 348, 170, 362, 148, 362]",0,OTHER,10
"[48, 378, 474, 378, 474, 396, 48, 400]",0,OTHER,8934939005824 NRC thái power 100 chai 750 NO
"[306, 406, 368, 406, 368, 426, 306, 426]",0,OTHER,"25,000"
"[428, 406, 488, 406, 488, 426, 428, 426]",0,OTHER,"25,000"
"[204, 408, 240, 408, 240, 426, 204, 426]",0,OTHER,CHA
"[40, 446, 118, 450, 118, 470, 38, 469]",0,OTHER,Tổng số:
"[172, 452, 198, 452, 198, 470, 172, 470]",0,OTHER,19
"[432, 474, 494, 472, 494, 492, 432, 494]",0,OTHER,"88,000"
"[40, 473, 137, 479, 135, 500, 37, 497]",0,OTHER,Tổng cộng
"[434, 512, 494, 512, 494, 532, 434, 532]",18,TOTAL_COST,"88,000"
"[40, 511, 124, 516, 124, 538, 37, 535]",18,TOTAL_COST,Tổng tiền c
"[434, 544, 494, 542, 494, 562, 434, 564]",0,OTHER,"88,000"
"[40, 544, 180, 544, 180, 564, 40, 564]",0,OTHER,Tiển khách trả:
"[264, 546, 306, 546, 306, 566, 264, 566]",0,OTHER,VND
"[62, 588, 301, 585, 302, 607, 62, 608]",0,TIMESTAMP,SỐ GD: 000AB2212008004042
"[304, 586, 490, 582, 490, 604, 304, 610]",17,TIMESTAMP,Ngày: 16/08/2020-19:35
"[212, 620, 340, 618, 340, 636, 212, 638]",0,OTHER,Thu ngân: BH5
"[106, 642, 420, 638, 420, 658, 106, 662]",0,OTHER,Xi Vi Tinh và hẹn gặp lại quý khách thu
