poly,cate_id,cate_text,vietocr_text
"[172, 86, 262, 86, 262, 108, 172, 108]",15,SELLER,PHỔ MÓI
"[40, 112, 238, 118, 238, 134, 40, 136]",16,ADDRESS,Tổ 7 khu Tân Lập 4
"[254, 114, 380, 114, 380, 140, 254, 136]",16,ADDRESS,P.Cẩm Thủy
"[86, 140, 212, 140, 212, 160, 86, 162]",16,ADDRESS,Tp.Cấm Phả
"[230, 138, 352, 138, 352, 160, 229, 159]",16,ADDRESS,Quảng Ninh
"[126, 166, 306, 166, 306, 186, 126, 186]",0,OTHER,ĐT 0858.931.931
"[128, 204, 308, 203, 307, 224, 128, 224]",0,OTHER,PHÒA ĐƠN BÁN HÀNG
"[92, 228, 346, 228, 346, 246, 92, 244]",0,OTHER,SỐ HH11100820-0027 - Ban BB3 (44
"[140, 252, 298, 252, 298, 268, 140, 268]",17,TIMESTAMP,13/0872020 - 20:34
"[40, 284, 130, 286, 129, 300, 40, 298]",0,OTHER,Khách hàng:
"[36, 304, 72, 304, 72, 322, 36, 322]",0,OTHER,SĐTS
"[36, 328, 89, 328, 91, 343, 36, 346]",0,OTHER,Địa chỉ:
"[312, 378, 394, 378, 394, 396, 312, 396]",0,OTHER,Thành tiền
"[246, 382, 266, 382, 266, 396, 246, 396]",0,OTHER,SL
"[34, 378, 98, 380, 98, 398, 34, 396]",0,OTHER,Đơn giá
"[32, 404, 190, 408, 190, 422, 32, 424]",0,OTHER,Trà chanh nha đam
"[346, 434, 396, 432, 396, 450, 346, 448]",0,OTHER,"15,000"
"[34, 432, 86, 432, 86, 450, 34, 450]",0,OTHER,"15,000"
"[344, 480, 396, 480, 396, 498, 344, 498]",0,OTHER,"15,000"
"[158, 478, 285, 485, 283, 501, 156, 497]",0,OTHER,Cộng tiền hàng
"[194, 506, 283, 504, 284, 523, 194, 524]",0,OTHER,Chiết khấu
"[194, 534, 284, 536, 284, 556, 192, 553]",18,TOTAL_COST,Tông cộng:
"[346, 536, 398, 536, 398, 554, 346, 554]",18,TOTAL_COST,"15,000"
"[348, 566, 400, 564, 400, 582, 348, 582]",0,OTHER,15 000
"[164, 564, 282, 568, 282, 584, 164, 584]",0,OTHER,Tiền khách đưang
"[208, 592, 282, 596, 282, 612, 208, 612]",0,OTHER,Tiền thừa là
"[28, 626, 232, 622, 232, 642, 28, 644]",0,OTHER,Mười lăm nghìn đồng chắn
"[132, 676, 310, 676, 310, 694, 132, 694]",0,OTHER,Cám ơn và hẹn gặp lạil
"[126, 704, 316, 702, 316, 720, 126, 722]",0,OTHER,Powered by POS365 VN
