poly,cate_id,cate_text,vietocr_text
"[68, 84, 338, 86, 338, 114, 68, 114]",15,SELLER,IN THE COFFEE HOUSES
"[84, 118, 322, 118, 322, 136, 84, 136]",16,ADDRESS,"403 Phan Huy Ích, P.14, Q.Gò Vấp"
"[154, 140, 180, 140, 180, 158, 154, 158]",0,OTHER,Số:
"[232, 144, 246, 144, 246, 160, 232, 160]",0,OTHER,3
"[204, 162, 376, 161, 376, 179, 204, 180]",0,OTHER,SỐ HĐ: 19810002312020
"[30, 164, 204, 166, 204, 180, 30, 180]",17,OTHER,Thời gian:02.10.2020 11.49
"[30, 182, 144, 186, 144, 200, 30, 200]",0,OTHER,Thu ngân: cash1
"[32, 202, 152, 202, 152, 220, 32, 220]",0,OTHER,Khách hàng: Tân
"[338, 234, 378, 234, 378, 248, 338, 248]",0,OTHER,T.TIÊN
"[90, 232, 148, 236, 148, 248, 90, 248]",0,OTHER,Tên món
"[192, 234, 208, 234, 208, 248, 192, 248]",0,OTHER,SL
"[238, 234, 274, 234, 274, 248, 238, 248]",0,OTHER,Đ.GIÁ
"[62, 258, 178, 258, 178, 274, 62, 272]",0,OTHER,Bánh Mi Thịt Nguội
"[334, 262, 378, 262, 378, 278, 334, 278]",0,OTHER,29 000
"[236, 266, 280, 264, 280, 278, 236, 278]",0,OTHER,29 000
"[62, 272, 98, 272, 98, 288, 62, 288]",0,OTHER,(Cay)
"[64, 290, 154, 286, 154, 304, 64, 302]",0,OTHER,Cà Phê Sữa Đá
"[332, 294, 378, 294, 378, 310, 332, 310]",0,OTHER,35 000
"[234, 294, 280, 296, 280, 310, 234, 310]",0,OTHER,35 000
"[64, 304, 100, 304, 100, 320, 64, 320]",0,OTHER,(Vừa)
"[64, 324, 142, 326, 142, 338, 64, 338]",0,OTHER,Thành tiên:
"[328, 326, 378, 326, 378, 340, 328, 340]",0,OTHER,64 000
"[78, 346, 136, 346, 136, 360, 78, 358]",0,OTHER,Giam gia:
"[334, 346, 378, 346, 378, 360, 334, 360]",0,OTHER,15 000
"[66, 364, 146, 364, 146, 378, 66, 378]",18,TOTAL_COST,Thanh Toán
"[328, 368, 376, 366, 376, 380, 328, 380]",18,TOTAL_COST,149000
"[66, 378, 170, 380, 170, 394, 66, 392]",0,OTHER,Tiên khách đưa
"[328, 384, 376, 384, 376, 396, 328, 396]",0,OTHER,144000
"[68, 394, 126, 394, 126, 406, 68, 406]",0,OTHER,Tien thừa
"[334, 398, 376, 398, 376, 410, 334, 410]",0,OTHER,15 000
"[82, 410, 164, 410, 164, 424, 82, 424]",0,OTHER,Tiên mất VND
"[332, 414, 376, 416, 376, 428, 332, 428]",0,OTHER,49.000
