poly,cate_id,cate_text,vietocr_text
"[152, 68, 330, 68, 330, 86, 152, 86]",16,ADDRESS,VIN TH DỰ ÁN KDC LẦN BIÊN COC S
"[160, 90, 324, 92, 324, 108, 160, 108]",16,ADDRESS,DA Khu DCLB coc 6 P. Câm Sơn
"[22, 106, 128, 106, 128, 134, 22, 134]",15,SELLER,Vincommerce
"[170, 112, 312, 112, 312, 130, 170, 130]",16,ADDRESS,"TP. Cảm Pha, T, Quảng Ninh"
"[190, 134, 292, 132, 292, 152, 190, 150]",0,OTHER,024.71066856-44561
"[236, 170, 360, 174, 360, 188, 236, 188]",17,TIMESTAMP,Thời gian:10:43
"[20, 172, 144, 172, 144, 188, 20, 188]",17,TIMESTAMP,Ngay:12/08/2020
"[134, 192, 248, 192, 248, 206, 134, 206]",0,OTHER,Giao dịch treo
"[20, 212, 86, 212, 86, 226, 20, 226]",0,OTHER,Quây:001
"[252, 210, 360, 210, 360, 228, 252, 228]",0,OTHER,NVBH:09021212
"[18, 228, 142, 228, 142, 246, 18, 246]",0,OTHER,TÊN NV:4456POS1
"[18, 248, 134, 252, 134, 266, 18, 266]",0,OTHER,Số GD treo:1590
