poly,cate_id,cate_text,vietocr_text
"[375, 54, 713, 45, 714, 74, 376, 83]",0,OTHER,FEELCOFFEE
"[410, 92, 656, 86, 656, 110, 410, 114]",0,OTHER,PHIẾU THANH TOÁN
"[300, 126, 778, 116, 778, 136, 300, 142]",0,OTHER,FEEL TỤ NHIÊN: KHU DỊCH VIÊN ĐHỌG
"[246, 168, 392, 170, 392, 194, 246, 196]",0,OTHER,Số HD: 1662
"[482, 168, 685, 163, 686, 188, 482, 190]",0,OTHER,Thu ngân: CAO3
"[514, 202, 586, 202, 586, 232, 514, 232]",17,TIMESTAMP,Ngày:
"[637, 200, 777, 197, 778, 224, 638, 227]",17,TIMESTAMP,17.07.2018
"[244, 206, 410, 200, 410, 230, 244, 228]",0,OTHER,Bản: Mang Về
"[306, 236, 334, 236, 334, 262, 306, 262]",0,OTHER,01
"[672, 274, 744, 276, 744, 302, 672, 302]",0,OTHER,19.14
"[512, 276, 592, 280, 592, 300, 512, 302]",0,OTHER,Giờ ra:
"[244, 278, 414, 276, 414, 302, 244, 302]",0,OTHER,Giờ vào: 19.14
"[246, 316, 272, 316, 272, 334, 246, 334]",0,OTHER,TT
"[352, 316, 438, 318, 438, 338, 352, 338]",0,OTHER,Tên món
"[730, 316, 810, 316, 810, 344, 730, 344]",0,OTHER,T.Tiên
"[536, 318, 670, 316, 670, 342, 536, 340]",0,OTHER,SL T. G.Ả
"[282, 351, 455, 360, 453, 381, 280, 375]",0,OTHER,Yoguit Very Beny
"[536, 356, 770, 358, 770, 384, 536, 382]",0,OTHER,"1,0 22 00000"
"[254, 414, 462, 422, 462, 450, 254, 444]",18,TOTAL_COST,Tiền Thanh Toán
"[702, 432, 804, 434, 804, 464, 702, 462]",18,TOTAL_COST,22 000
"[270, 460, 396, 464, 396, 482, 270, 480]",0,OTHER,Tiên mại VND
"[730, 480, 803, 486, 801, 507, 730, 506]",0,OTHER,22 000
"[256, 516, 402, 522, 401, 542, 256, 536]",0,OTHER,Tiên khách dưa:
"[730, 546, 804, 548, 804, 568, 730, 566]",0,OTHER,22 000
"[334, 578, 366, 578, 366, 598, 334, 598]",0,OTHER,lại:
"[381, 623, 636, 646, 636, 672, 378, 647]",0,OTHER,Hotline: 0974 02 07 90
"[344, 660, 685, 694, 682, 721, 344, 688]",0,OTHER,Wifi: Feel Coffee Tea Express
"[386, 701, 564, 718, 564, 744, 383, 723]",0,OTHER,Passre16301963
"[326, 738, 712, 764, 712, 784, 326, 762]",0,OTHER,Cảm ơn Quy khách và hen chiếng
