poly,cate_id,cate_text,vietocr_text
"[152, 48, 322, 46, 322, 60, 152, 64]",0,OTHER,ĐAO CẢO MUNT POSYCA
"[362, 106, 390, 106, 390, 120, 362, 120]",0,OTHER,CABI
"[44, 110, 104, 110, 104, 122, 44, 122]",0,OTHER,rostoot
"[44, 130, 156, 128, 156, 142, 44, 144]",0,OTHER,NGUY:00034438
"[46, 150, 164, 148, 164, 162, 46, 162]",0,OTHER,Tron Nvibibocition
"[44, 168, 266, 168, 266, 182, 44, 182]",17,TIMESTAMP,NGAY NIM THO NGONG
"[114, 186, 300, 184, 300, 202, 114, 200]",17,TIMESTAMP,011000000/00/1018
"[44, 188, 80, 188, 80, 202, 44, 202]",17,TIMESTAMP,NOAV
"[246, 224, 284, 224, 284, 242, 246, 242]",0,OTHER,thub
"[152, 224, 226, 224, 226, 242, 152, 242]",0,OTHER,Doanh số
"[370, 246, 404, 246, 404, 260, 370, 260]",0,OTHER,tito
"[44, 246, 88, 248, 88, 260, 44, 260]",0,OTHER,10
"[344, 284, 396, 286, 396, 300, 344, 298]",0,OTHER,1012
"[42, 282, 174, 286, 174, 300, 40, 299]",0,OTHER,thong trước thuo
"[42, 302, 122, 304, 122, 320, 40, 319]",0,OTHER,Tông thuo
"[342, 302, 406, 304, 406, 318, 342, 318]",0,OTHER,300.015
"[342, 322, 408, 324, 408, 338, 342, 340]",0,OTHER,1006.646
"[44, 324, 158, 324, 158, 340, 43, 339]",0,OTHER,Thong sau thuôi
"[346, 342, 410, 344, 410, 358, 346, 360]",0,OTHER,106.000
"[40, 344, 168, 344, 168, 362, 40, 360]",0,OTHER,Mai tra vinid
"[42, 368, 140, 368, 140, 382, 42, 382]",0,OTHER,Thy on/cosmo
"[42, 384, 176, 386, 176, 402, 40, 401]",18,TOTAL_COST,Trong thanh toan
"[346, 386, 412, 382, 412, 400, 346, 400]",18,TOTAL_COST,1702.640
"[182, 406, 332, 410, 332, 420, 182, 422]",0,OTHER,THANH TOAN BASSESS
"[350, 426, 416, 422, 416, 440, 350, 440]",0,OTHER,SO TIÊN
"[40, 426, 86, 426, 86, 442, 40, 442]",0,OTHER,MÔI TÂN
"[332, 464, 416, 464, 416, 482, 332, 482]",0,OTHER,5.349.008
"[40, 466, 114, 468, 114, 484, 40, 484]",0,OTHER,TIÊN MẶT
"[38, 488, 158, 490, 158, 502, 38, 504]",0,OTHER,PMH BÊN THƯ 3
"[38, 508, 222, 508, 222, 524, 38, 526]",0,OTHER,Biên nhận thanh toán
"[354, 526, 422, 524, 422, 542, 354, 544]",0,OTHER,203.000
"[38, 528, 88, 528, 88, 546, 38, 546]",0,OTHER,Vinid
"[38, 552, 168, 550, 168, 568, 38, 566]",0,OTHER,Phiếu quà tặng
"[366, 568, 424, 568, 424, 586, 366, 586]",0,OTHER,87.138
"[36, 568, 150, 572, 150, 588, 36, 588]",0,OTHER,Thể tín dụng
"[36, 590, 132, 594, 132, 608, 36, 610]",0,OTHER,Thẻ ghi nợ
"[36, 612, 160, 612, 160, 630, 36, 630]",0,OTHER,Thẻ trả trước
"[362, 632, 430, 632, 430, 650, 362, 650]",0,OTHER,159.600
"[34, 634, 262, 634, 262, 652, 34, 652]",0,OTHER,Vị điện tử của Vinid Pay
"[348, 656, 434, 652, 434, 670, 348, 670]",18,TOTAL_COST,5.799.546
"[34, 652, 122, 654, 122, 674, 32, 673]",18,TOTAL_COST,Tổng Tiên
"[410, 694, 442, 694, 442, 710, 410, 710]",0,OTHER,500
"[32, 700, 180, 696, 180, 716, 32, 718]",0,OTHER,THANH TOÁN THỪA
"[28, 722, 200, 718, 200, 736, 28, 740]",0,OTHER,LÀM TRÒN TIỀN MẶT
"[28, 768, 180, 764, 180, 784, 28, 788]",0,OTHER,NHẬP ƠN VỊ TIẾN
"[26, 792, 122, 790, 122, 826, 26, 830]",0,OTHER,Tổng Tiển
"[362, 824, 432, 822, 432, 842, 362, 842]",0,OTHER,500.000
"[30, 826, 250, 826, 250, 844, 30, 848]",0,OTHER,TIẾN BẮT ẤU KINH DOANH
"[30, 850, 161, 846, 162, 867, 30, 870]",0,OTHER,TIỀN HỆ THỐNG
"[28, 874, 174, 872, 174, 910, 28, 912]",0,OTHER,VƯỢT QUÁ/THIẾU
"[32, 938, 94, 938, 94, 956, 32, 956]",0,OTHER,COUPON
"[32, 960, 104, 960, 104, 980, 32, 980]",0,OTHER,VOUCHER
"[32, 986, 160, 988, 160, 1004, 32, 1006]",0,OTHER,PMH BÊN THƯ 3
"[30, 1011, 230, 1010, 230, 1030, 32, 1032]",0,OTHER,Biên nhận thanh toán
"[32, 1036, 84, 1036, 84, 1056, 32, 1056]",0,OTHER,Vinid
"[30, 1062, 398, 1064, 398, 1076, 30, 1080]",0,OTHER,ANTERESTRANCHIANG XEXXAXAXAN
"[22, 1166, 210, 1166, 210, 1194, 22, 1198]",0,OTHER,Triple Camera
"[14, 1197, 140, 1200, 140, 1222, 12, 1221]",0,OTHER,Galaxy M211
