poly,cate_id,cate_text,vietocr_text
"[216, 28, 356, 28, 356, 48, 216, 46]",16,ADDRESS,VM4 ONH 112 Thanh Niền
"[194, 48, 376, 52, 376, 70, 194, 70]",16,ADDRESS,"10 Số 112 Thanh Niên, P. Căm Thành Thu"
"[50, 61, 166, 64, 165, 96, 49, 93]",15,SELLER,UnCommerce
"[236, 72, 354, 74, 354, 92, 236, 92]",16,ADDRESS,"Cam Pha, Quang Ninh Thu"
"[228, 96, 340, 96, 340, 114, 228, 114]",0,OTHER,02477060860.298/1
"[158, 134, 302, 136, 302, 154, 158, 152]",0,OTHER,BÒN ĐƠN BÁN HÁNG
"[46, 154, 266, 160, 266, 174, 46, 174]",17,TIMESTAMP,Ngày bán: 12/00/2020:08:02
"[312, 156, 412, 156, 412, 174, 312, 174]",0,OTHER,11::00181262
"[46, 176, 118, 178, 118, 194, 46, 194]",0,OTHER,Quấy:001
"[296, 176, 410, 176, 410, 194, 296, 194]",0,OTHER,ANVBH:090153471
"[202, 218, 266, 220, 266, 238, 202, 236]",0,OTHER,Đơn giá
"[46, 216, 120, 218, 120, 236, 46, 236]",0,OTHER,Mặt hàng
"[358, 216, 412, 216, 412, 234, 358, 234]",0,OTHER,Tiến
"[46, 238, 162, 240, 162, 258, 46, 256]",0,OTHER,MÊ GÀ CP 500G
"[358, 262, 411, 256, 413, 275, 358, 276]",0,OTHER,"44,000"
"[46, 260, 160, 260, 160, 278, 46, 278]",0,OTHER,1100016000014
"[212, 264, 266, 262, 266, 280, 212, 278]",0,OTHER,44.000
"[46, 300, 232, 302, 232, 320, 46, 320]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[356, 302, 414, 302, 414, 320, 356, 320]",18,TOTAL_COST,44.000
"[46, 322, 196, 322, 196, 342, 46, 342]",0,OTHER,TỔNG TIỀN ĐÃ GIẢM
"[46, 342, 170, 344, 170, 362, 46, 362]",0,OTHER,TIẾN KHÁCH TRÃ
"[356, 344, 412, 344, 412, 362, 356, 362]",0,OTHER,"44,000"
"[54, 364, 126, 366, 126, 384, 54, 384]",0,OTHER,TIẾN MẶT
"[356, 366, 412, 368, 412, 382, 356, 382]",0,OTHER,40.000
"[52, 388, 100, 388, 100, 404, 52, 404]",0,OTHER,Vinid
"[382, 388, 412, 388, 412, 404, 382, 404]",0,OTHER,000
"[44, 406, 152, 408, 152, 426, 44, 426]",0,OTHER,TIỀN TRẢ LẠI
"[112, 428, 340, 430, 340, 448, 112, 448]",0,OTHER,(Giá đã bad gồm thuế gtgt)
"[42, 470, 194, 472, 194, 490, 42, 488]",0,OTHER,ID thẻ khách hàng
"[268, 472, 412, 472, 412, 490, 268, 490]",0,OTHER,XXXXXXXXXXXXXXXXI7
"[40, 490, 271, 493, 269, 514, 40, 510]",0,OTHER,Điểm tích(1.000VND-1 điểm)
"[40, 512, 158, 514, 158, 532, 40, 532]",0,OTHER,SỐ THAM CHIẾU
"[260, 516, 412, 516, 412, 534, 260, 534]",0,OTHER,00396700100181262
"[100, 578, 342, 580, 342, 600, 100, 596]",0,OTHER,Chi xuất hóa đơn trong ngày
"[38, 600, 412, 604, 412, 622, 38, 618]",0,OTHER,Tax invoice will be issued within same day
"[82, 644, 360, 648, 360, 666, 82, 662]",0,OTHER,CÁM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[36, 666, 404, 672, 404, 688, 36, 684]",0,OTHER,Hotline: 02471066866 Website: vinmart.comp
