poly,cate_id,cate_text,vietocr_text
"[188, 252, 321, 256, 319, 279, 188, 278]",15,SELLER,Saigon Co. op
"[124, 280, 382, 282, 382, 304, 124, 304]",15,SELLER,Co.op Food HN THE K-PARKS
"[114, 310, 392, 310, 392, 334, 114, 332]",0,OTHER,Ma so thue: 0309129418-115
"[32, 336, 152, 338, 152, 362, 29, 360]",16,ADDRESS,"Tang 1,5H42"
"[178, 338, 456, 346, 456, 362, 178, 360]",16,ADDRESS,"Toa K3,Cong trinh chung cu tu"
"[44, 366, 444, 368, 444, 390, 44, 388]",16,ADDRESS,ket hop dich vu tren o dat H-CT2 thuoc thuong
"[34, 394, 454, 398, 454, 418, 34, 416]",16,ADDRESS,Du an Dau tu xay dung Khu nha o Hi Brand Nam
"[120, 424, 402, 427, 399, 449, 120, 444]",16,ADDRESS,tai Khu do thi moi Van Phu
"[90, 450, 418, 452, 418, 472, 90, 470]",16,ADDRESS,"Phu La, 0. Ha Dong, Tp Hai Noi"
"[112, 476, 408, 482, 408, 498, 112, 498]",0,OTHER,Email: cfthekparkscoopfood vint
"[102, 504, 418, 508, 418, 524, 102, 524]",0,OTHER,Website: www.saigonco-op.com.vn
"[226, 554, 404, 554, 404, 574, 226, 576]",0,OTHER,TINHTTEN
"[102, 555, 208, 555, 208, 575, 102, 575]",0,OTHER,PHIEU
"[42, 582, 436, 584, 436, 604, 42, 602]",0,OTHER,Co gia tri xuat Hoa don Gion trong ngay
"[184, 634, 444, 630, 444, 652, 184, 658]",17,TIMESTAMP,Ngay: 19/09/2019 18:00:35
"[42, 634, 128, 634, 128, 656, 40, 656]",0,OTHER,Quay: 02
"[42, 662, 444, 654, 444, 676, 42, 682]",0,OTHER,Nhan vien: Doan Quang Trung So HD: 08266
"[41, 714, 445, 707, 443, 728, 42, 737]",0,OTHER,08858702427364 Snack muc Tinten the tinh
"[354, 732, 444, 730, 444, 752, 354, 756]",0,OTHER,"23,000.00"
"[206, 736, 298, 734, 298, 754, 206, 760]",0,OTHER,"23,000.00"
"[44, 740, 108, 740, 108, 762, 44, 762]",0,OTHER,EVATIOZE
"[44, 768, 442, 758, 442, 778, 44, 790]",0,OTHER,08935039513189 Bot tankho c.gion Aji-tuic
"[366, 788, 444, 782, 444, 802, 366, 808]",0,OTHER,"1,3,300.00"
"[42, 794, 110, 794, 110, 816, 42, 816]",0,OTHER,VAT107
"[220, 792, 300, 786, 300, 808, 220, 814]",0,OTHER,"6,300.00"
"[356, 836, 444, 834, 444, 856, 356, 858]",18,TOTAL_COST,"29,300.000"
"[44, 849, 288, 842, 288, 862, 42, 871]",18,TOTAL_COST,Tong so tien thanh toan 1
"[96, 875, 286, 874, 286, 888, 94, 897]",0,OTHER,Tong 50 luong hang ngo
"[44, 929, 280, 926, 280, 946, 43, 951]",0,OTHER,Phuong thuc thanh toani
"[358, 944, 447, 938, 449, 961, 358, 964]",0,OTHER,"29,300.00"
"[48, 956, 130, 956, 130, 976, 48, 976]",0,OTHER,Tien mat
"[53, 977, 272, 978, 272, 998, 49, 991]",0,OTHER,ASSORATIONALISTICAL
"[370, 972, 450, 968, 450, 988, 370, 996]",0,OTHER,"2,663.64"
"[84, 1014, 372, 1000, 372, 1022, 84, 1026]",0,OTHER,MAS TINH KHÁCH HANG THAN THIET
"[88, 1030, 108, 1030, 108, 1044, 88, 1044]",0,OTHER,HO
"[92, 1050, 166, 1054, 166, 1068, 92, 1064]",0,OTHER,Dien dang
"[96, 1068, 192, 1072, 192, 1086, 96, 1084]",0,OTHER,Diem su dung
"[262, 1109, 344, 1108, 344, 1126, 260, 1123]",0,OTHER,hoa dong
"[94, 1130, 254, 1130, 254, 1142, 94, 1146]",0,OTHER,Tran trong cam
"[122, 1146, 290, 1150, 290, 1160, 122, 1166]",0,OTHER,Nhang tai LOTRPHROG
"[374, 1182, 443, 1184, 444, 1199, 372, 1197]",0,OTHER,den mua
"[90, 1192, 333, 1183, 331, 1198, 90, 1210]",0,OTHER,MA HD: EOERACTION
