poly,cate_id,cate_text,vietocr_text
"[238, 84, 476, 88, 476, 108, 238, 106]",15,SELLER,MINIMART ANAN
"[205, 116, 504, 122, 504, 144, 201, 141]",16,ADDRESS,Chơ Sủi Phú Thị Gia Lâm
"[52, 160, 90, 160, 90, 178, 52, 178]",0,OTHER,Tel:
"[190, 204, 526, 206, 526, 240, 190, 240]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[214, 252, 328, 252, 328, 274, 214, 276]",0,OTHER,SL ĐVT
"[64, 254, 177, 256, 175, 281, 64, 276]",0,OTHER,Tên hàng
"[374, 253, 632, 250, 632, 274, 373, 273]",0,OTHER,Đơn giá Thành tiền
"[50, 288, 478, 290, 478, 310, 50, 314]",0,OTHER,8833888334486 8934868112037 NT
"[256, 326, 304, 326, 304, 346, 256, 346]",0,OTHER,TUYS
"[398, 326, 482, 326, 482, 350, 398, 348]",0,OTHER,"45,000"
"[568, 326, 654, 326, 654, 348, 568, 350]",0,OTHER,"145,000"
"[40, 368, 456, 370, 456, 394, 40, 394]",0,OTHER,0291003330000 DG Sân Thuy
"[574, 406, 664, 406, 664, 432, 574, 432]",0,OTHER,"10,000"
"[252, 408, 300, 408, 300, 426, 252, 426]",0,OTHER,GOI
"[398, 408, 482, 408, 482, 430, 398, 432]",0,OTHER,"10,000"
"[30, 452, 428, 452, 428, 478, 30, 478]",0,OTHER,02211002680000 DG Clear dây NT
"[248, 494, 298, 494, 298, 512, 248, 512]",0,OTHER,GOI
"[580, 492, 672, 492, 672, 520, 580, 520]",0,OTHER,"14,000"
"[398, 494, 486, 492, 486, 518, 398, 518]",0,OTHER,"14,000"
"[22, 540, 562, 540, 562, 568, 22, 568]",0,OTHER,09221001210000 Bột canh hào nt
"[244, 582, 296, 582, 296, 604, 244, 604]",0,OTHER,GOI
"[412, 584, 488, 584, 488, 612, 412, 612]",0,OTHER,"3,500"
"[582, 586, 674, 584, 674, 614, 582, 616]",0,OTHER,"14,000"
"[20, 632, 460, 634, 460, 660, 20, 660]",0,OTHER,08934988020021 Dầu simply 1L NT
"[244, 676, 294, 676, 294, 698, 244, 698]",0,OTHER,CHA
"[396, 678, 488, 678, 488, 704, 396, 708]",0,OTHER,"45,000"
"[580, 678, 672, 678, 672, 706, 580, 708]",0,OTHER,"45,000"
"[22, 722, 544, 728, 544, 754, 22, 750]",0,OTHER,09966017368395 Mắm nam ng
"[244, 766, 296, 766, 296, 786, 244, 786]",0,OTHER,CHA
"[396, 768, 488, 768, 488, 796, 396, 796]",0,OTHER,"32,000"
"[578, 770, 670, 768, 670, 796, 578, 796]",0,OTHER,"32,000"
"[21, 805, 128, 816, 128, 842, 17, 837]",0,OTHER,Tổng số:
"[26, 841, 155, 854, 153, 883, 22, 873]",18,TOTAL_COST,Tổng cộng
"[566, 858, 668, 858, 668, 884, 566, 884]",18,TOTAL_COST,"160,000"
"[28, 884, 216, 890, 216, 914, 28, 914]",0,OTHER,Tiền khách trả:
"[326, 898, 386, 898, 386, 924, 326, 924]",0,OTHER,VND
"[564, 902, 666, 900, 666, 926, 564, 926]",0,OTHER,"160,000"
"[56, 942, 388, 951, 387, 979, 56, 970]",0,OTHER,SỐ GD: 000AC2212008001445
"[392, 952, 652, 950, 652, 972, 392, 982]",17,OTHER,Ngày: 11/08/2020-12:13
"[266, 990, 440, 990, 440, 1012, 266, 1014]",0,OTHER,Thu ngân: BH2
