poly,cate_id,cate_text,vietocr_text
"[206, 94, 404, 92, 404, 114, 206, 112]",16,ADDRESS,"VÀ VINH CHH TR 7, KHU MINH THẤN ĐƯANG"
"[238, 120, 374, 124, 374, 140, 238, 140]",16,ADDRESS,"107, Khu Minh Thoa"
"[36, 140, 168, 140, 168, 174, 36, 174]",15,SELLER,Vincommerce
"[222, 144, 404, 146, 404, 166, 222, 166]",16,ADDRESS,"Cam Banh, TP. Cam Pha, CNN TH"
"[242, 172, 368, 172, 368, 192, 242, 192]",0,OTHER,02471088860 51581
"[162, 218, 314, 218, 314, 238, 162, 236]",0,OTHER,NGA ƠN BẢN HẰNG
"[34, 244, 284, 244, 284, 262, 34, 264]",17,TIMESTAMP,Ngày băn:09/08/2020 22:18
"[338, 244, 442, 244, 442, 264, 338, 262]",0,OTHER,11:00032085
"[320, 268, 452, 268, 452, 288, 320, 286]",0,OTHER,NVBH:09025435
"[32, 268, 114, 266, 114, 286, 32, 286]",0,OTHER,quấy:001
"[32, 314, 117, 315, 115, 336, 32, 334]",0,OTHER,Mặt hàng
"[210, 316, 273, 312, 275, 333, 210, 334]",0,OTHER,đn giá
"[380, 314, 444, 314, 444, 336, 380, 336]",0,OTHER,T. Tiến
"[310, 318, 330, 318, 330, 334, 310, 334]",0,OTHER,SL
"[32, 338, 382, 342, 382, 360, 32, 358]",0,OTHER,COLGATE BCR 360 Charcoal spiral 1pk
"[220, 366, 284, 364, 284, 384, 220, 384]",0,OTHER,39.500
"[32, 364, 164, 364, 164, 384, 32, 384]",0,OTHER,08935102114114
"[388, 366, 454, 366, 454, 384, 388, 384]",0,OTHER,39.500
"[32, 410, 244, 412, 244, 432, 32, 432]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[390, 414, 454, 414, 454, 434, 390, 434]",18,TOTAL_COST,39.500
"[32, 434, 194, 436, 194, 456, 32, 456]",0,OTHER,TỔNG TIẾN Ả GIẢM
"[32, 460, 174, 460, 174, 480, 32, 480]",0,OTHER,TIỀN KHÁCH TRÃ
"[390, 464, 454, 464, 454, 482, 390, 482]",0,OTHER,39.500
"[37, 485, 122, 486, 122, 504, 38, 506]",0,OTHER,TIẾN MẶT
"[390, 488, 454, 488, 454, 506, 390, 506]",0,OTHER,39.500
"[28, 508, 152, 512, 152, 532, 28, 530]",0,OTHER,TIẾN TRẢ LẠI
"[110, 538, 372, 536, 372, 556, 110, 554]",0,OTHER,Giá dà bao gốm thuế gtgt)
"[96, 608, 374, 614, 374, 634, 96, 630]",0,OTHER,Chỉ xuất hóa đdn trong ngày người
"[26, 638, 456, 640, 456, 660, 26, 656]",0,OTHER,Tax invoice will be issued within same day
"[76, 688, 396, 690, 396, 710, 76, 708]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[22, 714, 446, 716, 446, 734, 22, 734]",0,OTHER,Hot line: 02471066866 Website: Vinmart.com
