poly,cate_id,cate_text,vietocr_text
"[152, 66, 326, 68, 326, 86, 152, 86]",15,SELLER,MINIMART ANAN
"[126, 94, 344, 98, 344, 116, 124, 113]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lám
"[118, 160, 358, 166, 358, 194, 118, 190]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[28, 196, 111, 200, 109, 221, 28, 216]",0,OTHER,Tên hàng
"[134, 198, 218, 200, 218, 218, 134, 218]",0,OTHER,SL ĐVT
"[246, 200, 318, 202, 318, 224, 246, 220]",0,OTHER,Đơn giá
"[338, 202, 436, 210, 436, 224, 338, 222]",0,OTHER,Thành tiên
"[20, 226, 304, 232, 304, 250, 20, 246]",0,OTHER,09191011650000 DG H&S 650m 1 TT
"[166, 257, 201, 260, 199, 274, 164, 271]",0,OTHER,CHA
"[254, 258, 324, 258, 324, 278, 254, 278]",0,OTHER,"125,000"
"[376, 262, 448, 262, 448, 284, 376, 284]",0,OTHER,"125,000"
"[16, 285, 436, 296, 436, 316, 15, 306]",0,OTHER,03833236000352 BCĐR Colgate trẻ em siêu mề NT
"[166, 322, 198, 322, 198, 336, 166, 336]",0,OTHER,CAT
"[264, 320, 324, 322, 324, 342, 264, 342]",0,OTHER,"15,000"
"[386, 324, 448, 324, 448, 344, 386, 344]",0,OTHER,"15,000"
"[18, 350, 82, 356, 82, 374, 16, 373]",0,OTHER,ổng số:
"[18, 375, 98, 384, 98, 404, 14, 399]",18,TOTAL_COST,tổng cộng l
"[378, 388, 448, 388, 448, 408, 378, 408]",18,TOTAL_COST,"140,000"
"[8, 406, 140, 410, 140, 428, 8, 426]",0,OTHER,Tiền khách trả:
"[214, 414, 256, 414, 256, 434, 214, 434]",0,OTHER,VND
"[376, 418, 446, 418, 446, 438, 376, 436]",0,OTHER,"500,000"
"[8, 436, 136, 440, 136, 458, 8, 456]",0,OTHER,Tiền trả lại VND:
"[372, 446, 444, 448, 444, 466, 372, 466]",0,OTHER,"360,000"
"[28, 472, 256, 478, 255, 499, 28, 492]",0,OTHER,Số GD: 000AC2212008001063
"[256, 480, 438, 486, 438, 504, 256, 502]",17,OTHER,Ngày: 09/08/2020-16:00
"[170, 504, 292, 510, 292, 528, 170, 524]",0,OTHER,Thu ngân: BH3
"[70, 522, 370, 534, 370, 552, 70, 540]",0,OTHER,Xin cám ơn và hẹn gặp lại quy khách
