poly,cate_id,cate_text,vietocr_text
"[188, 84, 316, 80, 316, 98, 188, 100]",16,ADDRESS,VI44 ONH 112 Thanh Niên
"[170, 106, 336, 102, 336, 120, 170, 124]",16,ADDRESS,"10 Thanh Niên, P. Câm Thành"
"[40, 124, 144, 124, 144, 150, 40, 150]",15,SELLER,Vincommerce
"[190, 128, 314, 124, 314, 140, 190, 142]",16,ADDRESS,"TP. Cảm Pha, Quảng Ninh"
"[202, 148, 300, 146, 300, 162, 202, 162]",0,OTHER,0024.71063865:39671
"[138, 184, 266, 182, 266, 196, 138, 198]",0,OTHER,NGA ĐƠN BÁN HÀNG
"[278, 200, 368, 200, 368, 214, 278, 214]",0,OTHER,10:00132233
"[38, 206, 234, 202, 234, 216, 38, 220]",17,TIMESTAMP,Ngay ban: 15/08/2020
"[38, 224, 102, 224, 102, 236, 38, 238]",0,OTHER,Quay 2001
"[264, 220, 367, 216, 368, 231, 264, 234]",0,OTHER,011801:09015347
"[320, 258, 370, 252, 370, 270, 320, 270]",0,OTHER,T. Tiên
"[176, 258, 234, 258, 234, 276, 176, 274]",0,OTHER,Đơn giá
"[264, 260, 280, 260, 280, 272, 264, 272]",0,OTHER,SL
"[38, 262, 104, 262, 104, 276, 38, 276]",0,OTHER,vật háng
"[38, 280, 352, 274, 352, 292, 38, 294]",0,OTHER,VMG-Snack R.biển cuộn và nướng49
"[342, 296, 368, 296, 368, 310, 342, 310]",0,OTHER,800
"[38, 300, 140, 300, 140, 312, 38, 312]",0,OTHER,03934954005984
"[208, 300, 234, 300, 234, 312, 208, 312]",0,OTHER,800
"[130, 318, 258, 316, 258, 330, 130, 332]",0,OTHER,mực 39/3.6g t144
"[38, 318, 94, 318, 94, 332, 38, 332]",0,OTHER,Bigrot
"[326, 336, 368, 332, 368, 348, 326, 348]",0,OTHER,7.000
"[206, 334, 234, 334, 234, 350, 206, 350]",0,OTHER,000
"[38, 338, 140, 338, 140, 350, 38, 352]",0,OTHER,088587024108f8
"[206, 354, 312, 356, 312, 372, 206, 372]",0,OTHER,năng cây 45gr
"[38, 356, 188, 354, 188, 370, 38, 370]",0,OTHER,Ponnierxuc xách mực
"[318, 376, 368, 374, 368, 388, 318, 388]",0,OTHER,11.100
"[38, 376, 140, 376, 140, 390, 38, 390]",0,OTHER,08996633875319
"[208, 376, 234, 376, 234, 390, 208, 390]",0,OTHER,100
"[38, 394, 312, 394, 312, 408, 38, 408]",0,OTHER,MIRINDA NƯỚC SODA KHM TON TH4 THA NGHI THU THA
"[38, 414, 132, 414, 132, 428, 38, 428]",0,OTHER,0393458836207
"[340, 410, 368, 410, 368, 428, 340, 428]",0,OTHER,000
"[208, 414, 234, 414, 234, 428, 208, 428]",0,OTHER,000
"[38, 434, 232, 430, 232, 448, 38, 446]",0,OTHER,CLOSEUP KDR Lửa băng 1809
"[316, 452, 368, 450, 368, 466, 316, 466]",0,OTHER,31.000
"[38, 452, 140, 452, 140, 466, 38, 466]",0,OTHER,08934839125028
"[184, 454, 234, 452, 234, 466, 184, 466]",0,OTHER,"31,000"
"[46, 472, 334, 472, 334, 486, 46, 486]",0,OTHER,PPO BẢN CHÁI ĐÁNH RANG CHARCOA 1
"[38, 490, 140, 490, 140, 504, 38, 504]",0,OTHER,08938500579561
"[316, 490, 368, 488, 368, 506, 316, 506]",0,OTHER,35.500
"[184, 492, 232, 492, 232, 506, 184, 504]",0,OTHER,351500
"[38, 526, 202, 530, 202, 544, 38, 542]",18,TOTAL_COST,THN THẾ THI THÁI THÀNH
"[316, 528, 368, 528, 368, 544, 316, 544]",18,TOTAL_COST,97.400
"[36, 544, 172, 548, 172, 562, 36, 562]",0,OTHER,TỔNG TIỀN ĐÃ GIÁM
"[38, 566, 148, 566, 148, 582, 38, 580]",0,OTHER,TIẾN KHÁCH TRẢ
"[318, 570, 368, 570, 368, 584, 318, 584]",0,OTHER,"197,400"
"[44, 586, 108, 588, 108, 602, 44, 600]",0,OTHER,TIÊN MẬT
"[318, 590, 368, 590, 368, 604, 318, 604]",0,OTHER,9774400
"[36, 606, 132, 606, 132, 622, 36, 620]",0,OTHER,TIÊN TRÁ LẠI
"[94, 624, 302, 628, 302, 644, 94, 642]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[34, 666, 170, 664, 170, 682, 34, 680]",0,OTHER,11 2 thể khách hàng
"[240, 670, 296, 670, 296, 682, 240, 682]",0,OTHER,EXXXXXXX
"[344, 670, 370, 670, 370, 684, 344, 684]",0,OTHER,563
"[32, 682, 240, 684, 240, 702, 30, 697]",0,OTHER,Điểm tích(1.000VND:1 điểm)
"[32, 706, 136, 706, 136, 722, 32, 720]",0,OTHER,Số tham chiếu
"[230, 707, 370, 710, 370, 726, 229, 724]",0,OTHER,00396700100182233
"[84, 764, 306, 772, 306, 788, 84, 782]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[32, 786, 370, 796, 370, 810, 32, 800]",0,OTHER,The Tax invoice will be issued within same day
"[68, 824, 324, 834, 324, 848, 68, 842]",0,OTHER,CÁM ÔN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[28, 846, 364, 856, 364, 870, 28, 860]",0,OTHER,Not ine: 02471066866 website: vinmart com
