poly,cate_id,cate_text,vietocr_text
"[180, 94, 344, 92, 344, 110, 180, 114]",15,SELLER,MINIMART ANAN
"[158, 126, 364, 122, 364, 136, 158, 140]",16,ADDRESS,Chợ Sui Phu Thị Gia Lam
"[48, 144, 81, 148, 79, 163, 46, 159]",0,OTHER,Tel:
"[150, 180, 376, 180, 376, 204, 150, 208]",0,OTHER,PHÓA ĐƠN BÁN HÀNG
"[62, 212, 144, 214, 144, 234, 62, 230]",0,OTHER,Tên hàng
"[168, 214, 248, 214, 248, 230, 168, 232]",0,OTHER,SL ĐVT
"[276, 214, 448, 206, 448, 224, 276, 230]",0,OTHER,Đơn giá Thành tiền
"[54, 238, 350, 236, 350, 254, 54, 256]",0,OTHER,291006530000 Nước Lavie 500ml NT
"[416, 260, 461, 254, 463, 273, 416, 276]",0,OTHER,"8,000"
"[198, 264, 232, 264, 232, 280, 198, 280]",0,OTHER,CHA
"[302, 262, 348, 262, 348, 282, 302, 282]",0,OTHER,"4,000"
"[52, 292, 440, 286, 440, 306, 52, 312]",0,OTHER,0988300170892 bánh trứng tươi ca no thuy
"[406, 314, 466, 312, 466, 330, 406, 332]",0,OTHER,"30,000"
"[294, 318, 350, 316, 350, 336, 294, 336]",0,OTHER,"30,000"
"[200, 322, 232, 322, 232, 336, 200, 336]",0,OTHER,GOT
"[50, 350, 342, 346, 342, 364, 50, 370]",0,OTHER,091043270000 bánh mì hoa
"[410, 370, 468, 368, 468, 388, 410, 388]",0,OTHER,"60,000"
"[294, 372, 352, 372, 352, 390, 294, 392]",0,OTHER,"30,000"
"[200, 378, 232, 378, 232, 392, 200, 392]",0,OTHER,CAL
"[42, 410, 114, 414, 114, 434, 40, 433]",0,OTHER,Tổng số:
"[416, 430, 476, 430, 476, 450, 416, 450]",18,TOTAL_COST,"198,000"
"[40, 436, 132, 440, 132, 460, 38, 459]",18,TOTAL_COST,Tổng cộng
"[246, 464, 288, 464, 288, 484, 246, 484]",0,OTHER,VND
"[406, 462, 478, 460, 478, 480, 406, 482]",0,OTHER,"500,000"
"[40, 466, 172, 464, 172, 484, 40, 486]",0,OTHER,Tiền khách trả:
"[406, 494, 478, 492, 478, 512, 406, 514]",0,OTHER,"1402,000"
"[30, 500, 168, 498, 168, 518, 30, 520]",0,OTHER,Tiền trả lại VND:
"[44, 546, 262, 542, 262, 564, 44, 566]",0,OTHER,Mã thẻ: A 0000000226
"[42, 576, 196, 574, 196, 596, 42, 600]",0,OTHER,(0) hoàng thị huận
"[38, 608, 136, 610, 136, 628, 38, 628]",0,OTHER,Điêm mua:
"[436, 634, 488, 634, 488, 656, 436, 656]",0,OTHER,"1,280"
"[38, 636, 176, 640, 176, 660, 38, 660]",0,OTHER,Điểm hiện thời:
"[40, 670, 178, 672, 178, 692, 38, 692]",0,OTHER,Hạng hiện thời:
"[426, 698, 488, 698, 488, 718, 426, 720]",0,OTHER,"40,305"
"[38, 702, 242, 702, 242, 726, 38, 722]",0,OTHER,Giá trị thưởng tích lũy:
"[54, 744, 292, 744, 292, 766, 54, 766]",0,TIMESTAMP,SỐ GD: 000AB2212008004206
"[296, 742, 485, 739, 486, 760, 296, 768]",17,TIMESTAMP,Ngày: 17/08/2020-15:37
"[204, 778, 334, 774, 334, 794, 204, 796]",0,OTHER,Thu ngân: BH2 1
"[98, 800, 418, 796, 418, 814, 98, 818]",0,OTHER,Xin cảm ơn và hẹn gặy khách
