poly,cate_id,cate_text,vietocr_text
"[162, 66, 330, 68, 330, 86, 162, 86]",15,SELLER,MINIMART ANAN
"[140, 98, 348, 98, 348, 116, 140, 116]",16,ADDRESS,Chợ Sủi Phú Thị Gia Làm
"[134, 160, 362, 160, 362, 186, 134, 188]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[46, 194, 127, 198, 125, 217, 46, 212]",0,OTHER,Tên hàng
"[258, 194, 436, 190, 436, 210, 258, 212]",0,OTHER,Đơn giá Thành tiến
"[150, 194, 228, 194, 228, 212, 150, 212]",0,OTHER,SL ĐVT
"[38, 220, 388, 218, 388, 236, 38, 240]",0,OTHER,8935039500509 Mi chính ajnomoto 454g NT
"[273, 246, 331, 242, 332, 262, 274, 265]",0,OTHER,"31,000"
"[388, 244, 448, 244, 448, 262, 388, 262]",0,OTHER,"31,000"
"[180, 248, 212, 248, 212, 262, 180, 262]",0,OTHER,GOT
"[30, 276, 432, 276, 432, 294, 30, 294]",0,OTHER,4630017762880 dầu ăn hướng dương bravita No)
"[176, 302, 210, 302, 210, 318, 176, 318]",0,OTHER,CHA
"[272, 302, 332, 302, 332, 320, 272, 320]",0,OTHER,"42,000"
"[132, 304, 142, 304, 142, 316, 132, 316]",0,OTHER,1
"[392, 302, 452, 302, 452, 320, 392, 322]",0,OTHER,"142,000"
"[22, 332, 416, 334, 416, 352, 22, 352]",0,OTHER,0444002430451611 DG Rejoice 180ml các loại NT
"[274, 360, 334, 360, 334, 380, 274, 380]",0,OTHER,"35,000"
"[170, 360, 206, 360, 206, 378, 170, 378]",0,OTHER,CHA
"[394, 362, 456, 362, 456, 382, 394, 382]",0,OTHER,"35,000"
"[14, 394, 422, 396, 422, 416, 14, 414]",0,OTHER,291026860000 xả comfort dây các loại 22m NT
"[168, 424, 204, 424, 204, 442, 168, 442]",0,OTHER,IGOIS
"[274, 426, 334, 426, 334, 446, 274, 446]",0,OTHER,"16,000"
"[398, 426, 460, 426, 460, 446, 398, 448]",0,OTHER,"16,000"
"[8, 466, 84, 464, 84, 484, 8, 480]",0,OTHER,Tổng số:
"[10, 492, 102, 493, 101, 512, 10, 506]",18,TOTAL_COST,Tống cộng s
"[390, 494, 464, 494, 464, 514, 390, 514]",18,TOTAL_COST,"124,000"
"[10, 514, 146, 518, 146, 536, 10, 534]",0,OTHER,Tiền khách trả:
"[222, 522, 264, 522, 264, 542, 222, 542]",0,OTHER,VND
"[388, 524, 462, 524, 462, 544, 388, 544]",0,OTHER,"200,000"
"[12, 546, 138, 550, 137, 569, 12, 566]",0,OTHER,Tiền trà lại VND;
"[398, 554, 460, 554, 460, 574, 398, 574]",0,OTHER,"76,000"
"[34, 582, 266, 587, 265, 607, 34, 600]",0,OTHER,SỐ GD: 000AC2212008001531
"[268, 588, 454, 592, 454, 610, 268, 610]",17,OTHER,Ngày: 11/08/2020-19:16
"[180, 612, 304, 616, 304, 634, 180, 630]",0,OTHER,Thu ngân: BH3
"[80, 632, 384, 636, 384, 650, 80, 646]",0,OTHER,Xin cám an và hẹn gặp lại khách thuy
