poly,cate_id,cate_text,vietocr_text
"[157, 219, 451, 212, 452, 256, 158, 264]",15,SELLER,champi
"[258, 288, 412, 288, 412, 314, 258, 320]",16,ADDRESS,KTX Khu B
"[442, 280, 659, 276, 660, 309, 442, 318]",16,ADDRESS,ĐHQG TP.HCM
"[64, 294, 230, 292, 230, 322, 64, 326]",16,ADDRESS,Tòa nhà C1
"[238, 334, 488, 328, 488, 362, 238, 366]",0,OTHER,Tel:07 6336 5665
"[152, 406, 541, 396, 543, 439, 154, 449]",0,OTHER,PHIẾU THANH TOÁN
"[210, 486, 286, 486, 286, 514, 210, 514]",0,OTHER,I141
"[110, 488, 164, 488, 164, 514, 110, 514]",0,OTHER,HĐ:
"[374, 482, 616, 480, 616, 508, 374, 514]",0,OTHER,Số Thẻ: STT - 01
"[598, 522, 678, 522, 678, 552, 598, 552]",17,TIMESTAMP,19.24
"[432, 522, 546, 522, 546, 552, 432, 552]",17,TIMESTAMP,Giờ vào:
"[216, 525, 364, 524, 364, 554, 216, 553]",0,OTHER,02.06.2019
"[106, 530, 150, 530, 150, 560, 106, 560]",0,OTHER,lày:
"[598, 562, 676, 562, 676, 592, 598, 592]",17,TIMESTAMP,19.25
"[432, 562, 524, 568, 524, 590, 432, 592]",17,TIMESTAMP,Giờ ra:
"[100, 570, 278, 566, 278, 590, 100, 588]",0,OTHER,Su ngân: Ca 201
"[198, 618, 298, 620, 298, 642, 198, 644]",0,OTHER,Tên món
"[468, 620, 532, 620, 532, 646, 468, 644]",0,OTHER,Đ.Giá
"[404, 620, 434, 620, 434, 646, 404, 646]",0,OTHER,SL
"[602, 618, 676, 618, 676, 646, 602, 646]",0,OTHER,T.Tiền
"[66, 656, 214, 656, 211, 686, 66, 672]",0,OTHER,Xôi Trắng
"[414, 664, 426, 664, 426, 682, 414, 682]",0,OTHER,i
"[464, 660, 542, 660, 542, 686, 464, 686]",0,OTHER,10 000
"[598, 660, 678, 662, 678, 686, 598, 686]",0,OTHER,10 000
"[118, 692, 332, 692, 332, 720, 118, 710]",0,OTHER,Xôi Trảng (Phần
"[414, 712, 424, 712, 424, 732, 414, 732]",0,OTHER,1
"[470, 710, 534, 710, 534, 734, 470, 734]",0,OTHER,3 000
"[612, 712, 678, 712, 678, 736, 612, 734]",0,OTHER,3 000
"[90, 711, 167, 716, 165, 745, 88, 739]",0,OTHER,thêm)
"[414, 758, 426, 758, 426, 784, 414, 784]",0,OTHER,1
"[112, 756, 270, 754, 270, 782, 112, 776]",0,OTHER,14 Thịt Xá xíu
"[470, 758, 538, 758, 538, 786, 470, 782]",0,OTHER,8 000
"[614, 762, 682, 762, 682, 788, 614, 788]",0,OTHER,8 000
"[414, 800, 426, 800, 426, 824, 414, 824]",0,OTHER,1
"[50, 798, 186, 794, 186, 822, 50, 818]",0,OTHER,2 Xôi Nấm
"[468, 798, 548, 800, 548, 826, 468, 826]",0,OTHER,15 000
"[604, 802, 686, 802, 686, 830, 604, 828]",0,OTHER,15 000
"[414, 844, 426, 844, 426, 864, 414, 864]",0,OTHER,1
"[472, 842, 542, 842, 542, 870, 472, 870]",0,OTHER,8 000
"[618, 843, 687, 846, 685, 878, 616, 875]",0,OTHER,8000
"[106, 844, 250, 838, 250, 868, 106, 864]",0,OTHER,4 Thịt cuộn
"[30, 884, 206, 886, 206, 922, 30, 920]",0,OTHER,Thành tiền:
"[590, 894, 686, 894, 686, 924, 590, 924]",0,OTHER,44 000
"[30, 932, 196, 934, 196, 960, 30, 960]",0,OTHER,Tiền chiết khấu
"[392, 934, 436, 934, 436, 954, 392, 954]",0,OTHER,10%
"[644, 938, 686, 938, 686, 962, 644, 962]",0,OTHER,400
"[34, 992, 310, 996, 310, 1026, 34, 1024]",18,TOTAL_COST,Tiên Thanh Toán
"[568, 998, 680, 998, 680, 1026, 568, 1024]",18,TOTAL_COST,39 600
"[58, 1028, 212, 1030, 212, 1050, 58, 1050]",0,OTHER,Tiên mặt vnd:
"[606, 1032, 676, 1030, 676, 1050, 606, 1050]",0,OTHER,39 600
"[62, 1070, 228, 1074, 228, 1090, 62, 1090]",0,OTHER,Tiên khách đưa:
"[590, 1072, 670, 1072, 670, 1088, 590, 1090]",0,OTHER,100 000
"[596, 1092, 664, 1092, 664, 1108, 596, 1110]",0,OTHER,60 400
"[66, 1092, 184, 1094, 184, 1112, 66, 1110]",0,OTHER,Tiên trả lại:
"[208, 1128, 541, 1126, 542, 1137, 208, 1140]",0,OTHER,Thankyouses
