poly,cate_id,cate_text,vietocr_text
"[144, 94, 301, 104, 299, 122, 144, 112]",16,ADDRESS,VINH TNH TÔ 3 KHU 33 CÂM TRƯNG
"[22, 112, 122, 123, 119, 151, 19, 141]",15,SELLER,Vincommerce
"[160, 118, 289, 124, 285, 143, 160, 132]",16,ADDRESS,"T0 3 Khu 38, P. Căm Trưng"
"[174, 136, 288, 140, 288, 158, 174, 154]",16,ADDRESS,"Cam Pha, T. Quảng Hinh"
"[174, 156, 270, 160, 270, 176, 174, 172]",0,OTHER,024.71068854-15871
"[116, 190, 230, 194, 230, 208, 116, 204]",0,OTHER,NGOÀ TN BẢN HĂNG
"[18, 196, 208, 212, 208, 226, 18, 216]",17,TIMESTAMP,Ngày bán: 13/08/2020 20:47
"[248, 216, 324, 216, 324, 230, 248, 230]",0,OTHER,0000046190
"[18, 215, 80, 222, 80, 236, 16, 233]",0,OTHER,Quấy: 0011
"[236, 231, 332, 234, 332, 248, 235, 245]",0,OTHER,NYBH:00024527
"[18, 254, 82, 256, 82, 276, 18, 272]",0,OTHER,Mặt hàng
"[154, 266, 200, 264, 200, 282, 154, 280]",0,OTHER,dd giá
"[228, 270, 244, 270, 244, 282, 228, 282]",0,OTHER,SL
"[280, 270, 326, 270, 326, 284, 280, 284]",0,OTHER,Tiến
"[18, 274, 318, 288, 318, 302, 18, 290]",0,OTHER,Sửa TTT Da Lat Mink không hộp 450m là một được điện là nhưng được điện liện là nhưng đường độ 1950
"[16, 290, 120, 297, 119, 316, 15, 309]",0,OTHER,8938503131742
"[160, 300, 210, 302, 210, 318, 160, 316]",0,OTHER,24.500
"[286, 306, 334, 308, 334, 322, 286, 320]",0,OTHER,24.500
"[18, 312, 252, 322, 252, 336, 18, 330]",0,OTHER,Trứng gả tươi Dabaco hộp 10 quá
"[16, 330, 120, 334, 119, 352, 15, 348]",0,OTHER,8936057560032
"[160, 338, 210, 340, 210, 354, 160, 354]",0,OTHER,25.600
"[288, 344, 334, 344, 334, 358, 288, 358]",0,OTHER,25.600
"[16, 368, 182, 376, 182, 390, 16, 386]",18,TOTAL_COST,"TỔNG TIẾN PHẢI T, TOẤN"
"[288, 378, 336, 380, 336, 394, 288, 394]",18,TOTAL_COST,50.100
"[18, 386, 144, 390, 144, 408, 18, 406]",0,OTHER,TỔNG TIẾN Ã GIẢM
"[18, 406, 128, 412, 128, 426, 18, 424]",0,OTHER,TIẾN KHÁCH TRẢ
"[290, 416, 338, 416, 338, 430, 290, 430]",0,OTHER,50.100
"[24, 426, 90, 430, 90, 444, 24, 444]",0,OTHER,TIẾN MẶT
"[290, 436, 338, 436, 338, 450, 290, 450]",0,OTHER,50.100
"[18, 446, 114, 450, 114, 466, 18, 464]",0,OTHER,TIỀN TRẢ LẠI
"[78, 468, 278, 472, 278, 486, 78, 484]",0,OTHER,(Giá đã bao gồm thuế gigt)
"[72, 524, 280, 530, 280, 544, 72, 542]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[18, 544, 340, 550, 340, 564, 18, 562]",0,OTHER,Tax invoice will be issued within same day
"[56, 584, 298, 586, 298, 602, 56, 602]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[16, 604, 336, 608, 336, 622, 16, 622]",0,OTHER,Hot line: 02471066866 Website: Vinmart. COM
