poly,cate_id,cate_text,vietocr_text
"[46, 79, 184, 84, 183, 106, 45, 101]",0,OTHER,Vietcombank
"[28, 128, 56, 130, 56, 142, 28, 140]",0,OTHER,TIN MINH
"[190, 130, 210, 130, 210, 144, 190, 144]",15,SELLER,MINH
"[126, 132, 170, 132, 170, 144, 126, 144]",15,SELLER,NGUY
"[28, 144, 86, 142, 86, 156, 28, 154]",16,ADDRESS,Vi the minh
"[170, 162, 190, 162, 190, 172, 170, 172]",0,OTHER,wa
"[80, 174, 116, 174, 116, 186, 80, 186]",0,OTHER,NIMMA
"[152, 174, 212, 174, 212, 186, 152, 186]",0,OTHER,001019599219
"[28, 186, 66, 186, 66, 198, 28, 198]",0,OTHER,TIẾT VIAN
"[182, 188, 212, 188, 212, 200, 182, 200]",0,OTHER,950
"[28, 202, 106, 202, 106, 214, 28, 212]",0,OTHER,TON EIRSKING
"[28, 216, 68, 216, 68, 228, 28, 228]",0,OTHER,NGÀY H. NG
"[190, 216, 212, 216, 212, 230, 190, 230]",0,OTHER,1020
"[74, 232, 152, 232, 152, 244, 74, 244]",0,OTHER,THINNH TOAN
"[126, 246, 160, 246, 160, 260, 126, 260]",0,OTHER,SO THEON
"[88, 248, 114, 248, 114, 258, 88, 258]",0,OTHER,000110
"[26, 262, 46, 262, 46, 272, 26, 272]",17,TIMESTAMP,NAS
"[180, 262, 214, 262, 214, 274, 180, 274]",17,TIMESTAMP,8210
"[68, 262, 110, 262, 110, 274, 68, 274]",17,TIMESTAMP,1201200
"[126, 262, 144, 262, 144, 272, 126, 272]",0,OTHER,GIU
"[26, 276, 54, 276, 54, 288, 26, 286]",0,OTHER,Silla
"[126, 276, 178, 276, 178, 290, 126, 288]",0,OTHER,THỊ CHI TH
"[64, 278, 114, 278, 114, 288, 64, 288]",0,OTHER,WINGWISE
"[186, 276, 214, 276, 214, 288, 186, 288]",0,OTHER,US87SC
"[28, 304, 98, 306, 98, 318, 28, 318]",18,TOTAL_COST,TÔNG CUNG
"[134, 306, 214, 306, 214, 320, 134, 320]",18,TOTAL_COST,UND402.766
"[26, 322, 90, 322, 90, 334, 26, 332]",0,OTHER,ANTEVISTICIAN
"[44, 336, 102, 336, 102, 348, 44, 348]",0,OTHER,0000000001111
"[44, 352, 110, 352, 110, 362, 44, 362]",0,OTHER,088000000101
"[38, 384, 102, 384, 102, 414, 38, 414]",0,OTHER,Awd
"[78, 420, 188, 422, 188, 434, 78, 432]",0,OTHER,NGÀN HỒN TƠN THÔNG THÀNH MAN
"[114, 436, 132, 436, 132, 448, 114, 448]",0,OTHER,BƯNG
"[90, 452, 132, 452, 132, 464, 90, 464]",0,OTHER,MƯNG HỮAN
"[90, 468, 150, 468, 150, 480, 90, 480]",0,OTHER,DINH OD NGOI T
