poly,cate_id,cate_text,vietocr_text
"[190, 106, 414, 108, 414, 124, 190, 126]",16,ADDRESS,VM - QNH Dư ản KDC lần biên cọc b
"[200, 132, 404, 132, 404, 152, 200, 152]",16,ADDRESS,"DA KHU DCLB COC 6, P. CÂM SƠN TH"
"[26, 150, 160, 150, 160, 186, 26, 186]",15,SELLER,VinCommerce
"[212, 158, 390, 160, 390, 180, 212, 180]",16,ADDRESS,"12 TP. Câm Phà, T. Quảng Ninh"
"[236, 186, 363, 185, 363, 207, 236, 208]",0,OTHER,024.71056856-44561
"[154, 234, 309, 235, 307, 256, 154, 256]",0,OTHER,HÓA ƠN BÁN HÀNG
"[22, 260, 278, 262, 278, 282, 22, 280]",17,TIMESTAMP,Ngày bán: 14/08/2020 16:05
"[334, 262, 440, 262, 440, 282, 334, 282]",0,OTHER,01:00073229
"[22, 282, 104, 286, 104, 304, 22, 304]",0,OTHER,Quầy: 001
"[316, 288, 450, 286, 450, 306, 316, 308]",0,OTHER,NVBH:09021213
"[22, 334, 108, 336, 105, 359, 22, 356]",0,OTHER,Mặt hàng
"[306, 340, 326, 340, 326, 358, 306, 358]",0,OTHER,SL
"[375, 338, 439, 334, 440, 355, 376, 359]",0,OTHER,T. Tiển
"[204, 338, 265, 335, 267, 357, 204, 356]",0,OTHER,ơn giá
"[20, 360, 408, 364, 408, 382, 20, 380]",0,OTHER,Kem Merino Koo Thanh muối cây 50g T54 Chiến
"[20, 384, 156, 386, 156, 406, 20, 404]",0,OTHER,8936011772228
"[226, 390, 276, 388, 276, 406, 226, 406]",0,OTHER,5.900
"[384, 388, 450, 388, 450, 408, 384, 408]",0,OTHER,11.800
"[22, 410, 268, 412, 268, 432, 22, 430]",0,OTHER,JOMI BÔNG TẦY TRANG 120M
"[20, 436, 155, 436, 155, 456, 20, 456]",0,OTHER,8691275850227
"[384, 438, 450, 438, 450, 458, 384, 458]",0,OTHER,34.000
"[212, 438, 276, 438, 276, 456, 212, 456]",0,OTHER,34.000
"[20, 462, 44, 462, 44, 480, 20, 480]",0,OTHER,KM
"[374, 464, 450, 464, 450, 482, 374, 484]",0,OTHER,-12.000
"[20, 508, 236, 510, 236, 532, 20, 530]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[384, 514, 450, 514, 450, 534, 384, 534]",18,TOTAL_COST,33.800
"[20, 534, 186, 534, 186, 556, 20, 556]",0,OTHER,TỔNG TIẾN Ã GIẢM
"[364, 540, 440, 540, 440, 558, 364, 558]",0,OTHER,12.000
"[20, 558, 166, 558, 166, 580, 20, 582]",0,OTHER,TIẾN KHÁCH TRẢ
"[384, 566, 450, 566, 450, 584, 384, 584]",0,OTHER,33.800
"[30, 586, 114, 586, 114, 606, 30, 606]",0,OTHER,TIỀN MẶT
"[374, 590, 450, 590, 450, 610, 374, 610]",0,OTHER,100.000
"[20, 610, 146, 612, 146, 632, 20, 632]",0,OTHER,TIẾN TRẢ LẠI
"[384, 614, 450, 616, 450, 636, 384, 634]",0,OTHER,66.200
"[102, 640, 366, 638, 366, 660, 102, 658]",0,OTHER,(Giả đã bao gồm thuế gtgt)
"[90, 712, 368, 716, 368, 738, 90, 734]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[18, 740, 450, 746, 450, 766, 18, 760]",0,OTHER,Tax invoice will be issued within same day
"[68, 790, 388, 794, 388, 814, 68, 810]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[16, 816, 440, 822, 440, 840, 16, 836]",0,OTHER,Hotline: 02471066866 Website: Vinmart.com
