poly,cate_id,cate_text,vietocr_text
"[362, 52, 510, 54, 510, 72, 361, 73]",15,SELLER,Saigon Eo-op
"[292, 82, 585, 68, 587, 88, 292, 98]",15,SELLER,Cosop Food Ho The K-PARK
"[274, 104, 597, 91, 598, 113, 274, 122]",0,OTHER,Ma so thue: 0309129418?1150
"[176, 127, 676, 120, 676, 134, 174, 147]",16,ADDRESS,"Tang 1,5142 - Toa K3 Cong trinh cua nam"
"[182, 152, 668, 142, 668, 160, 182, 172]",16,ADDRESS,ket hop dich vu tren o dat H-CT2 thuoc thuong
"[170, 176, 683, 161, 684, 182, 170, 196]",16,ADDRESS,Du an Dau tu xay dung Khu nha Brand 1991
"[270, 202, 622, 193, 621, 214, 270, 222]",16,ADDRESS,tai Khu do thi moi Van Phuy
"[228, 228, 648, 216, 648, 236, 228, 246]",16,ADDRESS,Phu Lay Di Ha Dong Ha Noi thuong
"[251, 254, 642, 246, 642, 264, 252, 275]",0,OTHER,Email: cfthekparkscoopfood vin
"[236, 278, 658, 272, 658, 290, 236, 300]",0,OTHER,Websiterwawssigoncon insus
"[232, 334, 647, 323, 648, 346, 232, 360]",0,OTHER,PHIEUTTINH
"[146, 368, 694, 358, 694, 380, 146, 390]",0,OTHER,Co gia tri xuat Hoa don Giot trong ngay
"[340, 426, 720, 414, 720, 438, 340, 456]",17,TIMESTAMP,Ngay: 20/07/2017
"[140, 429, 258, 428, 258, 452, 138, 452]",0,OTHER,Ruay: 02
"[136, 460, 724, 446, 724, 474, 135, 483]",0,OTHER,Nhan viem Dinh Thi Bich Ng So HD: 08475
"[128, 526, 734, 512, 734, 546, 128, 556]",0,OTHER,08934673576390 Stuoi Stuinamilk kduong10
"[596, 550, 738, 546, 738, 574, 596, 578]",0,OTHER,"31,300.00"
"[126, 562, 222, 562, 222, 590, 126, 590]",0,OTHER,VATIOZ
"[368, 558, 507, 553, 509, 579, 368, 586]",0,OTHER,"31,300.00"
"[119, 598, 742, 584, 742, 616, 120, 629]",0,OTHER,08734480043212 KD Bubian tuoi bo nho 300
"[618, 622, 748, 618, 748, 648, 618, 650]",0,OTHER,"55,300.00"
"[118, 634, 216, 634, 216, 664, 118, 664]",0,OTHER,VATIOZ
"[262, 638, 274, 638, 274, 658, 262, 658]",0,OTHER,I
"[384, 630, 511, 625, 512, 655, 384, 662]",0,OTHER,"15,300.00"
"[608, 700, 758, 696, 758, 726, 608, 734]",18,TOTAL_COST,"36,600.00"
"[111, 711, 498, 706, 498, 734, 107, 741]",18,TOTAL_COST,Tong so tien thanh toan:
"[188, 750, 501, 750, 499, 781, 185, 783]",0,OTHER,Tong so luong hang tu
"[96, 838, 486, 832, 486, 862, 94, 870]",0,OTHER,Phuong thuc thanh toan:
"[626, 868, 780, 862, 780, 896, 626, 906]",0,OTHER,"40,000.00"
"[94, 884, 234, 882, 234, 914, 94, 916]",0,OTHER,Tien mat
"[634, 968, 790, 952, 790, 988, 634, 982]",0,OTHER,- K.4400
"[86, 974, 384, 974, 384, 992, 86, 1008]",0,OTHER,Tien thoi lai van
"[658, 1056, 802, 1048, 802, 1086, 658, 1096]",0,OTHER,33337722
"[76, 1072, 476, 1062, 476, 1098, 76, 1106]",0,OTHER,Baodgom thud 6tgt 1071
"[66, 1120, 664, 1106, 664, 1146, 68, 1162]",0,OTHER,THONG TIN KHÁCH HANG THAN THIET
"[98, 1174, 200, 1180, 200, 1210, 98, 1210]",0,OTHER,Marso
"[94, 1230, 230, 1228, 230, 1266, 94, 1268]",0,OTHER,Ho ten:
"[87, 1286, 362, 1288, 362, 1330, 88, 1328]",0,OTHER,Dien daw ngay
"[366, 1344, 621, 1341, 618, 1371, 366, 1364]",0,OTHER,remoneration
