poly,cate_id,cate_text,vietocr_text
"[152, 52, 218, 57, 217, 70, 151, 65]",0,OTHER,KHONG KHO THI THỊ THỊ THỊ THỊ TH
"[132, 68, 222, 70, 221, 84, 132, 80]",16,ADDRESS,031000000000191
"[32, 74, 106, 74, 106, 96, 32, 96]",15,SELLER,VinCommerce
"[132, 82, 222, 82, 222, 96, 132, 94]",16,ADDRESS,Philing thuy long binh
"[144, 98, 210, 98, 210, 110, 144, 110]",0,OTHER,000100000119
"[102, 120, 188, 120, 188, 132, 102, 130]",0,OTHER,HỒA ĐƠN ĐAN HÀNG
"[32, 132, 164, 134, 164, 146, 32, 144]",17,TIMESTAMP,1301103/27/07/2020
"[192, 134, 250, 134, 250, 146, 192, 146]",0,OTHER,001002325
"[32, 146, 74, 146, 74, 154, 32, 158]",0,OTHER,Ngày nghi tho ngho ninh
"[180, 148, 250, 148, 250, 160, 180, 160]",0,OTHER,NEROSONISTS
"[32, 174, 78, 174, 78, 186, 32, 186]",0,OTHER,Mặt hàng
"[126, 176, 164, 176, 164, 188, 126, 186]",0,OTHER,Ban gia
"[216, 174, 250, 174, 250, 186, 216, 186]",0,OTHER,NTIÊN
"[32, 188, 196, 190, 196, 198, 32, 198]",0,OTHER,000000000103113
"[216, 202, 250, 202, 250, 214, 216, 212]",0,OTHER,"18,000"
"[32, 202, 102, 202, 102, 212, 32, 212]",0,OTHER,077223004428011
"[146, 202, 164, 202, 164, 214, 146, 214]",0,OTHER,1000
"[230, 216, 250, 216, 250, 226, 230, 226]",0,OTHER,500
"[34, 242, 144, 242, 144, 254, 34, 254]",18,TOTAL_COST,TÔNG TIÊN PHÁI T. TOÁN
"[218, 242, 250, 242, 250, 252, 218, 254]",18,TOTAL_COST,13.500
"[230, 256, 248, 256, 248, 264, 230, 264]",0,OTHER,500
"[34, 256, 124, 256, 124, 268, 34, 268]",0,OTHER,THN THÊN ĐÃ GIAN
"[230, 268, 248, 268, 248, 278, 230, 278]",0,OTHER,LOA
"[34, 270, 108, 270, 108, 280, 34, 280]",0,OTHER,TIÊN KHACH TRANG
"[230, 282, 248, 282, 248, 292, 230, 292]",0,OTHER,200
"[38, 284, 78, 284, 78, 294, 38, 294]",0,OTHER,HIỆN MA
"[34, 298, 98, 296, 98, 308, 34, 308]",0,OTHER,TIÊN TRÀ LẠI
"[76, 310, 207, 305, 209, 317, 76, 320]",0,OTHER,Chinh đã bao động trong thuy thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu thu 
"[74, 350, 214, 348, 214, 358, 74, 358]",0,OTHER,Chip xum thua được trong người trong the the trong trong the the the the the the the the the the the the the the the the the the 
"[34, 364, 248, 360, 248, 370, 34, 372]",0,OTHER,Tan looter warders anders
"[64, 390, 222, 386, 222, 396, 64, 400]",0,OTHER,CHR THU THUY THỊ THỊ THI KHI VÀ NGUY
"[36, 402, 240, 398, 240, 406, 36, 414]",0,OTHER,0311000000001000
