poly,cate_id,cate_text,vietocr_text
"[92, 104, 350, 98, 350, 122, 92, 124]",15,SELLER,NHÀ SÁCH GD.TC CẤM PHẢ
"[30, 132, 334, 128, 334, 148, 30, 150]",16,ADDRESS,ĐC: 212 Đường Trần Phú-Cẩm Phả
"[32, 158, 192, 162, 192, 182, 32, 178]",0,OTHER,Nhân viên thu ngân:
"[30, 186, 310, 184, 310, 204, 30, 206]",0,OTHER,ĐT 0333363328 - Fax 0333863328
"[30, 210, 284, 210, 284, 228, 30, 230]",17,TIMESTAMP,Thời gian:20:53:35 - 14/08/2020
"[320, 236, 410, 238, 410, 252, 320, 252]",0,OTHER,Thành tiên
"[28, 238, 104, 240, 104, 260, 28, 256]",0,OTHER,Tên hàng
"[228, 238, 258, 238, 258, 254, 228, 254]",0,OTHER,Giá
"[356, 266, 412, 262, 412, 282, 356, 282]",0,OTHER,8.000đ
"[18, 266, 150, 268, 150, 286, 18, 284]",0,OTHER,HỒ KHÔ TL G-05
"[238, 270, 284, 266, 284, 284, 238, 284]",0,OTHER,8.000
"[14, 287, 107, 293, 105, 314, 12, 310]",0,OTHER,Tổng cộng 3
"[350, 294, 412, 290, 412, 310, 350, 308]",0,OTHER,8.000d
"[16, 320, 187, 322, 185, 342, 16, 340]",0,OTHER,Chiết khấu bán hàng
"[386, 320, 410, 320, 410, 338, 386, 338]",0,OTHER,0
"[350, 350, 412, 346, 412, 368, 350, 368]",17,TIMESTAMP,8.000d
"[14, 346, 178, 350, 178, 370, 12, 369]",17,TIMESTAMP,Tổng số thanh toán:
"[70, 386, 338, 380, 338, 408, 70, 408]",0,OTHER,XIN CÁM ƠN QUÍ KHÁCHI
