poly,cate_id,cate_text,vietocr_text
"[198, 104, 390, 104, 390, 122, 198, 122]",16,ADDRESS,"Viên Thành Tộ 7, Khu Hinh Tiên Anh Thên Thu Ninh Tiên Thu Ninh Tiên Thu Ninh Tiên Thu Ninh Tiên Thu Ninh Tiên Thu Ninh Tiên Thu N"
"[228, 130, 360, 128, 360, 150, 228, 150]",16,ADDRESS,"Tô 7, Khu Minh Tiên Á"
"[34, 148, 162, 148, 162, 184, 34, 184]",0,OTHER,Wincommerce
"[214, 156, 390, 154, 390, 174, 214, 176]",16,ADDRESS,"Cảm Bình TP. Câm Pha, QNH"
"[232, 182, 354, 182, 354, 202, 232, 202]",0,OTHER,02471086866-51561
"[154, 228, 300, 228, 300, 248, 154, 248]",0,OTHER,HÓA ƠN BÁN HĂNG
"[34, 252, 270, 254, 270, 272, 34, 272]",17,TIMESTAMP,Ngày bán: 14/08/2020 18:14
"[324, 252, 424, 252, 424, 272, 324, 272]",0,OTHER,01200032824
"[32, 274, 110, 276, 110, 294, 32, 296]",0,OTHER,Quẩy:001
"[306, 276, 434, 276, 434, 296, 306, 296]",0,OTHER,NVBH:09025438
"[34, 322, 113, 323, 111, 344, 34, 342]",0,OTHER,Mặt hàng
"[362, 322, 424, 322, 424, 342, 362, 342]",0,OTHER,T. Tiển
"[202, 326, 262, 324, 262, 344, 202, 342]",0,OTHER,dn giáp
"[296, 326, 314, 326, 314, 342, 296, 342]",0,OTHER,SL
"[34, 346, 402, 348, 402, 366, 34, 364]",0,OTHER,Sữa TT THTrueMi Ik có đường L4 hộp 1 10m 1
"[34, 368, 158, 370, 158, 388, 34, 388]",0,OTHER,8935217400164
"[210, 370, 270, 370, 270, 390, 210, 390]",0,OTHER,21.900
"[370, 370, 432, 370, 432, 390, 370, 390]",0,OTHER,21.900
"[34, 390, 354, 394, 354, 414, 33, 409]",0,OTHER,NAKKI BÁNH GẠO NHẬT PHO 1189
"[34, 416, 160, 416, 160, 434, 34, 434]",0,OTHER,18936104760316
"[210, 416, 270, 416, 270, 436, 210, 434]",0,OTHER,26.700
"[370, 418, 430, 418, 430, 436, 370, 436]",0,OTHER,26.700
"[34, 460, 234, 462, 234, 480, 34, 480]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[370, 464, 430, 466, 430, 484, 370, 482]",18,TOTAL_COST,48.600
"[36, 482, 188, 482, 188, 504, 36, 504]",0,OTHER,TỔNG TIẾN Ả GIẢM
"[34, 507, 168, 506, 168, 526, 36, 528]",0,OTHER,TIẾN KHÁCH TRẢI
"[368, 512, 430, 512, 430, 530, 368, 530]",0,OTHER,48.600
"[44, 530, 122, 532, 122, 550, 44, 550]",0,OTHER,TIÊN MÃT
"[360, 534, 430, 536, 430, 554, 360, 552]",0,OTHER,100.000
"[36, 552, 150, 554, 150, 572, 36, 572]",0,OTHER,TIỀN TRẢ LẠI
"[368, 558, 430, 558, 430, 578, 368, 576]",0,OTHER,51.400
"[110, 576, 350, 578, 350, 598, 110, 596]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[100, 644, 352, 650, 352, 668, 100, 664]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[36, 670, 428, 676, 428, 696, 36, 688]",0,OTHER,Tax invoice will be issued within same day
"[82, 712, 372, 720, 372, 738, 82, 732]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[34, 736, 418, 746, 418, 762, 34, 754]",0,OTHER,Hot line: 02471066866 Website: vinmart com
