poly,cate_id,cate_text,vietocr_text
"[374, 120, 565, 116, 563, 139, 374, 140]",16,ADDRESS,Interstantionalize
"[322, 156, 632, 150, 632, 172, 322, 176]",16,ADDRESS,TRONG THUNG THUY CHINH THUY
"[96, 181, 279, 190, 277, 228, 94, 219]",15,SELLER,InCommerte
"[328, 192, 616, 182, 616, 202, 328, 206]",0,OTHER,anticompromentional
"[384, 222, 562, 214, 562, 240, 384, 242]",0,OTHER,TRANCESSES
"[268, 286, 497, 272, 499, 299, 268, 308]",0,OTHER,HCA BCN BÂN HÀNG
"[518, 304, 679, 299, 680, 329, 518, 332]",0,OTHER,18:00197593
"[156, 322, 440, 308, 440, 336, 156, 342]",17,TIMESTAMP,00100000000015
"[492, 342, 679, 331, 681, 361, 492, 364]",0,OTHER,NVSH: 09017432
"[86, 354, 204, 350, 204, 376, 86, 374]",0,OTHER,QUARIE
"[186, 388, 420, 341, 430, 391, 191, 427]",0,OTHER,THANH TOÀN
"[494, 410, 524, 410, 524, 434, 494, 434]",0,OTHER,SL
"[592, 404, 683, 400, 684, 431, 594, 435]",0,OTHER,T.Triển
"[336, 412, 442, 408, 442, 438, 336, 438]",0,OTHER,Bon gia
"[138, 414, 200, 417, 199, 441, 137, 437]",0,OTHER,Pans
"[124, 452, 654, 438, 654, 470, 124, 472]",0,OTHER,Triển cho thi thi thi thi thi thuong thuy thi thu thu thuy thuy thuy thi thu thu thuy thuy thuy thi thu thu thuy thuy thuy thi th
"[580, 474, 682, 472, 682, 502, 580, 504]",0,OTHER,184.500
"[338, 478, 440, 476, 440, 506, 338, 506]",0,OTHER,184.000
"[108, 478, 272, 478, 272, 508, 108, 508]",0,OTHER,HERATES
"[582, 542, 686, 540, 686, 570, 582, 570]",18,TOTAL_COST,184.500
"[82, 552, 386, 552, 386, 578, 82, 580]",18,TOTAL_COST,THE THA THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI THI T
"[84, 586, 330, 584, 330, 612, 84, 616]",0,OTHER,THENG TIẾN BA GIAN
"[582, 610, 688, 608, 688, 638, 582, 640]",0,OTHER,184.500
"[82, 622, 287, 616, 289, 645, 82, 650]",0,OTHER,THÀ BÁCH TẢ
"[580, 646, 688, 644, 688, 674, 580, 676]",0,OTHER,200.000
"[96, 656, 218, 660, 218, 684, 96, 686]",0,OTHER,TIẾN TH
"[598, 682, 690, 680, 690, 710, 598, 712]",0,OTHER,15.500
"[82, 692, 260, 696, 260, 720, 82, 720]",0,OTHER,TIÊN BA LAI
"[196, 728, 570, 720, 570, 750, 196, 754]",0,OTHER,Giê cho gia thuế gian
"[120, 796, 331, 800, 329, 828, 120, 826]",0,OTHER,thế liên nam nam chinh nam chinh nam chinh nam chinh nam chinh nam chinh nam chinh nam chinh
"[76, 834, 446, 832, 446, 860, 76, 862]",0,OTHER,Phen Tien Trang Thinh điển)
"[440, 866, 694, 860, 694, 894, 440, 896]",0,OTHER,001589011001975933
"[76, 874, 269, 866, 270, 895, 76, 898]",0,OTHER,số tran chiếu
"[176, 978, 580, 980, 580, 1008, 176, 1008]",0,OTHER,chí xuất hía dân trong ngày
"[132, 1020, 701, 1014, 699, 1044, 132, 1048]",0,OTHER,ingice vilite issued wane day
"[246, 1094, 614, 1092, 614, 1120, 246, 1124]",0,OTHER,CUY KHÁCH VÀ HÊN GẬP LẠI
"[65, 1137, 692, 1130, 692, 1158, 66, 1169]",0,OTHER,Intlire: 02-11166666 1961 vinmart.com
