poly,cate_id,cate_text,vietocr_text
"[282, 116, 429, 116, 427, 138, 282, 138]",16,ADDRESS,VM H VI HNI 32 Láng Trung
"[252, 144, 460, 140, 460, 160, 252, 164]",16,ADDRESS,"Ba 12 noô Làng Trung, P. Lâng Hai Thu"
"[84, 164, 218, 164, 218, 200, 84, 200]",15,SELLER,Vincommerce
"[300, 176, 414, 170, 414, 192, 300, 192]",16,ADDRESS,"44 tông Đa, Hà Nội"
"[292, 200, 416, 198, 416, 220, 292, 220]",0,OTHER,024.71045866-38411
"[212, 246, 374, 246, 374, 266, 212, 266]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[84, 246, 334, 272, 334, 292, 82, 266]",17,TIMESTAMP,Ngày bản: 17/00/2000
"[388, 268, 500, 268, 500, 286, 388, 290]",0,OTHER,01:10:00208365
"[84, 272, 168, 276, 168, 296, 84, 294]",0,OTHER,quấy:001
"[368, 296, 500, 294, 500, 310, 370, 316]",0,OTHER,NVB1::09014100
"[82, 322, 171, 330, 167, 352, 82, 342]",0,OTHER,Mặt hàng
"[264, 338, 332, 344, 332, 364, 264, 360]",0,OTHER,Đơn giáp
"[456, 336, 498, 336, 498, 356, 456, 356]",0,OTHER,Tiến
"[368, 344, 386, 344, 386, 360, 368, 360]",0,OTHER,SL
"[82, 346, 466, 364, 466, 382, 82, 366]",0,OTHER,xúc xích Klobasa Minh The Tha Tha Tha Người Chu Người Thu người Thu người tha người tha người tha người tha người tha người tha n
"[80, 365, 217, 380, 215, 401, 78, 386]",0,OTHER,8938500490279
"[434, 390, 486, 388, 486, 402, 434, 404]",0,OTHER,76.HO
"[272, 390, 332, 392, 332, 410, 272, 406]",0,OTHER,76.800
"[82, 389, 378, 416, 378, 436, 80, 411]",0,OTHER,Thiên vương Ba chỉ bò Mỹ 500gr
"[78, 412, 217, 426, 215, 447, 76, 434]",0,OTHER,8936074790092
"[264, 436, 332, 438, 332, 458, 264, 454]",0,OTHER,119.900
"[422, 434, 494, 434, 494, 452, 422, 452]",0,OTHER,119.900
"[78, 439, 286, 459, 283, 479, 76, 459]",0,OTHER,DONAVI VÁNG ĐẬU 200G
"[76, 465, 215, 475, 213, 496, 75, 486]",0,OTHER,8936074635720
"[270, 482, 332, 486, 332, 504, 270, 502]",0,OTHER,51.800
"[432, 484, 496, 482, 496, 502, 432, 502]",0,OTHER,51.800
"[76, 490, 426, 508, 426, 528, 74, 511]",0,OTHER,BIBIGO KIMCHI CẢI THẢO CÁT TOO9 TH
"[74, 514, 213, 523, 211, 545, 72, 536]",0,OTHER,8938508547562
"[268, 532, 330, 532, 330, 550, 268, 550]",0,OTHER,13.900
"[378, 536, 388, 536, 388, 550, 378, 550]",0,OTHER,2
"[432, 532, 496, 532, 496, 550, 432, 550]",0,OTHER,27.800
"[74, 542, 496, 558, 496, 574, 74, 562]",0,OTHER,"chi ch a chua cherry đỏ du L1 Vineco 99,500/KG XE Thuy"
"[72, 568, 160, 570, 160, 590, 72, 588]",0,OTHER,"10,515 KG"
"[70, 592, 208, 594, 208, 614, 70, 612]",0,OTHER,2652379005142
"[266, 600, 328, 602, 328, 620, 266, 620]",0,OTHER,51.342
"[432, 604, 496, 604, 496, 622, 432, 622]",0,OTHER,51.342
"[68, 640, 288, 648, 288, 668, 68, 662]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOẤN
"[422, 652, 496, 654, 496, 672, 422, 672]",18,TOTAL_COST,327.642
"[68, 664, 246, 670, 246, 692, 68, 690]",0,OTHER,TỔNG TIẾN ĐÃ GIẢM
"[66, 690, 214, 694, 214, 716, 66, 712]",0,OTHER,TIỀN KHÁCH TRẢ
"[422, 702, 498, 702, 498, 722, 422, 720]",0,OTHER,327.642
"[74, 718, 324, 724, 324, 744, 74, 738]",0,OTHER,Vi điện tử của Vinid Pay
"[422, 726, 496, 728, 496, 746, 422, 746]",0,OTHER,327.642
"[62, 742, 192, 746, 192, 766, 62, 764]",0,OTHER,TIẾN TRẢ LẠI
"[146, 770, 414, 775, 413, 796, 146, 792]",0,OTHER,(Giá đã bao gồm thuế gtgt)
"[56, 822, 241, 824, 239, 847, 56, 842]",0,OTHER,ID THẾ KHÁCH HÀNG
"[330, 825, 488, 828, 487, 848, 329, 846]",0,OTHER,XXXXXXXXXXXXXXX
"[52, 846, 330, 848, 330, 872, 52, 868]",0,OTHER,Điểm tích(1.UUUVND:1 điểm)
"[476, 856, 498, 856, 498, 876, 476, 876]",0,OTHER,10
"[52, 874, 196, 874, 196, 896, 52, 898]",0,OTHER,Số tham chiếu
"[316, 878, 497, 880, 497, 902, 316, 898]",0,OTHER,00384100100208365
"[124, 954, 414, 960, 414, 984, 124, 976]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[44, 986, 500, 992, 500, 1014, 44, 1006]",0,OTHER,Tax invoice will be issued within same day
"[98, 1038, 436, 1044, 436, 1064, 98, 1060]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[38, 1070, 490, 1074, 490, 1092, 38, 1092]",0,OTHER,Hot line: 02471066866 Website: Vinmart.COM
