poly,cate_id,cate_text,vietocr_text
"[120, 102, 546, 102, 546, 142, 120, 142]",15,SELLER,the coffee house
"[144, 154, 526, 152, 526, 180, 144, 176]",16,ADDRESS,"403 Phan Huy Ich, P.14, Q.Gò Vấp Nam"
"[254, 190, 294, 190, 294, 216, 254, 216]",0,OTHER,Số:
"[352, 190, 416, 190, 416, 220, 352, 220]",0,OTHER,447
"[336, 224, 612, 224, 612, 250, 336, 250]",0,TIMESTAMP,Số HĐ: TA981000084202 19
"[52, 222, 330, 226, 330, 250, 52, 244]",17,TIMESTAMP,Thời gian:03.10.2020 08.52
"[50, 276, 232, 278, 232, 302, 50, 302]",0,OTHER,Thu ngân: cash1
"[48, 308, 332, 310, 332, 336, 48, 334]",0,OTHER,Khách hàng: Dương Châu
"[46, 340, 260, 342, 260, 364, 46, 368]",0,OTHER,DDLL: Dương Châu
"[140, 384, 232, 384, 232, 408, 140, 408]",0,OTHER,Tên món
"[308, 388, 334, 388, 334, 408, 308, 408]",0,OTHER,SL
"[554, 388, 622, 388, 622, 410, 554, 410]",0,OTHER,T.TTÊN
"[386, 388, 444, 386, 444, 410, 386, 408]",0,OTHER,Đ.Giá
"[60, 428, 266, 424, 266, 450, 60, 444]",0,OTHER,Sinh tổ Viết Quất
"[382, 426, 454, 426, 454, 448, 382, 450]",0,OTHER,59 000
"[552, 428, 626, 428, 626, 450, 552, 450]",0,OTHER,59 000
"[84, 454, 280, 454, 280, 480, 84, 480]",0,OTHER,Trà đen macchiato
"[318, 474, 326, 474, 326, 488, 318, 488]",0,OTHER,1
"[56, 470, 144, 480, 144, 510, 56, 492]",0,OTHER,2 (ớn)
"[382, 470, 456, 472, 456, 494, 382, 496]",0,OTHER,55 000
"[554, 472, 630, 474, 630, 498, 554, 498]",0,OTHER,55 0000
"[126, 510, 236, 510, 236, 538, 126, 538]",0,OTHER,Trân châu
"[52, 528, 64, 528, 64, 548, 52, 548]",0,OTHER,3
"[382, 528, 458, 528, 458, 554, 382, 554]",0,OTHER,10 000
"[556, 530, 632, 532, 632, 556, 556, 556]",0,OTHER,10 000
"[80, 535, 140, 540, 137, 571, 77, 565]",0,OTHER,trắng
"[74, 578, 214, 578, 214, 604, 74, 604]",0,OTHER,Thành tiên:
"[530, 582, 632, 584, 631, 606, 530, 608]",0,OTHER,124 000
"[70, 626, 220, 628, 220, 656, 70, 654]",18,TOTAL_COST,Thanh Toán
"[532, 630, 634, 632, 634, 658, 532, 658]",18,TOTAL_COST,124000
"[68, 658, 260, 660, 260, 686, 68, 684]",0,OTHER,Tiên khách đưa
"[532, 662, 634, 662, 634, 688, 532, 688]",0,OTHER,124 000
"[66, 684, 174, 686, 174, 714, 66, 712]",0,OTHER,Tiền thừa
"[68, 728, 244, 726, 244, 752, 68, 746]",0,OTHER,Thên mặt VND
"[546, 728, 636, 728, 636, 752, 546, 752]",0,OTHER,124 000
