poly,cate_id,cate_text,vietocr_text
"[214, 86, 352, 86, 352, 104, 214, 104]",16,ADDRESS,Vi ton onh 112 Thanh Nam
"[192, 108, 374, 108, 374, 126, 192, 126]",16,ADDRESS,"Số 112 Thanh Niên, P. Câm Thành Nhanh"
"[48, 124, 164, 124, 164, 156, 48, 156]",15,SELLER,Vincommerce
"[214, 132, 352, 134, 352, 148, 214, 148]",16,ADDRESS,TP. Câm Phả Quống Ninh
"[228, 154, 338, 154, 338, 172, 228, 172]",0,OTHER,024.7100001220571
"[156, 192, 298, 194, 298, 212, 156, 212]",0,OTHER,HÒA ĐƠN BÁN TĂNG
"[44, 214, 262, 216, 262, 234, 44, 232]",17,TIMESTAMP,Ngày bán: 13/08/2020 10:12
"[308, 214, 408, 214, 408, 232, 308, 232]",0,OTHER,11::00181611
"[44, 236, 116, 236, 116, 252, 44, 252]",0,OTHER,quầy:001
"[292, 236, 408, 236, 408, 254, 292, 254]",0,OTHER,NVBH:09015347
"[44, 276, 117, 277, 115, 296, 44, 294]",0,OTHER,Mặt hàng
"[198, 276, 262, 278, 262, 298, 198, 296]",0,OTHER,Đơn giá
"[294, 282, 312, 282, 312, 296, 294, 296]",0,OTHER,SL
"[356, 280, 410, 276, 410, 294, 356, 296]",0,OTHER,T.TTEN
"[44, 298, 392, 298, 392, 316, 44, 314]",0,OTHER,CHOLIMEX SỐT ƯỚP THỊT NƯỚNG TÓ THO NHINH
"[42, 318, 156, 318, 156, 336, 42, 336]",0,OTHER,8934637514871
"[216, 322, 262, 320, 262, 338, 216, 336]",0,OTHER,"7,400"
"[378, 320, 408, 320, 408, 336, 378, 336]",0,OTHER,400
"[42, 358, 228, 360, 228, 380, 42, 378]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN
"[362, 366, 408, 362, 408, 380, 362, 378]",18,TOTAL_COST,7:400
"[42, 378, 192, 380, 192, 400, 42, 398]",0,OTHER,TỔNG TIẾN ĐÃ GIẢM
"[42, 400, 166, 402, 166, 420, 42, 420]",0,OTHER,TIẾN KHÁCH TRÃ
"[362, 408, 408, 404, 408, 422, 362, 422]",0,OTHER,7.400
"[50, 422, 122, 424, 122, 442, 50, 442]",0,OTHER,TIỀN MẶT
"[352, 426, 408, 426, 408, 444, 352, 444]",0,OTHER,20.000
"[40, 444, 148, 446, 148, 464, 40, 462]",0,OTHER,TIẾN TRÃ LẠI
"[352, 448, 408, 448, 408, 466, 352, 466]",0,OTHER,12.600
"[108, 466, 336, 468, 336, 486, 108, 484]",0,OTHER,GGÁ ĐÃ BAO GỒM THUẾ GTGT)
"[98, 528, 338, 534, 338, 552, 98, 548]",0,OTHER,Chỉ xuất hóa đơn trong ngày
"[38, 552, 408, 556, 408, 574, 38, 570]",0,OTHER,Tax invoice will be issued within same day
"[80, 594, 356, 598, 356, 616, 80, 614]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI
"[34, 616, 400, 624, 400, 638, 34, 634]",0,OTHER,Hot line: 02471066866 Website: Vinmart.com
