poly,cate_id,cate_text,vietocr_text
"[224, 82, 464, 100, 461, 129, 222, 112]",15,SELLER,MINIMARTANAN
"[190, 126, 484, 144, 484, 166, 190, 156]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm
"[24, 158, 68, 158, 68, 178, 24, 178]",0,OTHER,Tel:
"[178, 218, 505, 234, 503, 271, 178, 260]",0,OTHER,HÓA ĐƠN BÁN HÀNG
"[46, 266, 171, 274, 166, 304, 46, 294]",0,OTHER,Tên hàng
"[206, 274, 322, 276, 322, 302, 206, 300]",0,OTHER,SL ĐVT
"[360, 281, 602, 282, 602, 306, 358, 303]",0,OTHER,Đơn giá Thành tiền
"[36, 308, 488, 320, 488, 344, 36, 336]",0,OTHER,08934868104476 NRT Lai boy 500ml NT
"[250, 354, 296, 354, 296, 374, 250, 374]",0,OTHER,CHA
"[536, 358, 614, 358, 614, 380, 536, 382]",0,OTHER,"60,000"
"[382, 356, 460, 356, 460, 382, 382, 382]",0,OTHER,"60,000"
"[34, 394, 556, 398, 556, 422, 34, 420]",0,OTHER,"291012520000 NRC Sunlight chanh 3,8kg NT"
"[542, 436, 624, 434, 624, 460, 542, 460]",0,OTHER,"83,000"
"[382, 434, 464, 434, 464, 460, 382, 460]",0,OTHER,"83,000"
"[246, 434, 292, 434, 292, 454, 246, 454]",0,OTHER,CHA
"[24, 479, 130, 484, 130, 512, 21, 511]",0,OTHER,Tổng số:
"[22, 516, 153, 524, 151, 555, 19, 549]",18,TOTAL_COST,Tổng cộng
"[538, 522, 634, 522, 634, 548, 538, 548]",18,TOTAL_COST,"143,000"
"[18, 558, 210, 560, 210, 588, 18, 588]",0,OTHER,Tiền khách trả:
"[316, 564, 374, 564, 374, 592, 316, 592]",0,OTHER,VND
"[540, 564, 634, 564, 634, 590, 540, 590]",0,OTHER,"500,000"
"[536, 608, 632, 608, 632, 632, 536, 634]",0,OTHER,"357,000"
"[16, 608, 202, 610, 202, 638, 16, 638]",0,OTHER,Tiền trả lại VND:
"[42, 666, 373, 663, 374, 694, 42, 696]",0,TIMESTAMP,SỐ GD: 000AC2212008002302
"[378, 666, 624, 660, 624, 686, 378, 696]",17,TIMESTAMP,Ngày: 16/08/2020-17:19
"[252, 714, 426, 710, 426, 738, 252, 740]",0,OTHER,Thu ngân: BH3
"[102, 746, 531, 735, 533, 762, 102, 772]",0,OTHER,Xin cám ơn và hen gắý khách thuy
